prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2200094,camara,2019-05-07T12:38:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 130/2019, pelo Deputado Felipe Francischini (PSL-PR), que: ""Requer a realização de Audiência Pública para debater a Proposta de Emenda à Constituição nº 6, de 2019, a Reforma da Previdência com o seguinte convidado:Reinold Sthephanes - Ministro do Trabalho e Previdência Social"".",PEC00619,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1741528,2200094
2200094,camara,2019-05-14T00:00:00Z,2,"Prejudicado, nos termos do art. 163, VIII, em razão da prévia aprovação do Requerimento de nº 72/2019",PEC00619,198,Arquivada,NA,2200094
2200094,camara,2019-05-14T00:00:00Z,3,Arquivada,PEC00619,502,Arquivada,NA,2200094
