prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2199498,camara,2019-04-25T15:45:00Z,1,"Apresentação do Requerimento n. 35/2019, pelo Deputado Henrique Fontana (PT-RS), que: ""Requer a realização de audiência pública para debater a PEC nº 06, de 2019, com os convidados: Carlos Gabas, Miguel Rossetto e Ricardo Berzoini"".",PEC00619,100,Aguardando Providências Internas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1737827,2199498
2199498,camara,2019-05-07T14:30:00Z,2,"Aprovado com a inclusão dos  convidados  Rodrigo Orair - IPEA;  Fernando Rogidisk - USP; Prof Esther Duek - UFRJ, pelo autor e a inclusão dos  convidados Professor Guilherme Santos  Mello- Unicamp , Prof. Antonio Correia de Lacerda - PUC SP, Juliane Furno - CUT, Andre Paiva Ramos, Prof. Leda Maria Paulani - USP, Aldaiza Sposati - PUC, Prof. Eduardo Fagnani- Unicamp, Dr. Clemente Ganz Lúcio - DIEESE, Eng. Eduardo Moreira, pelo Deputado Paulo Teixeira.",PEC00619,241,Aguardando Providências Internas,NA,2199498
2199498,camara,2019-05-09T00:00:00Z,3,"Audiência Pública realizada com a presença dos seguintes convidados:Convidados:Eduardo Fagnani - Professor do Instituto de Economia da Unicamp;Eduardo Moreira - ProfessorPaulo Tafner - Economista pesquisador da FIPEPedro Fernando de Almeida Nery Ferreira - Consultor Legislativo do Senado FederalEm atendimento aos requerimentos:REQ 1/19 - Diego Garcia e Vinicius PoitREQ 9/19 - Pastor EuricoREQ 28/19 - Henrique FontanaREQ 30/19 - Alice PortugalREQ 35/19 - Henrique Fontana e Paulo TeixeiraREQ 49/19 - Eduardo CuryREQ 53/19 - Professor Israel BatistaREQ 67/19 - Jorge SollaREQ 70/19 - Tiago MitraudREQ 103/19 - Gleisi Hoffmann, Henrique Fontana, Carlos Veras, Jorge Solla, José Guimarães, Paulo Teixeira, Pedro Uczai e Rubens OtoniREQ 116/19 - Sâmia Bomfim, Ivan Valente e Luiza Erundina",PEC00619,1005,Aguardando Providências Internas,NA,2199498
2199498,camara,2019-05-29T00:00:00Z,4,"Audiência Pública realizada com a presença dos seguintes convidados:Tema: Regime de Capitalização e Avaliação AtuarialFABIO ZAMBITTE - Professor Titular do Instituto Brasileiro de Mercado de Capitais - IIBMEC e Professor Adjunto da Universidade do Estado do Rio de Janeiro - UERJ;GUILHERME SANTOS MELLO - Professor do Instituto de Economia da UNICAMP;HÉLIO ZYLBERSTAJN - Professor de Economia na USP e pesquisador na FIPE/USP;LEONARDO JOSÉ ROLIM GUIMARÃES - Secretário de Previdência no Ministério da Economia;SÉRGIO GUIMARÃES FERREIRA - Departamento de Pesquisa Econômica no Banco Nacional de Desenvolvimento Econômico e Social - BNDES.Requerimentos atendidos:REQ 1/19 - Diego Garcia e Vinicius Poit, aditado por Jerônimo GoergenREQ 11/19 - Pastor Eurico, subscrito por Jorge SollaREQ 17/19 - Léo MoraesREQ 35/19 - Henrique Fontana, subscrito por Paulo TeixeiraREQ 61/19 - Silvio Costa FilhoREQ 67/19 - Jorge SollaREQ 121/19 - Sâmia Bomfim, Ivan Valente e Luiza ErundinaREQ 157/19 - Aliel Machado e Alessandro MolonREQ 160/19 - Marcelo Ramos",PEC00619,1005,Aguardando Providências Internas,NA,2199498
