prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2199619,camara,2019-04-29T00:00:00Z,2,Substituição de versão do inteiro teor da proposição,MESA,1052,NA,NA,2199619
2199619,camara,2019-04-29T10:31:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 45/2019, pela Deputada Perpétua Almeida (PCdoB-AC), que: ""Requer a realização de seminário para debater a Proposta de Emenda Constitucional nº 6-A/2019 no Acre e demais estados do norte do país com a presença de especialistas e membros desta comissão a fim de esclarecer as mudanças pretendidas e seus impactos.         "".",PEC00619,100,Aguardando Providências Internas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1739200,2199619
2199619,camara,2019-05-07T14:30:00Z,3,Aprovado,PEC00619,241,Aguardando Providências Internas,NA,2199619
