prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,fase,situacao_descricao_situacao,evento,data_audiencia,local,global
129808,senado,2017-07-04T12:00:00Z,1,"O Presidente da Comissão de Constituição, Justiça e Cidadania, Senador Edison Lobão, designa relator da matéria o Senador Armando Monteiro.",CCJ,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,designado_relator,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-19T12:00:00Z,1,"Recebido, às 17h35min, o Relatório do Senador Armando Monteiro, com voto favorável ao Projeto, nos termos do Substitutivo que apresenta.      Matéria pronta para a Pauta na Comissão.",CCJ,42,PRONTA PARA A PAUTA NA COMISSÃO,Discussão e votação,pronta_para_a_pauta_na_comissão,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-22T12:00:00Z,1,Matéria incluída na Pauta da Comissão.,CCJ,138,INCLUÍDA NA PAUTA DA REUNIÃO,Discussão e votação,incluída_na_pauta_da_reunião,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-27T12:00:00Z,1,"Na 40ª Reunião Ordinária, realizada nesta data, a Comissão aprova o Relatório do Senador Armando Monteiro, que passa a constituir o Parecer da CCJ favorável ao Projeto, nos termos da Emenda n° 1-CCJ (Substitutivo).            A Comissão aprova o Requerimento nº 78, de 2017-CCJ, de autoria da Senadora Ana Amélia, de URGÊNCIA para a matéria (fl. nº 19)",CCJ,89,APROVADO PARECER NA COMISSÃO,Encaminhamento,aprovado_parecer_na_comissão,aprovacao_parecer,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-27T12:00:00Z,2,"À SLSF, para prosseguimento da tramitação.",CCJ,NA,NA,Encaminhamento,NA,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-27T12:00:00Z,3,Aguardando leitura do Parecer nº 105/2017-CCJ.,PLEN,14,AGUARDANDO LEITURA PARECER (ES),Discussão e votação,aguardando_leitura_parecer_(es),NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-27T12:00:00Z,4,"Encaminhado à publicação o Parecer nº 105, de 2017, da CCJ, relator Senador Armando Monteiro, pela aprovação, com a Emenda nº 1-CCJ (Substitutivo).      A matéria ficará perante a mesa durante cinco dias úteis a fim de receber emendas, nos termos do art. 235, II, ""d"", do Regimento Interno.      Encaminhado à publicação e aprovado o Requerimento nº 814, de 2017, da CCJ, solicitando urgência para a matéria.      (Resultado da votação nominal do RQS 814/2017: Sim 55, Não 1, Presidente 1, Total 57)",SEADI,88,AGUARDANDO RECEBIMENTO DE EMENDAS PERANTE A MESA,Discussão e votação,aguardando_recebimento_de_emendas_perante_a_mesa,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-09-28T12:00:00Z,1,"Prazo: Recebimento de emendas perante a Mesa (Art. 235, II, ""d"", do RISF)            De 29/09/2017 a 05/10/2017",PLEN,88,AGUARDANDO RECEBIMENTO DE EMENDAS PERANTE A MESA,Discussão e votação,aguardando_recebimento_de_emendas_perante_a_mesa,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-10-02T12:00:00Z,1,"Incluído na Ordem do Dia da sessão deliberativa de  03.10.2017.      Discussão, em turno único.",PLEN,NA,NA,Discussão e votação,NA,NA,NA,CCJ, - Origem (Senado)
129808,senado,2017-10-03T12:00:00Z,1,"Matéria não apreciada na sessão de 03/10/2017, transferida para a sessão deliberativa de 04/10/2017.",SLSF,NA,NA,Discussão e votação,NA,NA,NA,CCJ, - Origem (Senado)
