codigo,numero,local,autor,partido,casa,tipo_documento,inteiro_teor
4594401,00001,PLEN,José Aníbal,PSDB/SP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=4594401
4594417,00002,PLEN,José Aníbal,PSDB/SP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=4594417
4594433,00003,PLEN,Cidinho Santos,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=4594433
4594449,00004,PLEN,Hélio José,MDB/DF,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=4594449
