prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,fase,situacao_descricao_situacao,evento,data_audiencia,local,global
126084,senado,2016-06-21T12:00:00Z,1,"Recebido às 19h29min o Relatório do Senador José Maranhão, com voto favorável ao Projeto.      Matéria pronta para a Pauta na Comissão.",CCJ,42,PRONTA PARA A PAUTA NA COMISSÃO,Discussão e votação,pronta_para_a_pauta_na_comissão,NA,NA,CCJ,NA
126084,senado,2016-06-22T12:00:00Z,1,"Na 21ª Reunião Ordinária, realizada nesta data, a matéria é incluída como Item Extrapauta nº 41. A Presidência concede vista coletiva aos Senadores nos termos regimentais.       Encaminhada cópia do Relatório do Senador José Maranhão e do avulso da matéria aos Senadores membros da Comissão.",CCJ,90,PEDIDO DE VISTA CONCEDIDO,Discussão e votação,pedido_de_vista_concedido,NA,NA,CCJ,NA
126084,senado,2016-06-28T12:00:00Z,1,"Juntei, de ordem da Presidência da Comissão de Constituição, Justiça e Cidadania, o Ofício 15/GP-SPR/2016, de 24/6/2016, do Conselho Nacional de Justiça, com manifestação sobre a matéria (fls. 18 a 64).",CCJ,90,PEDIDO DE VISTA CONCEDIDO,Discussão e votação,pedido_de_vista_concedido,NA,NA,CCJ,NA
126084,senado,2016-07-07T12:00:00Z,1,"Juntei, às 11h10min, o Voto em Separado do Senador Ricardo Ferraço contrário ao Projeto.      Matéria incluída na Pauta da Comissão.",CCJ,138,INCLUÍDA NA PAUTA DA REUNIÃO,Discussão e votação,incluída_na_pauta_da_reunião,NA,NA,CCJ,NA
126084,senado,2016-08-03T12:00:00Z,1,"Na 28ª Reunião Ordinária realizada nesta data, a Comissão aprova o relatório do Senador José Maranhão, que passa a constituir o Parecer da CCJ favorável ao Projeto.",CCJ,89,APROVADO PARECER NA COMISSÃO,Encaminhamento,aprovado_parecer_na_comissão,aprovacao_parecer,NA,CCJ, - Revisão (Senado)
126084,senado,2016-08-03T12:00:00Z,2,"À CAE, para prosseguimento da tramitação.",CCJ,NA,NA,Encaminhamento,NA,NA,NA,CCJ, - Revisão (Senado)
126084,senado,2016-08-03T12:00:00Z,3,Matéria aguardando distribuição.,CAE,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,Encaminhamento,aguardando_designação_do_relator,NA,NA,CAE, - Revisão (Senado)
126084,senado,2016-08-04T12:00:00Z,1,"A presidenta da Comissão, senadora Gleisi Hoffmann, designa o senador Ricardo Ferraço relator da matéria.",CAE,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,designado_relator,NA,CAE, - Revisão (Senado)
126084,senado,2016-08-18T12:00:00Z,1,"Matéria constante da Pauta da 26ª Reunião da Comissão de Assuntos Econômicos, agendada para o dia 23/08/2016.",CAE,138,INCLUÍDA NA PAUTA DA REUNIÃO,Análise do relator,incluída_na_pauta_da_reunião,NA,NA,CAE, - Revisão (Senado)
126084,senado,2016-08-22T12:00:00Z,1,"O relator, senador Ricardo Ferraço, apresentou relatório contrário ao projeto.",CAE,138,INCLUÍDA NA PAUTA DA REUNIÃO,Análise do relator,incluída_na_pauta_da_reunião,NA,NA,CAE, - Revisão (Senado)
