codigo,numero,local,autor,partido,casa,tipo_documento,inteiro_teor
7721263,00001,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721263
7721269,00002,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721269
7721275,00003,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721275
7721281,00004,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721281
7721287,00005,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721287
7721293,00006,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721293
7721299,00007,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721299
7721305,00008,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721305
7721311,00009,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721311
7721317,00010,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721317
7721323,00011,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721323
7721329,00012,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721329
7721335,00013,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721335
7721341,00014,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721341
7721347,00015,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721347
7721353,00016,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721353
7721359,00017,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721359
7721365,00018,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721365
7721371,00019,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721371
7721377,00020,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721377
7721383,00021,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721383
7721389,00022,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721389
7721395,00023,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721395
