prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,fase,situacao_descricao_situacao,evento,data_audiencia,local,global
132865,Comissões,2018-04-12,2,"Distribuído à Senadora Simone Tebet, para emitir relatório.",CCJ,20,AGUARDANDO RECEBIMENTO DE EMENDAS,Análise do relator,aguardando_recebimento_de_emendas,designado_relator,NA,Mesa - Senado, - Origem (Senado)
132865,Comissões,2018-04-18,1,"Recebidas nesta Comissão, às 19 horas e 40 minutos, as emendas nº 1-T a 24-T, de autoria do Senador Wellington Fagundes.      Cópias das Emendas encaminhadas ao gabinete da relatora, Senadora Simone Tebet.",CCJ,20,AGUARDANDO RECEBIMENTO DE EMENDAS,Recebimento,aguardando_recebimento_de_emendas,inicio_prazo_emendas,NA,Mesa - Senado, - Origem (Senado)
132865,Comissões,2018-04-19,1,Encerrado o prazo regimental para recebimento de emendas.,CCJ,91,MATÉRIA COM A RELATORIA,Recebimento,matéria_com_a_relatoria,NA,NA,CCJ, - Origem (Senado)
132865,Comissões,2018-04-24,1,"Devolvido pela Senadora Simone Tebet, para redistribuição.",CCJ,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,Recebimento,aguardando_designação_do_relator,devolvido,NA,CCJ, - Origem (Senado)
132865,Comissões,2018-04-24,2,"Juntei, às 19h30min, as Emendas nºs 25 a 66, de autoria do Senador Randolfe Rodrigues.",CCJ,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,Recebimento,aguardando_designação_do_relator,NA,NA,CCJ, - Origem (Senado)
132865,Comissões,2018-05-02,1,"Redistribuído ao Senador Romero Jucá, para emitir relatório.",CCJ,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,designado_relator,NA,CCJ, - Origem (Senado)
132865,Comissões,2018-07-05,1,"Devolvido pelo relator, Senador Romero Jucá, em virtude de não mais pertencer aos quadros desta Comissão. A matéria será redistribuída.",CCJ,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,Análise do relator,aguardando_designação_do_relator,devolvido,NA,CCJ, - Origem (Senado)
132865,Comissões,2018-08-07,1,"Redistribuído ao Senador Romero Jucá, para emitir relatório.",CCJ,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,designado_relator,NA,CCJ, - Origem (Senado)
132865,Comissões,2019-04-01,1,"Redistribuído ao Senador Romero Jucá, para emitir relatório.",CCJ,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,NA,NA,CMA, - Origem (Senado)
132865,Comissões,2019-04-02,1,"Redistribuído ao Senador Romero Jucá, para emitir relatório.",CCJ,91,MATÉRIA COM A RELATORIA,Análise do relator,matéria_com_a_relatoria,NA,NA,Comissões, - Revisão (Câmara)
