casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,3613,José Wanderley Neto,José Wanderley,NA,NA
senado,Masculino,3590,José de Andrade Maia,José de Andrade,NA,NA
senado,Masculino,5036,José de Macedo Ferreira,José de Macedo Ferreira,MDB,NA
senado,Masculino,104,José de Sousa Teixeira,José de Sousa Teixeira,NA,NA
senado,Masculino,1775,João Abrahão Sobrinho,João Abrahão,NA,NA
senado,Masculino,1776,João Agripino Filho,João Agripino,NA,NA
senado,Masculino,950,João Alberto de Souza,João Alberto Souza,MDB,NA
senado,Masculino,1789,João Cavalcanti Arruda,João Arruda,NA,NA
senado,Masculino,132,João Augusto O. Figueiredo,João Augusto O. Figueiredo,NA,NA
senado,Masculino,3588,João Batista de Melo Alves,João Batista,NA,NA
senado,Masculino,5613,João Batista da Rocha Lemos,João Batista Lemos,PCB,NA
senado,Masculino,1051,João Baptista da Motta,João Batista Motta,PSDB,NA
senado,Masculino,1786,João Bosco Ramos de Lima,João Bosco,NA,NA
senado,Masculino,1799,João de Medeiros Calmon,João Calmon,NA,NA
senado,Masculino,3394,João Alberto Rodrigues Capiberibe,João Capiberibe,PSB,NA
senado,Masculino,5186,João Claudino Fernandes,João Claudino Fernandes,PRTB,NA
senado,Masculino,1790,João Cleofas de Oliveira,João Cleofas,NA,NA
senado,Masculino,5166,João Costa Ribeiro Filho,João Costa,PPL,NA
senado,Masculino,4537,João Durval Carneiro,João Durval,PDT,NA
senado,Masculino,3593,João Faustino Ferreira Neto,João Faustino,PSDB,NA
senado,Masculino,202,João Felício,João Felício,NA,NA
senado,Masculino,48,João França Alves,João França,NA,NA
senado,Masculino,4923,João Hilton Fernandes Silva,João Hilton Fernandes Silva,NA,NA
senado,Masculino,2792,João Mendes Olímpio de Melo,João Mendes,NA,NA
senado,Masculino,106,João Oliveira Itapary,João Oliveira Itapary,NA,NA
senado,Masculino,4774,João Pedro Gonçalves da Costa,João Pedro,PT,NA
senado,Masculino,4784,João Rafael de Aguiar,João Rafael de Aguiar,NA,NA
senado,Masculino,916,João Batista de Jesus Ribeiro,João Ribeiro,PL,NA
senado,Masculino,49,João da Rocha Ribeiro Dias,João Rocha,NA,NA
senado,Masculino,3652,João Evangelista da Costa Tenório,João Tenório,PSDB,NA
senado,Masculino,1089,João Thomé Verçosa de Medeiros Raposo,João Thomé Mestrinho,MDB,NA
senado,Masculino,3650,João Vaccari Neto,João Vaccari,NA,NA
senado,Masculino,4541,João Vicente de Macêdo Claudino,João Vicente Claudino,PTB,NA
senado,Masculino,1835,João Villas Boas,João Villas Boas,NA,NA
senado,Masculino,141,Juarez Leitão,Juarez Leitão,NA,NA
senado,Masculino,5972,Julio Ventura Neto,Julio Ventura,NA,NA
senado,Feminino,51,Júnia Marise Azeredo Coutinho,Junia Marise,NA,NA
senado,Masculino,1996,Juracy Montenegro Magalhães,Juracy Magalhães,NA,NA
senado,Masculino,1997,Juscelino Kubitschek de Oliveira,Juscelino Kubitschek,NA,NA
senado,Masculino,1999,Jutahy Borges Magalhães,Jutahy Magalhães,NA,NA
senado,Masculino,136,Juvêncio Antônio Vergolino Dias,Juvêncio Dias,NA,NA
senado,Masculino,949,Juvêncio Cesar da Fonseca,Juvêncio da Fonseca,PSDB,NA
senado,Masculino,5066,Juçara Feitosa de Oliveira,Juçara Feitosa de Oliveira,PT,NA
senado,Feminino,5929,Selma Rosane Santos Arruda,Juíza Selma,PSL,MT
senado,Masculino,50,Júlio José de Campos,Júlio Campos,DEM,NA
senado,Masculino,91,Júlio Eduardo Gomes Pereira,Júlio Eduardo,PV,NA
senado,Masculino,1993,Júlio César Leite,Júlio Leite,NA,NA
senado,Masculino,5965,Manoel Junior Souto de Souza,Júnior Souto,NA,NA
senado,Masculino,5158,Antonio Carlos Porto de Andrade,Kaká Andrade,PDT,NA
senado,Masculino,2003,Kerginaldo Cavalcanti de Albuquerque,Kerginaldo Cavalcanti,NA,NA
senado,Feminino,1249,Kátia Regina de Abreu,Kátia Abreu,PDT,TO
senado,Masculino,415,Lael Vieira Varella,Lael Varella,DEM,NA
senado,Masculino,1809,João Guilherme Lameira Bittencourt,Lameira Bittencourt,NA,NA
senado,Masculino,5533,Lasier Costa Martins,Lasier Martins,PODEMOS,RS
senado,Masculino,5156,Lauro Antonio Texeira Menezes,Lauro Antonio,PL,NA
senado,Masculino,52,Lauro Álvares da Silva Campos,Lauro Campos,NA,NA
senado,Masculino,2963,Lauro Dantas Hora,Lauro Hora,NA,NA
senado,Masculino,799,Lavoisier Maia Sobrinho,Lavoisier Maia,NA,NA
senado,Feminino,2814,Laélia Contreiras Agra de Alcântara,Laélia de Alcântara,NA,NA
senado,Masculino,135,Laércio Wilson Barbalho,Laércio Barbalho,NA,NA
senado,Masculino,2009,Leandro Maynard Maciel,Leandro Maciel,NA,NA
senado,Feminino,5977,Leany Barreiro de Sousa Lemos,Leany Lemos,NA,NA
senado,Feminino,5979,Leila Gomes de Barros Rêgo,Leila Barros,PSB,DF
senado,Masculino,1689,Francisco Leite Chaves,Leite Chaves,NA,NA
senado,Masculino,1690,Francisco Leite Neto,Leite Neto,NA,NA
senado,Masculino,2011,Lenoir Vargas Ferreira,Lenoir Vargas,NA,NA
senado,Masculino,53,Leomar de Melo Quintanilha,Leomar Quintanilha,MDB,NA
senado,Masculino,5903,Leonardo Rodrigues,Leonardo Rodrigues,NA,NA
