prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2093165,camara,2016-08-08T18:03:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 73/2016, pelo Deputado Sergio Vidigal (PDT-ES), que: ""Requer seja submetido à deliberação do Plenário desta Comissão Especial o pedido ora formulado de CONVITE à Sra. Denise Gimenez Ramos, doutora em psicologia clínica, para contribuir, em Audiência Pública, com o bom andamento desta Comissão"".",PL485016,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1480907,2093165
2093165,camara,2016-08-09T09:30:00Z,2,Aprovado,PL485016,241,Arquivada,NA,2093165
2093165,camara,2016-08-15T00:00:00Z,3,Realizada Audiência Pública.,PL485016,1005,Arquivada,NA,2093165
2093165,camara,2016-11-03T00:00:00Z,4,Arquivado.,PL485016,502,Arquivada,NA,2093165
