prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,origem_tramitacao_local_nome_casa_local,destino_tramitacao_local_nome_casa_local,id_principal
121572,senado,2018-11-06T00:00:00Z,1,À COARQ.,SEXPE,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-08-04T00:00:00Z,1,"Anexado Ofício SF nº 963, de 04/08/15, ao Senhor Primeiro-Secretário da Câmara dos Deputados, encaminhando o projeto para revisão, nos termos do art. 65 da Constituição Federal (fls. 135 a 140).",SEXPE,52,REMETIDA À CÂMARA DOS DEPUTADOS,,Senado Federal,Senado Federal,121572
121572,senado,2015-07-17T00:00:00Z,1,Anexado o texto revisado (fls. 130 a 134).,SEXPE,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-07-14T00:00:00Z,1,"Anunciada a matéria, usam da palavra os Senadores Lindbergh Farias, Magno Malta, Fernando Collor e Jader Barbalho.
      A Presidência anuncia ao Plenário que o Requerimento nº 755, de 2015, que solicita a criação de comissão interna do Senado Federal com a finalidade de debater e propor soluções para a questão de maioridade penal, deve ser apreciado preliminarmente.
      Usam da palavra os Senadores Jader Barbalho, Cristovam Buarque, Lídice da Mata, José Pimentel (relator), João Capiberibe, Magno Malta, Cássio Cunha Lima, Telmário Mota, José Serra, Omar Aziz, Antonio Carlos Valadares, Garibaldi Alves Filho, Jorge Viana, Walter Pinheiro e Romero Jucá.
      Leitura do Requerimento nº 810, de 2015, de autoria do Senador Randolfe Rodrigues e outros líderes partidários, solicitando a extinção da urgência.
      Rejeitados, em globo, os Requerimentos nºs 755 e 810, de 2015, com o seguinte resultado: Sim 32, Não 35, Presidente 01, Total 68 (Votação nominal solicitada pelo Senador José Serra, com apoio regimental), tendo usado da palavra os Senadores Lídice da Mata, Romero Jucá, Humberto Costa, Sérgio Petecão, José Medeiros, José Serra, Cássio Cunha Lima, Blairo Maggi, Randolfe Rodrigues, Telmário Mota, Benedito de Lira, Otto Alencar, Vanessa Grazziotin, Eunício Oliveira e Lindbergh Farias.
      Em seguida, é proferido pelo Senador José Pimentel parecer de Plenário em substituição à CCJ, concluindo favoravelmente ao PLS 333/2015, nos termos do Substitutivo que apresenta, e pela rejeição do PLC 20/2015, que tramita em conjunto (Parecer nº 444, de 2015-PLEN)
      A Presidência esclarece ao Plenário que o relator já se pronunciou, em seu parecer, sobre as Emendas nºs 1 a 13-PLEN, oferecidas à matéria:
      - Emenda nº 1-PLEN, de autoria da Senadora Simone Tebet;
      - Emenda nº 2-PLEN, de autoria da Senadora Simone Tebet;
      - Emenda nº 3-PLEN, de autoria da Senadora Simone Tebet;
      - Emenda nº 4-PLEN, de autoria do Senador Aloysio Nunes Ferreira;
      - Emenda nº 5-PLEN, de autoria do Senador Aloysio Nunes Ferreira;
      - Emenda nº 6-PLEN, de autoria do Senador Aloysio Nunes Ferreira;
      - Emenda nº 7-PLEN, de autoria do Senador Aloysio Nunes Ferreira;
      - Emenda nº 8-PLEN, de autoria do Senador Aloysio Nunes Ferreira;
      - Emenda nº 9-PLEN, de autoria da Senadora Simone Tebet;
      - Emenda nº 10-PLEN, de autoria do Senador José Serra;
      - Emenda nº 11-PLEN, de autoria da Senadora Marta Suplicy;
      - Emenda nº 12-PLEN, de autoria do Senador Antonio Carlos Valadares; e
      - Emenda nº 13-PLEN, de autoria do Senador Antonio Carlos Valadares.
      São lidos e deferidos os Requerimentos nºs 811 e 811-A, de 2015, de autoria da Senadora Simone Tebet, solicitando a retirada, em caráter definitivo, das Emendas nºs 1 e 3-PLEN, respectivamente.
      Discussão encerrada, tendo usado da palavra os Senadores Aloysio Nunes Ferreira, Lídice da Mata, Magno Malta, Gleisi Hoffmann e Lindbergh Farias.
      Encaminhadas à publicação as seguintes emendas:
      - Emenda nº 15-PLEN, tendo como primeira signatária a Senadora João Capiberibe;
      - Emenda nº 16-PLEN, tendo como primeira signatária a Senadora Lídice da Mata;
      - Emenda nº 17-PLEN, tendo como primeira signatária a Senadora Lídice da Mata; e
      - Emenda nº 18-PLEN, tendo como primeira signatária a Senadora Lídice da Mata.
      O Senador José Pimentel profere parecer de Plenário em substituição à CCJ, concluindo contrariamente às Emendas nº 15, 16, 17 e 18-PLEN. (Parecer nº 445, de 2015-PLEN)
      É lido e aprovado o Requerimento nº 812, de 2015, de autoria do Senador José Pimentel, solicitando preferência para votação do Substitutivo, com os votos contrários dos Senadores Lídice da Mata, Lindbergh Farias, Randolfe Rodrigues e outros.
      São lidos os seguintes requerimentos:
      - Requerimento nº 813, de 2015, de autoria do Senador José Serra, solicitando destaque para votação em separado da Emenda nº 10-PLEN; e
      - Requerimento nº 814, de 2015, de autoria do Senador Aloysio Nunes Ferreira, solicitando destaque para votação em separado da Emenda nº 6-PLEN.
      Prejudicados os Requerimentos nºs 813 e 814, de 2015, após manifestação do relator, Senador José Pimentel, em complementação ao seu Parecer nº 444, de 2015-PLEN (Apresentação de texto consolidado do Substitutivo oferecido - Emenda nº 14-PLEN)
      Leitura dos seguintes requerimentos:
      - Requerimento nº 815, de 2015, de autoria da Senadora Lídice da Mata, solicitando destaque para votação em separado das Emendas nº 15 e 16-PLEN; e
      - Requerimento nº 816, de 2015, de autoria da Senadora Lídice da Mata e outros, solicitando destaque para votação em separado do § 3º do art. 122 do Substitutivo.
      Rejeitados os Requerimentos nºs 815 e 816, de 2015, com os votos favoráveis dos Senadores Lindbergh Farias, Lídice da Mata, Vanessa Grazziotin, Fátima Bezerra, Randolfe Rodrigies e Walter Pinheiro; após manifestação do relator, Senador José Pimentel.
      Aprovado o Substitutivo (Emenda nº 14-PLEN) com o seguinte resultado: Sim 43, Não 13, Presidente 1, Total 57 (Votação nominal solicitada pelo Senador Randolfe Rodrigues, com apoio regimental), tendo usado da palavra os Senadores Ronaldo Caiado, Aloysio Nunes Ferreira, José Medeiros, Benedito de Lira, Otto Alencar, Magno Malta, Lídice da Mata, Romero Jucá, Humberto Costa, Eunício Oliveira, Randolfe Rodrigues, Vanessa Grazziotin, Blairo Maggi, Eunício Oliveira e Eduardo Amorim.
      Ficam prejudicados o presente projeto, as demais emendas a ele apresentadas e o PLC 20/2015, que tramitava em conjunto. 
      Leitura do Parecer nº 446, de 2015-CDIR, relator Senador Jorge Viana, apresentando a redação do vencido para o turno suplementar.
      Discussão encerrada do Substitutivo, em turno suplementar, sem apresentação de emendas.
      O Substitutivo é adotado definitivamente, sem votação, nos termos do art. 284, RISF.
      À Câmara dos Deputados.",ATA-PLEN,113,APROVADO O SUBSTITUTIVO,,Senado Federal,Senado Federal,121572
121572,senado,2015-07-01T00:00:00Z,2,"Incluído em Ordem do Dia da sessão deliberativa de 01.07.2015.
      
      Matéria não apreciada na sessão de 01.07.2015, transferida para a sessão deliberativa de 02.07.2015.
      
      Matéria não apreciada na sessão de 02.07.2015, transferida para a sessão deliberativa de 07.07.2015.
      
      Matéria não apreciada na sessão de 07.07.2015, transferida para a sessão deliberativa de 08.07.2015.
      
      Matéria não apreciada na sessão de 08.07.2015, transferida para a sessão deliberativa de 09.07.2015.
      
      Matéria não apreciada na sessão de 09.07.2015, transferida para a sessão deliberativa de 13.07.2015.
      
      Matéria não apreciada na sessão de 13.07.2015, transferida para a sessão deliberativa de 14.07.2015.",SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
121572,senado,2015-07-01T00:00:00Z,1,"Recebida a Emenda nº 11, da Senadora Marta Suplicy, ao Substitutivo do PLS nº 333, de 2015.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,7,"Incluído em Ordem do Dia da sessão deliberativa de 30.06.2015.
      Matéria não apreciada na sessão de 30.06.2015, transferida para a sessão deliberativa de 1º.07.2015.",SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,6,"Recebida Emenda n° 10- Plen, do Senador José Serra.
      
      ************* Retificado em 01/07/2015*************
      Recebida Emenda n° 10- Plen, apresentada ao Substitutivo, do Senador José Serra.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,5,"Recebida Emenda n° 9 - Plen, de autoria da Senadora Simone Tebet.
      
      ************* Retificado em 01/07/2015*************
      Recebida Emenda n° 9 - Plen, apresentada ao Substitutivo, de autoria da Senadora Simone Tebet.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,4,Incluído em Ordem do Dia da sessão deliberativa de 30/06/2015.,SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,3,"Recebidas as Emendas n°s 4 a 8 - Plen, de autoria do Senador Aloysio Nunes Ferreira
      
      ************* Retificado em 01/07/2015*************
      Recebidas as Emendas n°s 4 a 8 - Plen, apresentadas ao Substitutivo, de autoria do Senador Aloysio Nunes Ferreira.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,2,Incluído em Ordem do Dia da sessão deliberativa de 30/06/2015.,SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-30T00:00:00Z,1,"Recebidas as Emendas n°s 2 e 3 - Plen, de autoria da Senadora Simone Tebet.
      
      ************* Retificado em 01/07/2015*************
      Recebidas as Emendas n°s 2 e 3 - Plen, apresentadas ao Substituivo, de autoria da Senadora Simone Tebet.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-29T00:00:00Z,2,Incluído em Ordem do Dia da sessão deliberativa de 30/06/2015.,SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-29T00:00:00Z,1,"Recebida Emenda n° 1 - Plen, de autoria da Senadora Simone Tebet.
      
      ************* Retificado em 01/07/2015*************
      Recebida Emenda n° 1 - Plen,  ao Substitutivo, de autoria da Senadora Simone Tebet.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,121572
121572,senado,2015-06-17T00:00:00Z,3,"Incluído em Ordem do Dia da sessão deliberativa de 18/06/2015.
      
      Matéria não apreciada na sessão de 18.06.2015, transferida para a sessão deliberativa de 23.06.2015.
      
      Matéria não apreciada na sessão deliberativa de 23.06.2015, transferida para a sessão deliberativa de 24.06.2015.
      
      Matéria não apreciada na sessão de 24.06.2015, transferida para a sessão deliberativa de 25.06.2015.
      
      Matéria não apreciada na sessão de 25.06.2015, transferida para a sessão deliberativa de 30.06.2015.",SSCLSF,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,121572
