prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
548167,camara,2012-06-14T00:00:00Z,2,Publicação inicial no DCD do dia 15/06/2012,SEPUB(SGM),604,NA,NA,548167
548167,camara,2012-06-14T15:15:00Z,1,"Apresentação do Requerimento de Apensação n. 5544/2012, pelo Deputado Valdir Colatto (PMDB-SC), que: ""Requer a apensação do Projeto de Lei nº. 358, de 2011, ao Projeto de Lei nº. 3.729, de 2004"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1002130,548167
548167,camara,2012-06-14T16:39:00Z,3,Recebimento pel a SEPRO.,SEPRO,500,NA,NA,548167
548167,camara,2012-06-14T18:39:00Z,4,Encaminhado à(ao) NAJUR(SGM) através da guia de Remessa (GR/SEPRO) nº 2508/2012.,SEPRO,180,NA,NA,548167
548167,camara,2012-07-02T00:00:00Z,5,Despacho a Confirmar.,MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1007912,548167
548167,camara,2012-07-02T00:00:00Z,11,Publicação do despacho no DCD do dia 03/07/2012,SEPUB(SGM),605,NA,NA,548167
548167,camara,2012-07-02T15:25:00Z,8,Notificação à Sinopse de Despacho Chancelado,SGMGAB,1005,NA,NA,548167
548167,camara,2012-07-02T15:25:00Z,9,"Defiro o Requerimento n. 5.544/2012. Apense-se o Projeto de Lei n. 358/2011 ao Projeto de Lei n. 3.729/2004, nos termos do art. 142, c/c o art. 143, II, b, ambos do RICD. Publique-se. Oficie-se.",MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1007912,548167
548167,camara,2012-07-02T15:25:00Z,6,Despacho Chancelado,SGMGAB,180,NA,NA,548167
548167,camara,2012-07-02T15:25:00Z,7,Encaminhamento de Chancela de Requerimento de Informações à SEPUB(SGM) para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,548167
548167,camara,2012-07-02T15:25:00Z,10,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,548167
