prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2193406,camara,2019-02-28T10:53:00Z,1,"Apresentação do Requerimento de Desarquivamento de Proposições n. 668/2019, pelo Deputado Ubiratan Sanderson (PSL-RS), que: ""Requer o desarquivamento de proposições"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1715949,2193406
2193406,camara,2019-02-28T10:53:00Z,2,Realizar o Encaminhamento para NAJUR(SGM),SEPRO,910,NA,NA,2193406
2193406,camara,2019-02-28T12:50:00Z,3,Encaminhado à(ao) NAJUR(SGM) através da guia de Remessa (GR/SEPRO) nº 172/2019.,SEPRO,180,NA,NA,2193406
2193406,camara,2019-02-28T15:13:00Z,4,Recebimento pelo NAJUR(SGM).,NAJUR(SGM),500,Aguardando Análise,NA,2193406
2193406,camara,2019-03-12T16:44:00Z,5,"Apresentação do Requerimento de Retirada de proposição n. 709/2019, pelo Deputado Ubiratan Sanderson (PSL-RS), que: ""Requer a retirada de tramitação do REQ 668/2019"".",PLEN,194,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1717815,2193406
2193406,camara,2019-03-22T00:00:00Z,6,"Retirado o Requerimento n. 668/2019,  nos termos do art. 104, caput, c/c o art. 114, V, ambos do Regimento Interno da Câmara dos Deputados.",MESA,200,Retirado pelo Autor,NA,2193406
