prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
491521,camara,2011-02-08T00:00:00Z,2,Publicação inicial no DCD do dia 09/02/2011,SEPUB(SGM),604,NA,NA,491521
491521,camara,2011-02-08T19:45:00Z,1,"Apresentação do Requerimento de Desarquivamento de Proposições n. 223/2011, pela Deputada Sueli Vidigal (PDT-ES), que: ""Nos termos do art. 105, parágrafo único, do Regimento Interno da Câmara dos Deputados, requeiro a V. Exª o desarquivamento de todas as proposições de minha autoria que estão tramitando"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=838222,491521
491521,camara,2011-02-09T13:01:00Z,3,Recebimento pela SEPRO.,SEPRO,500,NA,NA,491521
491521,camara,2011-02-09T13:47:00Z,4,Encaminhado à(ao) NAJUR(SGM) através da guia de Remessa (GR/SEPRO) nº 48/2011.,SEPRO,180,NA,NA,491521
491521,camara,2011-02-15T00:00:00Z,6,Despacho a Confirmar.,MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=840160,491521
491521,camara,2011-02-15T16:07:00Z,5,Recebimento pela NAJUR(SGM).,NAJUR(SGM),500,NA,NA,491521
491521,camara,2011-02-16T00:00:00Z,16,Publicação do despacho no DCD do dia 17/02/2011,SEPUB(SGM),605,NA,NA,491521
491521,camara,2011-02-16T00:00:00Z,17,Publicação do despacho no DCD do dia 17/02/11 PÁG 7138 COL 02.,SEPUB(SGM),605,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=937286,491521
491521,camara,2011-02-16T00:00:00Z,11,Realizar o Encaminhamento para CCP,SECAP(SGM),910,NA,NA,491521
491521,camara,2011-02-16T00:00:00Z,12,"Nos termos do parágrafo único do art. 105 do RICD, DEFIRO o pedido de desarquivamento das seguintes proposições: PL 1266/2007, PL 954/2007, PL 2017/2007, PEC 202/2007, PEC 194/2003, PEC 201/2003, PEC 203/2007, PL 478/2007, PL 489/2007, PL 1763/2007, PL 3748/2008, PL 3750/2008, PL 3196/2000, PL 3432/2000, PL 3665/2000, PL 3582/2000, PL 3596/2000, PL 3912/2000, PL 3848/2008, PL 4009/2008, PL 3901/2008, PL 3904/2008, PL 6183/2009, PL 4373/2008, PL 5414/2009, PL 5857/2009, PL 6644/2009, PL 7704/2010, PL 179/2003, PL 2159/2007, PL 4688/2009, PL 5863/2009, PL 6394/2009, PL 5061/2009, PL 5864/2009, PL 2810/2008, PL 6627/2009, PL 6808/2010, PL 6478/2009, PL 6874/2010, PL 418/2003, PL 6729/2006, PL 4419/2008, PL 6910/2010, PL 7012/2010, PL 7457/2010, PL 7484/2010 e PL 7770/2010.DECLARO PREJUDICADO o pedido de desarquivamento das seguintes proposições: PEC 288/2008, PL 4764/2009, PL 5625/2009, PL 5865/2009, PL 6056/2009, PL 6906/2010, PL 6907/2010, PL 6909/2010, PL 7319/2010 e PL 7771/2010, haja vista já se encontrarem desarquivadas. Publique-se.",MESA,640,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=840160,491521
491521,camara,2011-02-16T15:14:00Z,7,Novo Despacho,SECAP(SGM),171,NA,NA,491521
491521,camara,2011-02-16T15:17:00Z,8,Despacho Chancelado,SGMGAB,180,NA,NA,491521
491521,camara,2011-02-16T15:17:00Z,10,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA,NA,491521
491521,camara,2011-02-16T15:17:00Z,9,Encaminhamento de Chancela de Requerimento de Informações à SEPUB(SGM) para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,491521
491521,camara,2011-02-16T15:19:00Z,14,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 46/2011.,SECAP(SGM),180,NA,NA,491521
491521,camara,2011-02-16T15:20:00Z,13,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,491521
491521,camara,2011-02-16T16:29:00Z,15,Recebimento pela CCP.,CCP,500,NA,NA,491521
