prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2152227,camara,2017-09-20T10:57:00Z,1,"Apresentação do Requerimento n. 8/2017, pelo Deputado Carlos Henrique Gaguim (PODE-TO), que: ""Requer a inclusão de participante à audiência pública solicitada pelo requerimento 2/2017, apresentado à esta Comissão"".",PL672616,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1599745,2152227
2152227,camara,2017-10-24T14:30:00Z,2,Não Deliberado.,PL672616,1008,Arquivada,NA,2152227
2152227,camara,2017-11-07T14:30:00Z,3,Aprovado,PL672616,241,Arquivada,NA,2152227
2152227,camara,2019-01-31T00:00:00Z,4,Arquivado em decorrência do encerramento da Comissão Especial pelo fim da Legislatura.,PL672616,502,Arquivada,NA,2152227
