prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2082693,camara,2016-04-27T19:43:00Z,1,"Apresentação do Requerimento de Participação ou Realização de Eventos fora da Câmara n. 21/2016, pelo Deputado Padre João (PT-MG), que: ""Requer a realização de Seminário desta Comissão Especial na cidade de Belo Horizonte para debater sobre os riscos à saúde, ao ambiente, a segurança alimentar e nutricional, atividade ocupacional, econômicos decorrentes do uso de agrotóxicos, em Minas Gerais, no Brasil e no Mundo, no contexto do PL nº3200, de 2015"".",PL629902,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1453065,2082693
2082693,camara,2016-05-05T09:30:00Z,2,Aprovado,PL629902,241,Arquivada,NA,2082693
2082693,camara,2019-01-31T00:00:00Z,3,"Arquivado em decorrência da extinção da Comissão (Art. 22, II, RICD).",PL629902,502,Arquivada,NA,2082693
