id_autor_parlametria,peso_politico
1160553,0.371556
1178964,0.142016
1178873,0.392528
1178909,0.14671
173482,0.136621
1178981,0.163684
173772,0.147435
1178884,0.0695476
1178959,0.103046
1141450,0.135779
1160674,0.0347646
167138,0.0977693
173531,0.466379
174848,0.547176
1160570,0.125756
1178839,0.0670989
1178842,0.0747108
1160531,0.312882
173701,0.400277
1178829,0.376107
1178993,0.142331
1141439,0.165331
1160528,0.126774
1160552,0.184002
173891,0.143271
1178908,0.0690726
1164359,0.441378
1160588,0.105346
1178929,0.114792
1160599,0.161991
1143632,0.0932629
1160758,0.129767
1178994,0.0828531
1141417,0.171276
1134812,0.182547
174655,0.129512
192346,0.356465
1178977,0.0992433
1141421,0.119127
1141422,0.121449
174075,0.159046
1178854,0.439567
1132504,0.105363
1160575,0.204777
1160640,0.160726
1178871,0.0598517
1178930,0.0893046
1178953,0.418883
1141428,0.116424
1178969,0.370336
1141427,0.129625
1171623,0.12418
1160587,0.0857601
166828,0.370005
172442,0.105811
1160666,0.422337
1141431,0.121045
192699,0.0856632
1160598,0.254536
1141434,0.148806
1191923,0.120397
1160669,0.149517
1178966,0.117009
174383,0.140174
174270,0.474654
1160673,0.155906
1178996,0.209324
1152605,0.18716
174419,0.160948
1160667,0.1068
174366,0.0695292
1141458,0.119348
1178970,0.0891897
1112437,0.0834535
1178910,0.0734838
1178857,0.0650662
1141464,0.152429
1141470,0.123442
1160619,0.150513
174079,0.134328
174554,0.157042
174317,0.163818
173586,0.149695
1178886,0.0718183
1151208,0.118346
1178832,0.434067
174156,0.41458
174299,0.151554
174585,0.150217
1196358,0.0173823
1178879,0.0957208
174478,0.449457
1178931,0.121103
1178954,0.0663788
1160510,0.580646
1178982,0.139058
1162332,0.150603
174784,0.204613
1178866,0.13765
1166402,0.168572
1146788,0.0347646
1178983,0.105765
1179001,0.143271
1150418,0.0695292
1160535,0.136621
1171619,0.0906185
174398,0.221891
1178956,0.118079
174158,0.519252
1178858,0.0975581
1178843,0.131849
174749,0.230443
1178984,0.205513
1178985,0.162633
1178895,0.101637
1178896,0.355595
174352,0.120497
1178986,0.0759877
1194260,0.084658
1160508,0.0855445
1136811,0.139661
1178835,0.119472
1160527,0.396627
1178836,0.0656601
1160559,0.143271
1160511,0.444478
1178972,0.211773
1160545,0.111361
1178833,0.188741
174057,0.288455
1178927,0.114071
1178881,0.0173823
1178831,0.070946
174471,0.432247
1133439,0.428693
1178882,0.457023
173433,0.145517
1141391,0.229201
1160541,0.41205
1160600,0.155817
1159237,0.0961511
174090,0.426454
174459,0.0869115
1160665,0.461692
1160512,0.190028
169871,0.172
1178975,0.711664
1141335,0.111351
1178948,0.0687711
1160538,0.136621
174052,0.125828
1160589,0.124108
193083,0.0975581
1141401,0.137942
1178962,0.0799586
174262,0.365028
1141398,0.128135
1164360,0.188532
1178876,0.142073
1141405,0.123578
173441,0.0869115
1178928,0.095073
1178939,0.189546
174537,0.154281
1141411,0.16722
174467,0.173196
174060,0.523905
1178916,0.474833
166179,0.132825
174159,0.123393
1178987,0.16045
1160556,0.206952
174319,0.183141
1160642,0.132335
174160,0.105135
1171617,0.126114
1141516,0.0972334
1178860,0.134668
1160558,0.113958
174574,0.145586
1193726,0.138976
