id_leggo,id_ext,casa,id_autor_parlametria,id_autor,peso_total,n_documentos,peso_total_normalizado,tema
2,1198512,camara,169871,69871,1.5,2,0.022257551669316374,Direitos Humanos
2,1198512,camara,173531,73531,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,174057,74057,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,174160,74160,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,174161,74161,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,174398,74398,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,174693,74693,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,174784,74784,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,176874,76874,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1134812,134812,0.6111111111111112,2,0.008125772831655186,Direitos Humanos
2,1198512,camara,1139285,139285,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1141508,141508,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1141523,141523,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1152605,152605,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1160511,160511,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1160592,160592,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1160604,160604,3.111111111111111,4,0.047871400812577285,Direitos Humanos
2,1198512,camara,1160639,160639,15.5,16,0.24483306836248014,Direitos Humanos
2,1198512,camara,1171619,171619,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1178842,178842,0.16666666666666666,1,0.0010598834128245891,Direitos Humanos
2,1198512,camara,1178925,178925,2,2,0.030206677265500793,Direitos Humanos
2,1198512,camara,1178970,178970,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1198783,198783,0.16666666666666666,1,0.0010598834128245891,Direitos Humanos
2,1198512,camara,1204359,204359,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1204371,204371,1.6666666666666667,4,0.02490726020137785,Direitos Humanos
2,1198512,camara,1204375,204375,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1204407,204407,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1204429,204429,0.16666666666666666,1,0.0010598834128245891,Direitos Humanos
2,1198512,camara,1204433,204433,0.5,1,0.006359300476947536,Direitos Humanos
2,1198512,camara,1204453,204453,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1204459,204459,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1204467,204467,5.111111111111111,6,0.07966790319731497,Direitos Humanos
2,1198512,camara,1204501,204501,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1204509,204509,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
2,1198512,camara,1204519,204519,1.6666666666666665,3,0.024907260201377845,Direitos Humanos
2,1198512,camara,1204528,204528,0.16666666666666666,1,0.0010598834128245891,Direitos Humanos
2,1198512,camara,1204533,204533,1,1,0.014308426073131956,Direitos Humanos
2,1198512,camara,1204534,204534,1.5,3,0.022257551669316374,Direitos Humanos
2,1198512,camara,1204535,204535,0.6111111111111112,2,0.008125772831655186,Direitos Humanos
2,1198512,camara,1205548,205548,0.1111111111111111,1,1.766472354707647e-4,Direitos Humanos
19,534328,camara,173801,73801,1,1,0.014308426073131956,Outros
19,534328,camara,1160642,160642,1,1,0.014308426073131956,Outros
19,534328,camara,1204369,204369,1.3333333333333333,2,0.019607843137254898,Outros
19,534328,camara,1204374,204374,0.3333333333333333,1,0.003709591944886062,Outros
19,534328,camara,1204398,204398,1,1,0.014308426073131956,Outros
19,534328,camara,1204453,204453,1,1,0.014308426073131956,Outros
19,534328,camara,1204462,204462,1.8333333333333333,3,0.02755696873343932,Outros
19,534328,camara,1204467,204467,2,2,0.030206677265500793,Outros
19,534328,camara,1204481,204481,1,1,0.014308426073131956,Outros
19,534328,camara,1204501,204501,1,1,0.014308426073131956,Outros
19,534328,camara,1204503,204503,1,1,0.014308426073131956,Outros
19,534328,camara,1204519,204519,2,2,0.030206677265500793,Outros
19,534328,camara,1204527,204527,1,1,0.014308426073131956,Outros
19,534328,camara,1204545,204545,0.5,1,0.006359300476947536,Outros
80,2079600,camara,173943,73943,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,175431,75431,1,1,0.014308426073131956,Outros
80,2079600,camara,1152610,152610,0.5,1,0.006359300476947536,Outros
80,2079600,camara,1160531,160531,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,1160541,160541,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,1160642,160642,1,1,0.014308426073131956,Outros
80,2079600,camara,1178836,178836,16,16,0.2527821939586646,Outros
80,2079600,camara,1178929,178929,2,2,0.030206677265500793,Outros
80,2079600,camara,1178945,178945,0.6428571428571428,2,0.008630479218714512,Outros
80,2079600,camara,1178947,178947,1,1,0.014308426073131956,Outros
80,2079600,camara,1179587,179587,1,1,0.014308426073131956,Outros
80,2079600,camara,1204360,204360,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,1204372,204372,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,1204374,204374,5,5,0.07790143084260732,Outros
80,2079600,camara,1204382,204382,1,1,0.014308426073131956,Outros
80,2079600,camara,1204455,204455,2,2,0.030206677265500793,Outros
80,2079600,camara,1204472,204472,1,1,0.014308426073131956,Outros
80,2079600,camara,1204476,204476,0.14285714285714285,1,6.813536225300929e-4,Outros
80,2079600,camara,1204511,204511,2,2,0.030206677265500793,Outros
151,2253934,camara,174439,74439,0.8500000000000001,4,0.011923688394276632,Direitos Humanos
151,2253934,camara,174439,74439,0.8500000000000001,4,0.011923688394276632,Educação
151,2253934,camara,1160528,160528,0.2,1,0.001589825119236884,Direitos Humanos
151,2253934,camara,1160528,160528,0.2,1,0.001589825119236884,Educação
151,2253934,camara,1160639,160639,2,2,0.030206677265500793,Direitos Humanos
151,2253934,camara,1160639,160639,2,2,0.030206677265500793,Educação
151,2253934,camara,1204377,204377,1.4333333333333333,6,0.021197668256491786,Direitos Humanos
151,2253934,camara,1204377,204377,1.4333333333333333,6,0.021197668256491786,Educação
151,2253934,camara,1204429,204429,0.2,1,0.001589825119236884,Direitos Humanos
151,2253934,camara,1204429,204429,0.2,1,0.001589825119236884,Educação
151,2253934,camara,1204467,204467,1.9333333333333331,7,0.0291467938526762,Direitos Humanos
151,2253934,camara,1204467,204467,1.9333333333333331,7,0.0291467938526762,Educação
151,2253934,camara,1204533,204533,1.9333333333333331,7,0.0291467938526762,Direitos Humanos
151,2253934,camara,1204533,204533,1.9333333333333331,7,0.0291467938526762,Educação
151,2253934,camara,1204534,204534,0.45,2,0.005564387917329093,Direitos Humanos
151,2253934,camara,1204534,204534,0.45,2,0.005564387917329093,Educação
158,257161,camara,174439,74439,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,176874,76874,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,1141516,141516,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,1178896,178896,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,1178908,178908,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,1178954,178954,1,1,0.014308426073131956,Desenvolvimento Socioambiental
158,257161,camara,1204536,204536,1,1,0.014308426073131956,Desenvolvimento Socioambiental
213,2196833,camara,166828,66828,4,4,0.06200317965023847,Outros
213,2196833,camara,173486,73486,0.3333333333333333,1,0.003709591944886062,Outros
213,2196833,camara,174043,74043,2,2,0.030206677265500793,Outros
213,2196833,camara,174044,74044,2,2,0.030206677265500793,Outros
213,2196833,camara,174052,74052,1,1,0.014308426073131956,Outros
213,2196833,camara,174060,74060,4,4,0.06200317965023847,Outros
213,2196833,camara,174161,74161,6,6,0.09379968203497616,Outros
213,2196833,camara,174305,74305,3,3,0.046104928457869634,Outros
