id_leggo,id_autor_parlametria,id_ext,casa,id_autor,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos
887,1178842,20529,camara,178842,Deputado,camara,Requerimento,CCP,2,2
887,174273,20529,camara,74273,Deputado,camara,Requerimento,CCP,1,1
887,174283,20529,camara,74283,Deputado,camara,Requerimento,CCP,1,1
887,174376,20529,camara,74376,Deputado,camara,Requerimento,CCP,1,1
887,174400,20529,camara,74400,Deputado,camara,Requerimento,CCP,1,1
887,174419,20529,camara,74419,Deputado,camara,Requerimento,CCP,1,1
887,181297,20529,camara,81297,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1116379,20529,camara,116379,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1160601,20529,camara,160601,Deputado,camara,Requerimento,CCP,1,1
887,1160604,20529,camara,160604,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1160610,20529,camara,160610,Deputado,camara,Prop. Original / Apensada,MESA,1,1
887,1160673,20529,camara,160673,Deputado,camara,Requerimento,PLEN,1,1
887,1178921,20529,camara,178921,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1178948,20529,camara,178948,Deputado,camara,Requerimento,CCP,1,1
887,1178972,20529,camara,178972,Deputado,camara,Requerimento,PLEN,1,1
887,1204377,20529,camara,204377,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1204399,20529,camara,204399,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1204399,20529,camara,204399,Deputado,camara,Requerimento,NAJUR(SGM),1,1
887,1204414,20529,camara,204414,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1204511,20529,camara,204511,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,1204527,20529,camara,204527,Deputado,camara,Prop. Original / Apensada,CCP,1,1
887,172442,20529,camara,72442,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,174439,20529,camara,74439,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,175431,20529,camara,75431,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1122974,20529,camara,122974,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1160541,20529,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1166402,20529,camara,166402,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1178896,20529,camara,178896,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1178981,20529,camara,178981,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1204359,20529,camara,204359,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
887,1204461,20529,camara,204461,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
158,174439,257161,camara,74439,Deputado,camara,Requerimento,CCP,1,1
158,176874,257161,camara,76874,Deputado,camara,Prop. Original / Apensada,CCP,1,1
158,1141516,257161,camara,141516,Deputado,camara,Requerimento,CCP,1,1
158,1178896,257161,camara,178896,Deputado,camara,Requerimento,CCP,1,1
158,1178908,257161,camara,178908,Deputado,camara,Prop. Original / Apensada,CFT,1,1
158,1178954,257161,camara,178954,Deputado,camara,Requerimento,CCP,1,1
158,1204536,257161,camara,204536,Deputado,camara,Requerimento,CCP,1,1
19,1204467,534328,camara,204467,Deputado,camara,Requerimento,CCP,2,2
19,1204519,534328,camara,204519,Deputado,camara,Emenda,CE,2,2
19,173801,534328,camara,73801,Deputado,camara,Requerimento,CCP,1,1
19,1160642,534328,camara,160642,Deputado,camara,Prop. Original / Apensada,CCP,1,1
19,1204369,534328,camara,204369,Deputado,camara,Requerimento,CCP,1,1
19,1204398,534328,camara,204398,Deputado,camara,Parecer,PLEN,1,1
19,1204453,534328,camara,204453,Deputado,camara,Prop. Original / Apensada,CCP,1,1
19,1204462,534328,camara,204462,Deputado,camara,Requerimento,CCP,1,1
19,1204481,534328,camara,204481,Deputado,camara,Requerimento,CCP,1,1
19,1204501,534328,camara,204501,Deputado,camara,Requerimento,CCP,1,1
19,1204503,534328,camara,204503,Deputado,camara,Requerimento,MESA,1,1
19,1204527,534328,camara,204527,Deputado,camara,Prop. Original / Apensada,CCP,1,1
19,1204462,534328,camara,204462,Deputado,camara,Requerimento,SEPRO,0.5,1
19,1204545,534328,camara,204545,Deputado,camara,Requerimento,SEPRO,0.5,1
19,1204369,534328,camara,204369,Deputado,camara,Prop. Original / Apensada,MESA,0.3333333333333333,1
19,1204374,534328,camara,204374,Deputado,camara,Prop. Original / Apensada,MESA,0.3333333333333333,1
19,1204462,534328,camara,204462,Deputado,camara,Prop. Original / Apensada,MESA,0.3333333333333333,1
782,1204411,586417,camara,204411,Deputado,camara,Requerimento,COAPP(SGM),1,1
879,174356,593065,camara,74356,Deputado,camara,Parecer,CME,8,8
879,1204461,593065,camara,204461,Deputado,camara,Emenda,CCP,8,8
879,1204461,593065,camara,204461,Deputado,camara,Emenda,CME,7,7
879,1178910,593065,camara,178910,Deputado,camara,Emenda,CME,6,6
879,1204440,593065,camara,204440,Deputado,camara,Emenda,CME,5,5
879,1141450,593065,camara,141450,Deputado,camara,Emenda,CDEICS,3,3
879,1141431,593065,camara,141431,Deputado,camara,Requerimento,CME,2,2
879,1151208,593065,camara,151208,Deputado,camara,Emenda,CME,2,2
879,174052,593065,camara,74052,Deputado,camara,Requerimento,NAJUR(SGM),1,1
879,1141417,593065,camara,141417,Deputado,camara,Emenda,CME,1,1
879,1160556,593065,camara,160556,Deputado,camara,Requerimento,CME,1,1
879,1160758,593065,camara,160758,Deputado,camara,Requerimento,CCP,1,1
879,1178910,593065,camara,178910,Deputado,camara,Emenda,CDEICS,1,1
