id_leggo,id_autor_parlametria,id_ext,casa,id_autor,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos
879,1204378,593065,camara,204378,Deputado,camara,Emenda,CME,1,1
879,1204461,593065,camara,204461,Deputado,camara,Requerimento,CCP,1,1
879,1204461,593065,camara,204461,Deputado,camara,Requerimento,COAPP(SGM),1,1
879,1204508,593065,camara,204508,Deputado,camara,Requerimento,CME,1,1
879,1204576,593065,camara,204576,Deputado,camara,Emenda,CME,1,1
879,174356,593065,camara,74356,Deputado,camara,Requerimento,CME,0.25,1
879,1178910,593065,camara,178910,Deputado,camara,Requerimento,CME,0.25,1
879,1204376,593065,camara,204376,Deputado,camara,Requerimento,CME,0.25,1
879,1204440,593065,camara,204440,Deputado,camara,Requerimento,CME,0.25,1
812,1160518,601739,camara,160518,Deputado,camara,Requerimento,CCP,1,1
812,1132504,601739,camara,132504,Deputado,camara,Requerimento,COAPP(SGM),0.3333333333333333,1
812,1160541,601739,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.3333333333333333,1
812,1160655,601739,camara,160655,Deputado,camara,Requerimento,COAPP(SGM),0.3333333333333333,1
917,1178879,614512,camara,178879,Deputado,camara,Parecer,CTASP,1,1
819,173433,949035,camara,73433,Deputado,camara,Prop. Original / Apensada,CCP,1,1
819,174057,949035,camara,74057,Deputado,camara,Requerimento,CCP,1,1
819,1141508,949035,camara,141508,Deputado,camara,Prop. Original / Apensada,CCP,1,1
819,1141555,949035,camara,141555,Deputado,camara,Requerimento,COAPP(SGM),1,1
819,1204420,949035,camara,204420,Deputado,camara,Prop. Original / Apensada,CSSF,1,1
819,1204478,949035,camara,204478,Deputado,camara,Requerimento,CCP,1,1
2,1160639,1198512,camara,160639,Deputado,camara,Requerimento,PEC01515,7.5,8
2,1160639,1198512,camara,160639,Deputado,camara,Parecer,PLEN,5,5
2,1204467,1198512,camara,204467,Deputado,camara,Requerimento,PEC01515,5,5
2,1160604,1198512,camara,160604,Deputado,camara,Requerimento,PEC01515,3,3
2,1160639,1198512,camara,160639,Deputado,camara,Parecer,PEC01515,2,2
2,1178925,1198512,camara,178925,Deputado,camara,Requerimento,SEPRO,2,2
2,169871,1198512,camara,69871,Deputado,camara,Requerimento,PEC01515,1.5,2
2,1204371,1198512,camara,204371,Deputado,camara,Emenda,PEC01515,1.1666666666666667,3
2,174057,1198512,camara,74057,Deputado,camara,Requerimento,PEC01515,1,1
2,174693,1198512,camara,74693,Deputado,camara,Outros,MESA,1,1
2,1139285,1198512,camara,139285,Deputado,camara,Requerimento,COAPP(SGM),1,1
2,1141508,1198512,camara,141508,Deputado,camara,Requerimento,COAPP(SGM),1,1
2,1141523,1198512,camara,141523,Deputado,camara,Requerimento,PEC01515,1,1
2,1160511,1198512,camara,160511,Deputado,camara,Requerimento,COAPP(SGM),1,1
2,1160639,1198512,camara,160639,Deputado,camara,Requerimento,CCP,1,1
2,1178970,1198512,camara,178970,Deputado,camara,Requerimento,SEPRO,1,1
2,1204359,1198512,camara,204359,Deputado,camara,Requerimento,SEPRO,1,1
2,1204375,1198512,camara,204375,Deputado,camara,Requerimento,PEC01515,1,1
2,1204459,1198512,camara,204459,Deputado,camara,Requerimento,PEC01515,1,1
2,1204519,1198512,camara,204519,Deputado,camara,Requerimento,PEC01515,1,1
2,1204533,1198512,camara,204533,Deputado,camara,Requerimento,PEC01515,1,1
2,1204534,1198512,camara,204534,Deputado,camara,Emenda,PEC01515,1,2
2,1204519,1198512,camara,204519,Deputado,camara,Emenda,PEC01515,0.6666666666666666,2
2,1134812,1198512,camara,134812,Deputado,camara,Voto em Separado,PEC01515,0.5,1
2,1204371,1198512,camara,204371,Deputado,camara,Requerimento,PEC01515,0.5,1
2,1204433,1198512,camara,204433,Deputado,camara,Emenda,PEC01515,0.5,1
2,1204534,1198512,camara,204534,Deputado,camara,Requerimento,PEC01515,0.5,1
2,1204535,1198512,camara,204535,Deputado,camara,Voto em Separado,PEC01515,0.5,1
2,1178842,1198512,camara,178842,Deputado,camara,Emenda,PEC01515,0.16666666666666666,1
2,1198783,1198512,camara,198783,Deputado,camara,Emenda,PEC01515,0.16666666666666666,1
2,1204429,1198512,camara,204429,Deputado,camara,Emenda,PEC01515,0.16666666666666666,1
2,1204528,1198512,camara,204528,Deputado,camara,Emenda,PEC01515,0.16666666666666666,1
2,173531,1198512,camara,73531,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,174160,1198512,camara,74160,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,174161,1198512,camara,74161,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,174398,1198512,camara,74398,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,174784,1198512,camara,74784,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,176874,1198512,camara,76874,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1134812,1198512,camara,134812,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1152605,1198512,camara,152605,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1160592,1198512,camara,160592,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1160604,1198512,camara,160604,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1171619,1198512,camara,171619,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1204407,1198512,camara,204407,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1204453,1198512,camara,204453,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1204467,1198512,camara,204467,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1204501,1198512,camara,204501,Deputado,camara,Requerimento,CE,0.1111111111111111,1
2,1204509,1198512,camara,204509,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1204535,1198512,camara,204535,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
2,1205548,1198512,camara,205548,Deputado,camara,Requerimento,COAPP(SGM),0.1111111111111111,1
787,169871,1212519,camara,69871,Deputado,camara,Requerimento,NAJUR(SGM),1,1
698,1204510,2052490,camara,204510,Deputado,camara,Requerimento,PL351515,6,6
698,1204381,2052490,camara,204381,Deputado,camara,Requerimento,PL351515,4,4
698,1204487,2052490,camara,204487,Deputado,camara,Parecer,CDC,3,3
698,1204510,2052490,camara,204510,Deputado,camara,Parecer,PL351515,2,2
698,1160511,2052490,camara,160511,Deputado,camara,Requerimento,COAPP(SGM),1.1428571428571428,2
698,1178956,2052490,camara,178956,Deputado,camara,Requerimento,COAPP(SGM),1.1428571428571428,2
698,166179,2052490,camara,66179,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,173466,2052490,camara,73466,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,173943,2052490,camara,73943,Deputado,camara,Requerimento,CDC,1,1
698,174161,2052490,camara,74161,Deputado,camara,Requerimento,NAJUR(SGM),1,1
698,174200,2052490,camara,74200,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,174571,2052490,camara,74571,Deputado,camara,Requerimento,PL351515,1,1
698,1122158,2052490,camara,122158,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,1141459,2052490,camara,141459,Deputado,camara,Requerimento,CCP,1,1
698,1141555,2052490,camara,141555,Deputado,camara,Voto em Separado,PL351515,1,1
698,1160518,2052490,camara,160518,Deputado,camara,Requerimento,COAPP(SGM),1,1
698,1160532,2052490,camara,160532,Deputado,camara,Requerimento,NAJUR(SGM),1,1
698,1160532,2052490,camara,160532,Deputado,camara,Voto em Separado,CDC,1,1
698,1160601,2052490,camara,160601,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,1160758,2052490,camara,160758,Deputado,camara,Requerimento,COAPP(SGM),1,1
698,1164360,2052490,camara,164360,Deputado,camara,Requerimento,PL351515,1,1
698,1178874,2052490,camara,178874,Deputado,camara,Requerimento,PL351515,1,1
698,1193726,2052490,camara,193726,Deputado,camara,Prop. Original / Apensada,CCP,1,1
698,1204394,2052490,camara,204394,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,1204425,2052490,camara,204425,Deputado,camara,Requerimento,CCP,1,1
698,1204488,2052490,camara,204488,Deputado,camara,Prop. Original / Apensada,CCP,1,1
698,1204488,2052490,camara,204488,Deputado,camara,Prop. Original / Apensada,PL351515,1,1
698,1204500,2052490,camara,204500,Deputado,camara,Prop. Original / Apensada,CCP,1,1
698,1204507,2052490,camara,204507,Deputado,camara,Prop. Original / Apensada,CCP,1,1
698,1204533,2052490,camara,204533,Deputado,camara,Requerimento,PL351515,1,1
698,174161,2052490,camara,74161,Deputado,camara,Prop. Original / Apensada,MESA,0.5,1
698,1160587,2052490,camara,160587,Deputado,camara,Requerimento,COAPP(SGM),0.5,1
698,1178857,2052490,camara,178857,Deputado,camara,Requerimento,COAPP(SGM),0.5,1
698,1204501,2052490,camara,204501,Deputado,camara,Prop. Original / Apensada,MESA,0.5,1
698,174439,2052490,camara,74439,Deputado,camara,Requerimento,SEPRO,0.30952380952380953,2
698,174161,2052490,camara,74161,Deputado,camara,Requerimento,SEPRO,0.16666666666666666,1
698,1160575,2052490,camara,160575,Deputado,camara,Requerimento,SEPRO,0.16666666666666666,1
698,1204366,2052490,camara,204366,Deputado,camara,Requerimento,SEPRO,0.16666666666666666,1
698,1204530,2052490,camara,204530,Deputado,camara,Requerimento,SEPRO,0.16666666666666666,1
698,1204537,2052490,camara,204537,Deputado,camara,Requerimento,SEPRO,0.16666666666666666,1
698,173943,2052490,camara,73943,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,174262,2052490,camara,74262,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
698,1132504,2052490,camara,132504,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
698,1132504,2052490,camara,132504,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,1141470,2052490,camara,141470,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
698,1160511,2052490,camara,160511,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,1160528,2052490,camara,160528,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,1160541,2052490,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
698,1160541,2052490,camara,160541,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,1204407,2052490,camara,204407,Deputado,camara,Requerimento,SEPRO,0.14285714285714285,1
698,1204510,2052490,camara,204510,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1178836,2079600,camara,178836,Deputado,camara,Emenda,CSSF,10,10
80,1178836,2079600,camara,178836,Deputado,camara,Parecer,CSSF,6,6
80,1204374,2079600,camara,204374,Deputado,camara,Parecer,CCJC,5,5
80,175431,2079600,camara,75431,Deputado,camara,Emenda,MESA,1,1
80,1160642,2079600,camara,160642,Deputado,camara,Prop. Original / Apensada,CCP,1,1
80,1178929,2079600,camara,178929,Deputado,camara,Requerimento,CCP,1,1
80,1178929,2079600,camara,178929,Deputado,camara,Voto em Separado,CSSF,1,1
80,1178947,2079600,camara,178947,Deputado,camara,Requerimento,SEPRO,1,1
80,1179587,2079600,camara,179587,Deputado,camara,Prop. Original / Apensada,CCP,1,1
80,1204382,2079600,camara,204382,Deputado,camara,Prop. Original / Apensada,MESA,1,1
80,1204455,2079600,camara,204455,Deputado,camara,Prop. Original / Apensada,CCP,1,1
80,1204455,2079600,camara,204455,Deputado,camara,Requerimento,NAJUR(SGM),1,1
80,1204472,2079600,camara,204472,Deputado,camara,Prop. Original / Apensada,CCJC,1,1
80,1204511,2079600,camara,204511,Deputado,camara,Prop. Original / Apensada,PLEN,1,1
80,1204511,2079600,camara,204511,Deputado,camara,Requerimento,MESA,1,1
80,1152610,2079600,camara,152610,Deputado,camara,Requerimento,NAJUR(SGM),0.5,1
80,1178945,2079600,camara,178945,Deputado,camara,Requerimento,NAJUR(SGM),0.5,1
80,173943,2079600,camara,73943,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1160531,2079600,camara,160531,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1160541,2079600,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1178945,2079600,camara,178945,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1204360,2079600,camara,204360,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1204372,2079600,camara,204372,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
80,1204476,2079600,camara,204476,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
768,174585,2080470,camara,74585,Deputado,camara,Requerimento,CCP,1,1
768,1204414,2080470,camara,204414,Deputado,camara,Requerimento,CCP,1,1
768,1204540,2080470,camara,204540,Deputado,camara,Requerimento,COAPP(SGM),1,1
768,1207309,2080470,camara,207309,Deputado,camara,Requerimento,CCP,1,1
768,1160531,2080470,camara,160531,Deputado,camara,Requerimento,COAPP(SGM),0.5,1
768,1204372,2080470,camara,204372,Deputado,camara,Requerimento,COAPP(SGM),0.5,1
704,1178884,2129819,camara,178884,Deputado,camara,Parecer,CFT,1,1
704,1204545,2129819,camara,204545,Deputado,camara,Voto em Separado,CFT,1,1
883,1178928,2136332,camara,178928,Deputado,camara,Requerimento,CFT,1,1
883,1204517,2136332,camara,204517,Deputado,camara,Parecer,CMADS,1,1
825,1198197,2140446,camara,198197,Deputado,camara,Requerimento,COAPP(SGM),1.1,2
825,1204359,2140446,camara,204359,Deputado,camara,Requerimento,COAPP(SGM),1.1,2
825,1204391,2140446,camara,204391,Deputado,camara,Requerimento,COAPP(SGM),1.1,2
825,1204416,2140446,camara,204416,Deputado,camara,Requerimento,COAPP(SGM),1.1,2
825,173466,2140446,camara,73466,Deputado,camara,Requerimento,CCP,1,1
825,1141405,2140446,camara,141405,Deputado,camara,Requerimento,CCP,1,1
825,1160601,2140446,camara,160601,Deputado,camara,Requerimento,CCP,1,1
825,1160653,2140446,camara,160653,Deputado,camara,Requerimento,CCP,1,1
825,1178912,2140446,camara,178912,Deputado,camara,Requerimento,COAPP(SGM),1,1
825,1178929,2140446,camara,178929,Deputado,camara,Requerimento,CCP,1,1
825,1178989,2140446,camara,178989,Deputado,camara,Requerimento,CCP,1,1
825,1204366,2140446,camara,204366,Deputado,camara,Requerimento,CCP,1,1
825,1204373,2140446,camara,204373,Deputado,camara,Requerimento,COAPP(SGM),1,1
825,1204416,2140446,camara,204416,Deputado,camara,Requerimento,CCP,1,1
825,1204439,2140446,camara,204439,Deputado,camara,Requerimento,CCP,1,1
825,1204472,2140446,camara,204472,Deputado,camara,Requerimento,CCP,1,1
825,1204497,2140446,camara,204497,Deputado,camara,Requerimento,CCP,1,1
825,1204508,2140446,camara,204508,Deputado,camara,Requerimento,CCP,1,1
825,1204528,2140446,camara,204528,Deputado,camara,Requerimento,CCP,1,1
825,1204543,2140446,camara,204543,Deputado,camara,Requerimento,CCP,1,1
825,1205535,2140446,camara,205535,Deputado,camara,Requerimento,CCP,1,1
825,1178910,2140446,camara,178910,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
825,1178929,2140446,camara,178929,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
825,1204366,2140446,camara,204366,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
825,1204433,2140446,camara,204433,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
825,1204439,2140446,camara,204439,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
825,1204528,2140446,camara,204528,Deputado,camara,Requerimento,COAPP(SGM),0.1,1
803,169871,2148338,camara,69871,Deputado,camara,Requerimento,PLEN,1,1
921,1178990,2150592,camara,178990,Deputado,camara,Parecer,CDU,6,6
921,1141459,2150592,camara,141459,Deputado,camara,Prop. Original / Apensada,CCTCI,1,1
921,1178992,2150592,camara,178992,Deputado,camara,Requerimento,CCP,1,1
921,1178990,2150592,camara,178990,Deputado,camara,Requerimento,CDU,0.3333333333333333,1
921,1178992,2150592,camara,178992,Deputado,camara,Requerimento,CDU,0.3333333333333333,1
921,1209189,2150592,camara,209189,Deputado,camara,Requerimento,CDU,0.3333333333333333,1
921,174262,2150592,camara,74262,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,174439,2150592,camara,74439,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,1132504,2150592,camara,132504,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,1160511,2150592,camara,160511,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,1160531,2150592,camara,160531,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,1160541,2150592,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
921,1178992,2150592,camara,178992,Deputado,camara,Requerimento,COAPP(SGM),0.14285714285714285,1
924,174317,2165194,camara,74317,Deputado,camara,Parecer,PEC39117,3,3
924,1160598,2165194,camara,160598,Deputado,camara,Requerimento,PEC39117,2,2
924,1160604,2165194,camara,160604,Deputado,camara,Requerimento,PEC39117,2,2
924,173486,2165194,camara,73486,Deputado,camara,Requerimento,PEC39117,1,1
924,174317,2165194,camara,74317,Deputado,camara,Requerimento,SEPRO,1,1
924,1143084,2165194,camara,143084,Deputado,camara,Requerimento,PEC39117,1,1
924,1160604,2165194,camara,160604,Deputado,camara,Requerimento,CCP,1,1
924,1160673,2165194,camara,160673,Deputado,camara,Requerimento,COAPP(SGM),1,1
924,1178861,2165194,camara,178861,Deputado,camara,Requerimento,COAPP(SGM),1,1
924,1178884,2165194,camara,178884,Deputado,camara,Requerimento,PEC39117,1,1
924,1178964,2165194,camara,178964,Deputado,camara,Requerimento,COAPP(SGM),1,1
789,1137070,2166595,camara,137070,Deputado,camara,Requerimento,PEC39717,1,1
789,1137070,2166595,camara,137070,Deputado,camara,Requerimento,SEPRO,1,1
789,1178993,2166595,camara,178993,Deputado,camara,Requerimento,COAPP(SGM),1,1
941,1160575,2170681,camara,160575,Deputado,camara,Requerimento,CCP,1,1
941,1160575,2170681,camara,160575,Deputado,camara,Requerimento,NAJUR(SGM),1,1
235,1160604,2183034,camara,160604,Deputado,camara,Requerimento,CCP,1,1
703,1204556,2183264,camara,204556,Deputado,camara,Parecer,CINDRA,4,4
703,174043,2183264,camara,74043,Deputado,camara,Requerimento,NAJUR(SGM),2,2
703,174043,2183264,camara,74043,Deputado,camara,Requerimento,CCP,1,1
703,1160531,2183264,camara,160531,Deputado,camara,Requerimento,NAJUR(SGM),1,1
703,1178860,2183264,camara,178860,Deputado,camara,Emenda,PLEN,1,1
703,1204425,2183264,camara,204425,Deputado,camara,Requerimento,NAJUR(SGM),1,1
703,1204556,2183264,camara,204556,Deputado,camara,Parecer,CCJC,1,1
703,174043,2183264,camara,74043,Deputado,camara,Requerimento,COAPP(SGM),0.2,1
703,174439,2183264,camara,74439,Deputado,camara,Requerimento,COAPP(SGM),0.2,1
703,1160531,2183264,camara,160531,Deputado,camara,Requerimento,COAPP(SGM),0.2,1
703,1160541,2183264,camara,160541,Deputado,camara,Requerimento,COAPP(SGM),0.2,1
703,1204494,2183264,camara,204494,Deputado,camara,Requerimento,COAPP(SGM),0.2,1
898,1178977,2189814,camara,178977,Deputado,camara,Parecer,CCJC,1,1
898,1204463,2189814,camara,204463,Deputado,camara,Parecer,CME,1,1
882,172442,2190084,camara,72442,Deputado,camara,Prop. Original / Apensada,CMADS,2,2
882,1178920,2190084,camara,178920,Deputado,camara,Prop. Original / Apensada,CMADS,2,2
882,1204399,2190084,camara,204399,Deputado,camara,Prop. Original / Apensada,CMADS,2,2
882,1204444,2190084,camara,204444,Deputado,camara,Prop. Original / Apensada,CMADS,2,2
882,1204472,2190084,camara,204472,Deputado,camara,Prop. Original / Apensada,CMADS,2,2
882,167138,2190084,camara,67138,Deputado,camara,Prop. Original / Apensada,CCP,1,1
882,167138,2190084,camara,67138,Deputado,camara,Prop. Original / Apensada,MESA,1,1
882,173943,2190084,camara,73943,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,174158,2190084,camara,74158,Deputado,camara,Prop. Original / Apensada,CCP,1,1
882,174305,2190084,camara,74305,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,174371,2190084,camara,74371,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1122974,2190084,camara,122974,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1141398,2190084,camara,141398,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1141405,2190084,camara,141405,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1141421,2190084,camara,141421,Deputado,camara,Prop. Original / Apensada,CCP,1,1
882,1141428,2190084,camara,141428,Deputado,camara,Requerimento,CAPADR,1,1
882,1159237,2190084,camara,159237,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1160552,2190084,camara,160552,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1160635,2190084,camara,160635,Deputado,camara,Prop. Original / Apensada,CCP,1,1
882,1160642,2190084,camara,160642,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1178951,2190084,camara,178951,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1178993,2190084,camara,178993,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204353,2190084,camara,204353,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204386,2190084,camara,204386,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204404,2190084,camara,204404,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204415,2190084,camara,204415,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204448,2190084,camara,204448,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204456,2190084,camara,204456,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204471,2190084,camara,204471,Deputado,camara,Prop. Original / Apensada,CCP,1,1
882,1204471,2190084,camara,204471,Deputado,camara,Prop. Original / Apensada,CMADS,1,1
882,1204471,2190084,camara,204471,Deputado,camara,Requerimento,CAPADR,1,1
