label,start,end,time_interval,group,color
Apresentação - Origem (Senado),2018-04-18,2018-04-19,1,Global,#d6952a
CCJ - Origem (Senado),2018-04-19,2018-08-07,110,Global,#ffffcc
Recebimento,2018-04-18,2018-04-19,1,Situação na comissão,#d7191c
Análise do relator,2018-04-19,2018-08-07,110,Situação na comissão,#fdae61
inicio_prazo_emendas,2018-04-18,2018-04-18,0,Evento,#a9a9a9
designado_relator,2018-04-19,2018-04-19,0,Evento,#a9a9a9
devolvido,2018-04-24,2018-04-24,0,Evento,#a9a9a9
designado_relator,2018-05-02,2018-05-02,0,Evento,#a9a9a9
devolvido,2018-07-05,2018-07-05,0,Evento,#a9a9a9
designado_relator,2018-08-07,2018-08-07,0,Evento,#a9a9a9
