label,start,end,time_interval,group,color
Tramitação - Casa de Origem (Senado),2016-12-08,2016-12-14,0,Global,#f37340
Tramitação - Casa de Origem,2016-12-14,2016-12-14,0,Global,#546452
Apresentação,2016-12-09,2016-12-09,0,Casa,#d6952a
Plenário,2016-12-09,2016-12-14,5,Casa,#5496cf
Plenário,2016-12-09,2016-12-14,5,Comissão,NA
iniciativa,2016-12-09,2016-12-09,0,Sub-fase Comissão,#7fc97f
discussao_deliberacao,2016-12-09,2016-12-14,5,Sub-fase Comissão,#beaed4
virada_de_casa,2016-12-14,2016-12-14,0,Sub-fase Comissão,#ffff99
aprovacao_projeto,2016-12-13,2016-12-13,0,Evento,#a9a9a9
Tramitação - Casa de Origem,2016-12-08,2016-12-14,0,global,#f37340
Tramitação - Casa Revisora,2016-12-14,2016-12-14,0,global,#546452
