prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2173743,camara,2018-05-02T17:35:00Z,1,"Apresentação do Projeto de Lei Complementar n. 501/2018, pelas Deputadas Laura Carneiro (DEM-RJ) e Carmen Zanotto (PPS-SC), que: ""Altera o art. 9º da Lei Complementar nº 101, de 4 de maio de 2000, para vedar a limitação de despesas destinadas à manutenção e desenvolvimento do ensino de que trata o art. 212 da Constituição Federal"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1656380,2173743
2173743,camara,2018-05-02T17:35:00Z,2,Realizar o Encaminhamento para SECAP(SGM),SEPRO,910,NA,NA,2173743
2173743,camara,2018-05-02T17:36:00Z,3,Encaminhado  à CEDI (Legislação Citada),CEDI,1004,NA,NA,2173743
2173743,camara,2018-05-03T09:23:00Z,4,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 5773/2018.,SEPRO,180,NA,NA,2173743
2173743,camara,2018-05-03T09:45:00Z,5,Recebimento pela SECAP(SGM).,SECAP(SGM),500,NA,NA,2173743
2173743,camara,2018-05-08T00:00:00Z,6,Despacho a Confirmar.,MESA,110,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1657163,2173743
2173743,camara,2018-06-07T11:18:00Z,7,Despacho Chancelado,SECAP(SGM),180,NA,NA,2173743
2173743,camara,2018-06-07T11:19:00Z,8,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA,NA,2173743
2173743,camara,2018-06-07T11:41:00Z,9,"Apense-se à(ao) PLP-307/2002. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",MESA,129,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1657163,2173743
2173743,camara,2018-06-07T11:41:00Z,10,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,NA,NA,2173743
2173743,camara,2018-06-07T12:12:00Z,11,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 1515/2018.,SECAP(SGM),180,NA,NA,2173743
2173743,camara,2018-06-07T15:34:00Z,12,Recebimento pela CCP.,CCP,500,NA,NA,2173743
2173743,camara,2018-06-08T16:19:00Z,13,Encaminhado à(ao) CCJC através da guia de Remessa (GR/CCP) nº 14060/2018.,CCP,180,NA,NA,2173743
2173743,camara,2018-06-08T17:12:00Z,14,Recebimento pela CCJC.,CCJC,500,Tramitando em Conjunto,NA,2173743
2173743,camara,2018-06-11T00:00:00Z,16,"Devolvido ao Relator, Dep. Paulo Magalhães (PSD-BA), para reexame em razão da apensação do PLP 458/2017.",CCJC,170,Tramitando em Conjunto,NA,2173743
2173743,camara,2018-06-11T00:00:00Z,17,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 12/06/18 PÁG 40 COL 01.,CCP,604,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1695657,2173743
2173743,camara,2018-06-11T12:13:00Z,15,Apensação desta proposição ao PLP 307/2002.,CCJC,106,Tramitando em Conjunto,NA,2173743
2173743,camara,2018-12-18T18:03:00Z,18,"Apresentação do Requerimento n. 9377/2018, pela Deputada Carmen Zanotto (PPS-SC), que: ""Requer a minha inclusão como coautora nas proposições abaixo relacionadas, todas de autoria da Deputada Federal Laura Carneiro:"".",PLEN,194,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1702018,2173743
2173743,camara,2018-12-21T00:00:00Z,19,"Deferido o Requerimento n. 9.377/2018, conforme despacho do seguinte teor: ""Defiro, exceto quanto ao pedido de coautoria do Projeto de Decreto Legislativo n. 786/2017 e do Projeto de Lei n. 9657/218, que depende da anuência de todos os autores respectivos, e quanto às Propostas de Emenda à Constituição n. 320/2017 e 355/2017, nos termos do art. 102, § 4º, do RICD. Publique-se.""",MESA,203,NA,NA,2173743
2173743,camara,2019-01-31T00:00:00Z,20,Arquivado nos termos do Artigo 105 do Regimento Interno da Câmara dos Deputados.,MESA,502,NA,NA,2173743
2173743,camara,2019-02-19T19:46:00Z,21,"Desarquivado nos termos do Artigo 105 do RICD, em conformidade com o despacho exarado no REQ-40/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711769,2173743
2173743,camara,2019-02-19T19:46:00Z,22,Reentrada na comissão por motivo de desarquivamento,SECAD(SGM),630,NA,NA,2173743
2173743,camara,2019-02-19T20:00:00Z,23,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-56/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711773,2173743
2173743,camara,2019-02-19T20:04:00Z,24,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-63/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711809,2173743
2173743,camara,2019-02-19T20:52:00Z,25,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-160/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711896,2173743
2173743,camara,2019-02-20T21:05:00Z,26,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-306/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1712448,2173743
2173743,camara,2019-02-21T10:47:00Z,27,Apense-se a este(a) o(a) PLP-8/2019.,MESA,504,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1709226,2173743
2173743,camara,2019-02-21T17:50:00Z,28,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-187/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1712941,2173743
2173743,camara,2019-02-26T11:27:00Z,29,Apensação do PLP 8/2019 a esta proposição.,CCJC,504,Tramitando em Conjunto,NA,2173743
2173743,camara,2019-02-26T20:18:00Z,30,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-588/2019.",MESA,640,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1715022,2173743
2173743,camara,2019-05-21T20:46:00Z,31,"Apresentação do Requerimento de Desapensação n. 1527/2019, pela Deputada Margarida Salomão (PT-MG), que: ""Requer a desapensação da proposição que especifica"".",PLEN,194,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750696,2173743
2173743,camara,2019-06-18T00:00:00Z,32,"Indeferido o Requerimento n. 1.527/2019, conforme despacho do seguinte teor: ""Indefiro o Requerimento n. 1.527/2019, nos termos do caput do art. 142 do RICD, porquanto os Projetos de Lei Complementar n. 8/2019 e 501/2018 visam à alteração do mesmo dispositivo legal, com finalidade normativa de mesma natureza. Publique-se. Oficie-se.""",MESA,203,NA,NA,2173743
