data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,evento,local,casa,situacao_comissao
2016-11-11T17:37:00Z,NA,Publicação de Proposição,Encaminhamento de Parecer à CCP para publicação.,2056568,NA,604,"Ordinária (Art. 151, III, RICD)",35,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,NA,CMADS,Comissões,Encaminhamento
2016-11-11T17:44:00Z,Aguardando Parecer,Recebimento,Recebimento pela CFT.,2056568,915,500,"Ordinária (Art. 151, III, RICD)",36,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Recebimento
2016-11-11T17:48:00Z,NA,Publicação de Proposição,Parecer recebido para publicação.,2056568,NA,604,"Ordinária (Art. 151, III, RICD)",37,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,NA,CFT,Comissões,Recebimento
2016-11-16T00:00:00Z,NA,Publicação de Proposição,"Encaminhada à publicação. Parecer da Comissão de Meio Ambiente e Desenvolvimento Sustentável Publicado em avulso e no DCD de 17/11/16 PÁG 218 COL 01, Letra A.",2056568,NA,604,"Ordinária (Art. 151, III, RICD)",38,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1522137,NA,CFT,Comissões,Recebimento
2016-11-23T00:00:00Z,Aguardando Parecer,Designação de Relator,"Designado Relator, Dep. Alfredo Kaefer (PSL-PR)",2056568,915,320,"Ordinária (Art. 151, III, RICD)",39,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,designado_relator,CFT,Comissões,Análise do relator
2016-11-24T00:00:00Z,Aguardando Parecer,Abertura de Prazo,Prazo para Emendas ao Projeto (5 sessões a partir de 25/11/2016),2056568,915,350,"Ordinária (Art. 151, III, RICD)",40,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,abertura_prazo_emendas,CFT,Comissões,Análise do relator
2016-12-07T00:00:00Z,Aguardando Parecer,Encerramento de Prazo,Encerrado o prazo para emendas ao projeto. Não foram apresentadas emendas.,2056568,915,600,"Ordinária (Art. 151, III, RICD)",41,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,encerramento_prazo_emendas,CFT,Comissões,Análise do relator
2017-08-03T13:52:00Z,Aguardando Parecer,Recebimento - Relator,"Apresentação do Parecer do Relator n. 1 CFT, pelo Deputado Alfredo Kaefer (PSL-PR).",2056568,915,501,"Ordinária (Art. 151, III, RICD)",42,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1582523,NA,CFT,Comissões,Análise do relator
2017-08-03T13:52:00Z,Aguardando Parecer,Parecer do Relator,"Parecer do Relator, Dep. Alfredo Kaefer (PSL-PR), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária do Projeto de Lei 3751/2015 e do Substitutivo da Comissão de Meio Ambiente e Desenvolvimento Sustentável.",2056568,915,322,"Ordinária (Art. 151, III, RICD)",43,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1582523,parecer_pela_aprovacao_com_substitutivo,CFT,Comissões,Discussão e votação
2017-08-14T00:00:00Z,Aguardando Parecer,Notificações,Recebido o Informativo da CONOF.,2056568,915,1005,"Ordinária (Art. 151, III, RICD)",44,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1585930,NA,CFT,Comissões,Discussão e votação
