data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,fase,evento,local,casa
2016-03-16T14:03:00Z,NA,Apresentação de Proposição,"Apresentação da Reclamação n. 2/2016, pelo Deputado Arnaldo Faria de Sá (PTB-SP), que: ""Solicita, com fundamento no parágrafo único do art. 130 do Regimento Interno, a devolução à Comissão de Constituição e Justiça e de Cidadania - CCJC - do parecer por ela proferido ao apreciar o PL 3.123 (teto remuneratório dos agentes políticos e públicos), pois a manifestação da Comissão não foi feita de forma objetiva acarretando dúvida sobre o posicionamento da CCJC acerca da constitucionalidade de alguns dos dispositivos.
"".",2121442,NA,100,"Prioridade (Art. 151, II, RICD)",1,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1443883,iniciativa,NA,CD-MESA-PLEN,Apresentação
2016-12-14T00:00:00Z,NA,Recebimento,"Recebido o ofício nº 1403/2016, do Senado Federal, que submete à revisão da Câmara dos Deputados, nos termos do art. 65 da Constituição Federal, o Projeto de Lei do Senado nº 449, de 2016, de autoria da Comissão Especial do Extrateto (SF), constante dos autógrafos em anexo, que ""Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal"".
",2121442,NA,500,"Prioridade (Art. 151, II, RICD)",2,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1517937,recebimento,NA,CD-MESA-PLEN,Apresentação
2016-12-14T22:16:00Z,NA,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 6726/2016, pelo Senado Federal, que: ""Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal"".",2121442,NA,100,"Prioridade (Art. 151, II, RICD)",3,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1517935,iniciativa,NA,CD-MESA-PLEN,Apresentação
2016-12-14T22:16:00Z,NA,Notificação de Encaminhamento Fora de Fluxo,Realizar o Encaminhamento para SEPRO,2121442,NA,910,"Prioridade (Art. 151, II, RICD)",5,SEPRO,https://dadosabertos.camara.leg.br/api/v2/orgaos/100229,NA,recebimento,NA,CD-MESA-PLEN,Apresentação
2016-12-14T22:19:00Z,NA,Notificação (CeDi) - Legislação Citada,Encaminhado  à CEDI (Legislação Citada),2121442,NA,1004,"Prioridade (Art. 151, II, RICD)",4,CEDI,https://dadosabertos.camara.leg.br/api/v2/orgaos/100046,NA,iniciativa,NA,CD-MESA-PLEN,Apresentação
2016-12-15T00:00:00Z,NA,Distribuição ,Despacho a Confirmar.,2121442,NA,110,"Prioridade (Art. 151, II, RICD)",8,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1517992,iniciativa,NA,CD-MESA-PLEN,Apresentação
2016-12-15T00:00:00Z,NA,Publicação de Proposição,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 16/12/16 PÁG 152 COL 01.,2121442,NA,604,"Prioridade (Art. 151, II, RICD)",15,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1542989,iniciativa,NA,CD-MESA-PLEN,Apresentação
2016-12-15T08:33:00Z,NA,Encaminhamento,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 3756/2016.,2121442,NA,180,"Prioridade (Art. 151, II, RICD)",6,SEPRO,https://dadosabertos.camara.leg.br/api/v2/orgaos/100229,NA,encaminhamento,NA,CD-MESA-PLEN,Apresentação
2016-12-15T09:37:00Z,NA,Recebimento,Recebimento pela SECAP(SGM).,2121442,NA,500,"Prioridade (Art. 151, II, RICD)",7,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,NA,recebimento,NA,CD-MESA-PLEN,Apresentação
2016-12-15T10:39:00Z,NA,Encaminhamento,Despacho Chancelado,2121442,NA,180,"Prioridade (Art. 151, II, RICD)",9,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,NA,encaminhamento,NA,CD-MESA-PLEN,Apresentação
