prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,evento,local
46249,camara,2006-03-28T00:00:00Z,38,"Apresentação do PRL 1 CMADS, pelo Dep. Paulo Baltazar",CMADS,501,NA,NA,CMADS
46249,camara,2006-03-28T16:05:00Z,39,"Parecer do Relator, Dep. Paulo Baltazar (PSB-RJ), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",CMADS,322,NA,parecer_pela_aprovacao_com_substitutivo,CMADS
46249,camara,2006-03-29T00:00:00Z,40,"Designado Relator, Dep. Givaldo Carimbão (PSB-AL)",CMADS,320,NA,designado_relator,CMADS
46249,camara,2006-04-04T00:00:00Z,41,"Deferido o REQ 3786/06 e determinado o encaminhamento, nos termos do art. 52, § 6º, do RICD, o Projeto de Lei n. 6.299/02 ao exame da Comissão de Seguridade Social e Família, esclarecendo que a matéria passa a ser da competência do Plenário, por força do disposto no mesmo dispositivo regimental, in fine.DCD 05 04 06 PAG 16929 COL 01.",MESA,1023,NA,NA,CMADS
46249,camara,2006-04-04T00:00:00Z,42,"À CMADS o Memorando nº 72/06 - CCP solicitando o encaminhamento deste à CSSF, nos termos do art. 52, § 6º do RICD. (SGM 881/06 - à CSSF)",CCP,1005,NA,NA,CMADS
46249,camara,2006-05-04T15:52:00Z,43,Encaminhado à(ao) CSSF através da guia de Remessa (GR/CMADS) nº 70/2006.,CMADS,180,NA,NA,CMADS
46249,camara,2006-05-05T00:00:00Z,45,"Designado Relator, Dep. Dr. Francisco Gonçalves (PPS-MG)",CSSF,320,NA,designado_relator,CMADS
46249,camara,2006-05-05T10:51:00Z,44,"Recebimento pela CSSF, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",CSSF,500,NA,NA,CSSF
46249,camara,2006-10-20T00:00:00Z,46,"Apresentação do Parecer do Relator, PRL 1 CSSF, pelo Dep. Dr. Francisco Gonçalves",CSSF,501,NA,NA,CSSF
46249,camara,2006-10-20T11:27:00Z,47,"Parecer do Relator, Dep. Dr. Francisco Gonçalves (PPS-MG), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",CSSF,322,NA,parecer_pela_aprovacao_com_substitutivo,CSSF
46249,camara,2006-11-22T09:30:00Z,48,Vista conjunta aos Deputados Angela Guadagnin e Dr. Benedito Dias.,CSSF,420,NA,pedido_de_vista,CSSF
46249,camara,2006-11-27T00:00:00Z,49,Prazo de Vista Encerrado,CSSF,600,NA,NA,CSSF
46249,camara,2006-11-28T00:00:00Z,50,"Apresentação do Parecer do Relator, PRL 2 CSSF, pelo Dep. Dr. Francisco Gonçalves",CSSF,501,NA,NA,CSSF
46249,camara,2006-11-28T14:26:00Z,51,"Parecer do Relator, Dep. Dr. Francisco Gonçalves (PPS-MG), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",CSSF,322,NA,parecer_pela_aprovacao_com_substitutivo,CSSF
46249,camara,2006-11-29T00:00:00Z,52,Retirado de pauta pelo Relator.,CSSF,250,NA,retirada_de_pauta,CSSF
46249,camara,2006-12-06T09:30:00Z,54,"Parecer Reformulado, Dep. Dr. Francisco Gonçalves (PPS-MG), pela rejeição deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados.",CSSF,322,NA,parecer_pela_rejeicao,CSSF
46249,camara,2006-12-06T09:30:00Z,55,"Aprovado por Unanimidade o Parecer, apresentou voto em separado a Deputada Thelma de Oliveira",CSSF,240,NA,aprovacao_parecer,CSSF
46249,camara,2006-12-06T15:29:00Z,53,"Apresentação do Voto em Separado, VTS 1 CSSF, pela Dep. Thelma de Oliveira",CSSF,431,NA,voto_em_separado,CSSF
46249,camara,2006-12-20T18:07:00Z,56,Encaminhado à(ao) CAPADR através da guia de Remessa (GR/CSSF) nº 366/2006.,CSSF,180,NA,NA,CSSF
46249,camara,2006-12-20T18:07:00Z,57,Encaminhamento de Parecer à CCP para publicação.,CSSF,604,NA,NA,CSSF
46249,camara,2006-12-21T10:23:00Z,58,"Recebimento pela CAPADR, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",CAPADR,500,NA,NA,CAPADR
46249,camara,2006-12-21T17:12:00Z,59,Parecer recebido para publicação.,CCP,604,NA,NA,CAPADR
46249,camara,2007-02-07T16:31:00Z,60,"Apresentação do REQUERIMENTO N.º 98, DE 2007, pelo Deputado(a) Fernando Coruja, que solicita o desarquivamento de proposição.",MESA,640,NA,NA,CAPADR
46249,camara,2007-02-14T17:26:00Z,61,"Apresentação do REQUERIMENTO N.º 267, DE 2007, pelo Deputado(a) Fernando Coruja, que solicita o desarquivamento de proposição.",MESA,640,NA,NA,CAPADR
46249,camara,2007-02-15T00:00:00Z,62,"Designado Relator, Dep. Roberto Balestra (PP-GO)",CAPADR,320,NA,designado_relator,CAPADR
46249,camara,2007-03-14T17:07:00Z,63,"Apresentação do Parecer do Relator, PRL 1 CAPADR, pelo Dep. Roberto Balestra",CAPADR,501,NA,NA,CAPADR
46249,camara,2007-03-14T17:07:00Z,64,"Parecer do Relator, Dep. Roberto Balestra (PP-GO), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",CAPADR,322,NA,parecer_pela_aprovacao_com_substitutivo,CAPADR
46249,camara,2007-03-21T00:00:00Z,66,"INDEFIRO a solicitação de desarquivamento desta proposição, conforme despacho exarado no REQ-98/2007.DCD de 22 03 07 PÁG 11392 COL 01.",MESA,640,NA,NA,CAPADR
46249,camara,2007-03-21T10:00:00Z,65,Não Deliberado,CAPADR,1008,NA,NA,CAPADR
46249,camara,2007-03-28T10:00:00Z,67,Retirado de pauta pelo Relator.,CAPADR,250,NA,retirada_de_pauta,CAPADR
46249,camara,2007-04-11T00:00:00Z,68,"INDEFIRO a solicitação de desarquivamento desta proposição, conforme despacho exarado no REQ-267/2007.DCD de 12 04 07 PÁG 15830 COL 01.",MESA,640,NA,NA,CAPADR
46249,camara,2007-07-04T10:00:00Z,69,Vista ao Deputado Assis do Couto.,CAPADR,420,NA,pedido_de_vista,CAPADR
46249,camara,2007-07-10T00:00:00Z,70,Devolução de Vista (Dep. Assis do Couto).,CAPADR,602,NA,NA,CAPADR
46249,camara,2007-08-08T10:00:00Z,71,Aprovado por Unanimidade o Parecer,CAPADR,240,NA,aprovacao_parecer,CAPADR
46249,camara,2007-08-09T11:21:00Z,72,Encaminhado à(ao) CCJC através da guia de Remessa (GR/CAPADR) nº 27/2007.,CAPADR,180,NA,NA,CAPADR
46249,camara,2007-08-09T11:21:00Z,73,Encaminhamento de Parecer à CCP para publicação.,CAPADR,604,NA,NA,CAPADR
46249,camara,2007-08-09T11:26:00Z,74,"Recebimento pela CCJC, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",CCJC,500,NA,NA,CCJC
46249,camara,2007-08-09T11:31:00Z,75,Parecer recebido para publicação.,CCP,604,NA,NA,CCJC
46249,camara,2007-10-03T00:00:00Z,76,"Designado Relator, Dep. Moreira Mendes (PPS-RO)",CCJC,320,NA,designado_relator,CCJC
46249,camara,2011-06-20T11:13:00Z,77,Apense-se a este(a) o(a) PL-1567/2011.,MESA,504,NA,NA,CCJC
46249,camara,2011-07-13T15:08:00Z,78,Apensação do PL 1567/2011 a esta proposição.,CCJC,504,NA,NA,CCJC
46249,camara,2011-07-13T15:23:00Z,79,Apense-se a este(a) o(a) PL-1779/2011.,MESA,504,NA,NA,CCJC
46249,camara,2011-08-02T10:42:00Z,80,Apensação do PL 1779/2011 a esta proposição.,CCJC,504,NA,NA,CCJC
46249,camara,2011-11-01T16:23:00Z,81,"Apresentação do Parecer do Relator n. 1 CCJC, pelo Deputado Moreira Mendes (PSD-RO).",CCJC,501,NA,NA,CCJC
46249,camara,2011-11-01T16:23:00Z,82,"Parecer do Relator, Dep. Moreira Mendes (PSD-RO), pela constitucionalidade, juridicidade e técnica legislativa deste, do Substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural, do PL 1567/2011, do PL 1779/2011, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005 e do PL 2495/2000, apensados, com emendas.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2012-01-31T00:00:00Z,83,Apense-se a este(a) o(a) PL-3063/2011.DCD do dia 04/02/12 PÁG 00434 COL 01. ,MESA,504,NA,NA,CCJC
46249,camara,2012-03-06T17:10:00Z,84,Apensação do PL 3063/2011 a esta proposição.,CCJC,504,NA,NA,CCJC
46249,camara,2012-03-13T00:00:00Z,85,"Devolvido ao Relator, Dep. Moreira Mendes (PSD-RO)",CCJC,170,NA,NA,CCJC
46249,camara,2012-08-30T10:09:00Z,86,"Apresentação do Parecer do Relator n. 2 CCJC, pelo Deputado Moreira Mendes (PSD-RO).",CCJC,501,NA,NA,CCJC
46249,camara,2012-08-30T10:09:00Z,87,"Parecer do Relator, Dep. Moreira Mendes (PSD-RO), pela constitucionalidade, juridicidade e técnica legislativa deste, do substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural, com emenda, do PL 1567/2011, do PL 1779/2011, do PL 3125/2000, com emenda, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, com emenda, do PL 2495/2000, com emenda, do PL 3063/2011, e do PL 4166/2012, apensados.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2012-10-09T00:00:00Z,88,"Devolvido ao Relator, Dep. Moreira Mendes (PSD-RO)",CCJC,170,NA,NA,CCJC
46249,camara,2013-05-21T11:15:00Z,89,"Apresentação do Parecer do Relator n. 3 CCJC, pelo Deputado Moreira Mendes (PSD-RO).",CCJC,501,NA,NA,CCJC
46249,camara,2013-05-21T11:15:00Z,90,"Parecer do Relator, Dep. Moreira Mendes (PSD-RO), pela constitucionalidade, juridicidade e técnica legislativa deste, do Substitutivo da Comissão de Agricultura, Abastecimento e Desenvolvimento Rural, do PL 1567/2011, do PL 1779/2011, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, do PL 2495/2000, do PL 3063/2011, e do PL 4166/2012, apensados, com emendas.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2014-10-08T00:00:00Z,91,"Encaminhada à publicação. Parecer da Comissão de Seguridade Social e Família e da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural Publicado no DCD de 09/10/14, PÁG 172 COL 01, Letra A.",CCP,604,NA,NA,CCJC
46249,camara,2014-11-17T00:00:00Z,92,"Devolvido ao Relator, Dep. Moreira Mendes (PSD-RO), a pedido.",CCJC,170,NA,NA,CCJC
46249,camara,2014-12-19T16:16:00Z,93,Devolvida sem Manifestação.,CCJC,507,NA,NA,CCJC
46249,camara,2015-04-23T00:00:00Z,94,"Designado Relator, Dep. Félix Mendonça Júnior (PDT-BA)",CCJC,320,NA,designado_relator,CCJC
46249,camara,2015-08-07T12:23:00Z,95,"Apresentação do Parecer do Relator n. 4 CCJC, pelo Deputado Félix Mendonça Júnior (PDT-BA).",CCJC,501,NA,NA,CCJC
46249,camara,2015-08-07T12:23:00Z,96,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA)",CCJC,322,NA,parecer,CCJC
46249,camara,2015-08-25T18:39:00Z,97,"Apresentação do Parecer do Relator n. 5 CCJC, pelo Deputado Félix Mendonça Júnior (PDT-BA).",CCJC,501,NA,NA,CCJC
46249,camara,2015-08-25T18:39:00Z,98,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA), pela constitucionalidade, juridicidade e técnica legislativa deste, do PL 5852/2001, do PL 5884/2005, do PL 1567/2011, do PL 1779/2011, PL 4166/2012, apensados; do Substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural; e do PL 3125/2000, do PL 6189/2005, do PL 2495/2000 e do PL 3063/2011, apensados, com emendas.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2015-09-23T00:00:00Z,99,"Devolvido ao Relator, Dep. Félix Mendonça Júnior (PDT-BA), em virtude de novo apensado.",CCJC,170,NA,NA,CCJC
46249,camara,2015-10-20T17:50:00Z,100,"Apresentação do Parecer do Relator n. 6 CCJC, pelo Deputado Félix Mendonça Júnior (PDT-BA).",CCJC,501,NA,NA,CCJC
46249,camara,2015-10-20T17:50:00Z,101,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA).",CCJC,322,NA,parecer,CCJC
46249,camara,2015-10-28T14:50:00Z,102,"Apresentação do Parecer do Relator, PRL 7 CCJC, pelo Dep. Félix Mendonça Júnior",CCJC,501,NA,NA,CCJC
46249,camara,2015-10-28T14:50:00Z,103,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA), pela constitucionalidade, juridicidade e técnica legislativa deste; do PL 5852/2001, do PL 5884/2005, do PL 1567/2011, do PL 1779/2011, PL 4166/2012, do PL 3125/2000, com emenda, do PL 6189/2005, com emenda, do PL 2495/2000, com emenda, do PL 3063/2011, com emenda, e do PL 2954/2015, com emenda, apensados; e do Substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2015-12-16T10:59:00Z,104,"Apresentação do Parecer do Relator, PRL 8 CCJC, pelo Dep. Félix Mendonça Júnior",CCJC,501,NA,NA,CCJC
46249,camara,2015-12-16T10:59:00Z,105,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA), pela constitucionalidade, juridicidade e técnica legislativa deste, do PL 5852/2001, do PL 5884/2005, do PL 1567/2011, do PL 1779/2011, do PL 4166/2012, apensados, e do Substittutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural; pela constitucionalidade, com emendas, juridicidade e técnica legislativa do PL 3125/2000, do PL 6189/2005, do PL 2495/2000 e do PL 3063/2011, apensados; e pela constitucionalidade, juridicidade e técnica legislativa, com emendas, do PL 2954/2015 e do PL 3649/2015, apensados.",CCJC,322,NA,parecer,CCJC
46249,camara,2016-05-03T00:00:00Z,106,"Devolvido ao Relator, Dep. Félix Mendonça Júnior (PDT-BA).",CCJC,170,NA,NA,CCJC
46249,camara,2016-06-02T14:00:00Z,109,"Apresentação do Requerimento de Participação ou Realização de Eventos fora da Câmara n. 34/2016, pelo Deputado Nilto Tatto (PT-SP), que: ""Requer a realização de Seminário, na cidade de São Paulo/SP, para debater sobre riscos decorrentes do uso de agrotóxicos, no contexto dos PLs nos 3200, de 2015 e 1687, de 2015"".",PL629902,194,NA,NA,CCJC
46249,camara,2016-06-02T16:21:00Z,107,"Apresentação do Parecer do Relator n. 9 CCJC, pelo Deputado Félix Mendonça Júnior (PDT-BA).",CCJC,501,NA,NA,CCJC
46249,camara,2016-06-02T16:21:00Z,108,"Parecer do Relator, Dep. Félix Mendonça Júnior (PDT-BA), pela constitucionalidade, juridicidade e técnica legislativa deste, do PL 5852/2001, do PL 5884/2005, do PL 1567/2011, do PL 1779/2011, do PL 4166/2012 e do PL 4933/2016, apensados; do PL 2495/2000, do PL 3125/2000, do PL 6189/2005 e do PL 3063/2011, apensados, com emendas saneadoras de constitucionalidade; do PL 3649/2015, apensado, com emenda saneadora de técnica legislativa; e do Substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural.",CCJC,322,NA,parecer_pela_aprovacao_com_substitutivo,CCJC
46249,camara,2016-06-07T14:30:00Z,111,Não deliberado.,CCJC,1008,NA,NA,CCJC
46249,camara,2016-06-07T15:20:00Z,110,"Apresentação do Requerimento n. 4597/2016, pelo Deputado Luiz Nishimori (PR-PR), que: ""Requer a apensação do Projeto de Lei nº 6.299/2002, que ""altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências"", ao Projeto de Lei nº 1.687/2015, que ""altera a Lei nº 7.802, de 11 de julho de 1989, para instituir a Política Nacional de Apoio aos Agrotóxicos e Afins de Baixa Periculosidade"""".",PLEN,194,Pronta para Pauta,NA,CCJC
46249,camara,2016-06-08T10:00:00Z,112,Não deliberado.,CCJC,1008,NA,NA,CCJC
46249,camara,2016-06-14T14:30:00Z,113,Não deliberado.,CCJC,1008,NA,NA,CCJC
46249,camara,2016-06-15T10:00:00Z,114,Não deliberado.,CCJC,1008,NA,NA,CCJC
46249,camara,2016-06-20T00:00:00Z,115,"Deferido o Requerimento n. 4.597/2016, conforme despacho do seguinte teor: ”Defiro o Requerimento n. 4.597/2016, nos termos dos arts. 142 e 143, II, “b”, do RICD, para determinar a apensação do Projeto de Lei n. 1.687/2015 ao Projeto de Lei n. 6.299/2002. Por conseguinte, determino a alteração do nome da Comissão Especial do Projeto de Lei n. 1.687/2015, para passar a se referir ao Projeto de Lei n. 6.299/2002, que encabeçará o bloco em apreciação. Publique-se. Oficie-se.[ATUALIZAÇÃO DO DESPACHO DO PL N. 6.299/2002: À CDEICS, à CMADS, à CSSF, à CAPADR, à CFT (mérito e art. 54 do RICD) e à CCJC (mérito e art. 54 do RICD). Proposição sujeita a apreciação do Plenário. . Regime de Tramitação: Prioridade.]”",MESA,504,NA,redistribuicao,CCJC
46249,camara,2016-06-20T00:00:00Z,116,Despacho a Confirmar.,MESA,110,NA,NA,CCJC
46249,camara,2016-06-20T00:00:00Z,119,"À Comissão de  Especial destinada a proferir parecer ao Projeto de Lei nº 6299, de 2002, do Senado Federal, que ""altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências"", e apensadosProposição Sujeita à Apreciação do Plenário",MESA,110,NA,distribuicao,CCJC
46249,camara,2016-06-20T23:00:00Z,117,Despacho Chancelado,SGMGAB,180,NA,NA,CCJC
46249,camara,2016-06-20T23:00:00Z,118,Notificação à Sinopse de Despacho Chancelado,SGMGAB,1005,NA,NA,CCJC
46249,camara,2016-06-20T23:00:00Z,120,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,NA,NA,CCJC
46249,camara,2016-06-21T00:00:00Z,122,À CCJC o memorando nº 143/2016 solicitando devolução deste.,CCP,1005,NA,NA,CCJC
46249,camara,2016-06-21T00:00:00Z,123,À CESP PL 6299_02 o memorando nº 144/16 informando apensação do PL 1687/15 a este.,CCP,1005,NA,NA,CCJC
46249,camara,2016-06-21T10:00:00Z,121,Não deliberado.,CCJC,1008,NA,NA,CCJC
46249,camara,2016-06-22T00:00:00Z,124,Devolução à CCP.,CCJC,1010,NA,NA,CCJC
