prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,evento,local
2160860,camara,2017-11-08T00:00:00Z,1,"Recebido o ofício nº 1203/17, do Senado Federal,  que submeteà revisão da Câmara dos Deputados, nos termos do art. 65 da Constituição Federal, o Projeto de Lei do Senado nº 212, de 2017, de autoria do Senador Dalirio Beber, constante dos autógrafos em anexo, que ""Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei nº  12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores"".",MESA,500,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T00:00:00Z,5,Despacho a Confirmar.,MESA,110,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T00:00:00Z,10,"Às Comissões de Desenvolvimento Econômico, Indústria, Comércio e Serviços; Trabalho, de Administração e Serviço Público; Defesa do Consumidor; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Em razão da distribuição a mais de três Comissões de mérito, determino a criação de Comissão Especial para analisar a matéria, conforme o inciso II do art. 34 do RICD. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",MESA,110,NA,distribuicao,CD-MESA-PLEN
2160860,camara,2017-11-08T16:32:00Z,2,"Apresentação do Projeto de Lei Complementar n. 441/2017, pelo Senado Federal, que: ""Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei nº 12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores"".",PLEN,100,Pronta para Pauta,apresentacao_da_pl,CD-MESA-PLEN
2160860,camara,2017-11-08T16:32:00Z,3,Realizar o Encaminhamento para SECAP(SGM),SEPRO,910,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T16:49:00Z,4,Encaminhado  à CEDI (Legislação Citada),CEDI,1004,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T20:03:00Z,6,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 5144/2017.,SEPRO,180,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T20:04:00Z,7,Recebimento pela SECAP(SGM) -  - Paula Regina dos Santos.,SECAP(SGM),500,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T20:04:00Z,8,Despacho Chancelado,SECAP(SGM),180,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T20:04:00Z,9,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-08T20:05:00Z,11,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-09T00:00:00Z,14,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 10/11/17 PÁG 383 COL 01.,CCP,604,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-09T10:41:00Z,12,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 1281/2017.,SECAP(SGM),180,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-09T11:07:00Z,13,Recebimento pela CCP.,CCP,500,NA,NA,CD-MESA-PLEN
2160860,camara,2017-11-22T00:00:00Z,15,"Ato da Presidência: Cria Comissão Especial, nos termos do inciso II do art. 34 do Regimento Interno.",PLEN,120,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2017-12-05T23:32:00Z,16,"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 7845/2017, pelo Líderes, que: ""Reque urgência para o Projeto de Lei Complementar n. 441, de 2017"".",PLEN,194,Pronta para Pauta,requerimento_urgencia,CD-MESA-PLEN
2160860,camara,2018-03-27T16:11:00Z,20,"Aprovado requerimento do Sr. Rodrigo Garcia que requer, nos termos do art. 154, urgência para apreciação do PLP 441/2017.",PLEN,196,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-03-27T16:11:00Z,21,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 8336/2018 => PLP 441/2017.,PLEN,196,Pronta para Pauta,alteracao_de_regime,CD-MESA-PLEN
2160860,camara,2018-03-27T17:36:00Z,17,"Apresentação do Requerimento de Urgência (Art. 154 do RICD) n. 8336/2018, pelo Deputado Rodrigo Garcia (DEM-SP), que: ""Requer, nos termos do art. 154, urgência para apreciação do PLP 441/2017"".",PLEN,194,Pronta para Pauta,requerimento_urgencia,CD-MESA-PLEN
2160860,camara,2018-04-04T00:00:00Z,24,Discussão em turno único. DCD 05 04 18 PÁG 276 COL 01.,PLEN,220,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-04T09:31:00Z,22,Matéria não apreciada em face do encerramento da Sessão. ,PLEN,5,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-04T13:32:00Z,23,Matéria não apreciada em face do encerramento da Sessão. ,PLEN,5,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-04T16:31:00Z,25,"Designado Relator, Dep. Walter Ihoshi (PSD-SP), para proferir o Parecer pela Comissão Especial.",PLEN,320,Pronta para Pauta,designado_relator,CD-MESA-PLEN
2160860,camara,2018-04-04T16:31:00Z,26,"Parecer proferido em Plenário pelo Relator, Dep. Walter Ihoshi (PSD-SP), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade e técnica legislativa; pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela aprovação, na forma do Substitutivo apresentado.",PLEN,322,Pronta para Pauta,parecer_pela_aprovacao_com_substitutivo,CD-MESA-PLEN
2160860,camara,2018-04-04T16:31:00Z,27,Adiada a discussão em face do encerramento da Ordem do Dia.,PLEN,221,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-05T00:00:00Z,28,"Encaminhada à publicação. Parecer Proferido em Plenário pela Comissão Especial. Publicado em avulso e no DCD de 06/04/18 PÁG 178 COL 01., Letra A.",CCP,604,NA,NA,CD-MESA-PLEN
2160860,camara,2018-04-10T14:00:00Z,29,"Retirado de pauta, de ofício.",PLEN,250,Pronta para Pauta,retirada_de_pauta,CD-MESA-PLEN
2160860,camara,2018-04-11T00:00:00Z,35,"Parecer Reformulado de Plenário, Dep. Walter Ihoshi (PSD-SP), pela Comissão Especial, que conclui pela constitucionalidade, juridicidade e técnica legislativa; pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela aprovação do Projeto de Lei Complementar 441/2017, na forma do Substitutivo reformulado nesta Complementação de Voto.",PLEN,322,Pronta para Pauta,parecer_pela_aprovacao_com_substitutivo,CD-MESA-PLEN
2160860,camara,2018-04-11T00:00:00Z,37,"Parecer às Emendas de Plenário, Dep. Walter Ihoshi (PSD-SP), pela rejeição das Emendas de Plenário de nºs 1 a 10.",PLEN,322,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T13:00:00Z,30,Matéria não apreciada em face do encerramento da Sessão. ,PLEN,5,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,31,Discussão em turno único.,PLEN,220,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,32,"Discutiram a Matéria: Dep. Vinicius Carvalho (PRB-SP), Dep. Luiz Carlos Hauly (PSDB-PR), Dep. Henrique Fontana (PT-RS), Dep. Celso Russomanno (PRB-SP) e Dep. Rodrigo Martins (PSB-PI).",PLEN,242,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,33,Encerrada a discussão.,PLEN,226,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,34,O Projeto foi emendado. Foram apresentadas as Emendas de Plenário de n°s 1 a 10.,PLEN,5,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,36,"Designado Relator, Dep. Walter Ihoshi (PSD-SP), para proferir Parecer às Emendas de Plenário pela Comissão Especial.",PLEN,320,Pronta para Pauta,designado_relator,CD-MESA-PLEN
2160860,camara,2018-04-11T17:52:00Z,38,Adiada a votação em face do encerramento da Sessão.,PLEN,234,Pronta para Pauta,NA,CD-MESA-PLEN
2160860,camara,2018-04-12T00:00:00Z,39,"Encaminhada à publicação. Parecer Reformulado em Plenário, Emendas apresentadas em Plenário e Parecer às Emendas de Plenário publicados em avulso e no DCD de 13/04/18 PÁG 1302 COL 01, Letra B.",CCP,604,NA,NA,CD-MESA-PLEN
