,id_ext,date,casa,PL das Compras Publicas Nova Lei de Licitacoes,PL 1292/1995,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,16526,2019-04-08,camara,0,0,False,0,0,0
1,16526,2019-04-15,camara,0,88,False,88,0,88
2,16526,2019-04-22,camara,0,0,False,0,0,0
3,16526,2019-04-29,camara,0,0,False,0,0,0
4,16526,2019-05-06,camara,0,91,False,91,0,91
5,16526,2019-05-13,camara,0,82,False,82,0,82
6,16526,2019-05-20,camara,0,0,False,0,0,0
7,16526,2019-05-27,camara,0,0,False,0,0,0
8,16526,2019-06-03,camara,0,0,False,0,0,0
9,16526,2019-06-10,camara,0,0,False,0,0,0
10,16526,2019-06-17,camara,0,0,False,0,0,0
11,16526,2019-06-24,camara,0,0,False,0,0,0
12,16526,2019-07-01,camara,0,0,False,0,0,0
13,16526,2019-07-08,camara,0,89,False,89,0,89
14,16526,2019-07-15,camara,0,93,False,93,0,93
15,16526,2019-07-22,camara,0,85,False,85,0,85
16,16526,2019-07-29,camara,0,0,False,0,0,0
17,16526,2019-08-05,camara,0,81,False,81,0,81
18,16526,2019-08-12,camara,0,0,False,0,0,0
19,16526,2019-08-19,camara,0,84,False,84,0,84
20,16526,2019-08-26,camara,0,0,False,0,0,0
21,16526,2019-09-02,camara,0,0,False,0,0,0
22,16526,2019-09-09,camara,0,76,False,76,0,76
23,16526,2019-09-16,camara,0,100,False,100,0,100
24,16526,2019-09-23,camara,0,76,False,76,0,76
25,16526,2019-09-30,camara,0,0,False,0,0,0
