,id_ext,date,casa,PEC 6/2019,Nova Previdencia,reforma da previdencia,nova reforma da previdencia,pec 6/2019 pdf,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,2192459,2019-02-25,camara,0,1,10,0,0,False,1,10,10
1,2192459,2019-03-04,camara,0,0,6,0,0,False,0,6,6
2,2192459,2019-03-11,camara,0,1,6,0,0,False,1,6,6
3,2192459,2019-03-18,camara,0,1,12,0,0,False,1,12,12
4,2192459,2019-03-25,camara,0,1,8,0,0,False,1,8,8
5,2192459,2019-04-01,camara,0,1,8,0,0,False,1,8,8
6,2192459,2019-04-08,camara,1,1,7,0,0,False,1,7,7
7,2192459,2019-04-15,camara,0,1,8,0,0,False,1,8,8
8,2192459,2019-04-22,camara,0,1,26,1,0,False,1,26,26
9,2192459,2019-04-29,camara,0,0,7,0,0,False,0,7,7
10,2192459,2019-05-06,camara,0,1,9,0,0,False,1,9,9
11,2192459,2019-05-13,camara,0,1,9,0,0,False,1,9,9
12,2192459,2019-05-20,camara,0,1,9,0,0,False,1,9,9
13,2192459,2019-05-27,camara,0,1,8,0,0,False,1,8,8
14,2192459,2019-06-03,camara,0,1,8,0,0,False,1,8,8
15,2192459,2019-06-10,camara,0,2,25,1,0,False,2,25,25
16,2192459,2019-06-17,camara,0,1,9,0,0,False,1,9,9
17,2192459,2019-06-24,camara,0,1,7,0,0,False,1,7,7
18,2192459,2019-07-01,camara,0,3,24,1,0,False,3,24,24
19,2192459,2019-07-08,camara,1,12,100,3,0,False,12,100,100
20,2192459,2019-07-15,camara,0,2,11,1,0,False,2,11,11
21,2192459,2019-07-22,camara,0,1,4,0,0,False,1,4,4
22,2192459,2019-07-29,camara,0,0,4,0,0,False,0,4,4
23,2192459,2019-08-05,camara,0,2,13,1,0,False,2,13,13
24,2192459,2019-08-12,camara,0,1,5,0,0,False,1,5,5
25,2192459,2019-08-19,camara,0,0,3,0,0,False,0,3,3
