prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2139753,camara,2017-05-31T15:17:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 22/2017, pela Deputada Professora Dorinha Seabra Rezende (DEM-TO), que: ""Requer a realização  de Audiência Pública com a presença do Senhor César Callegari, educador e membro do Conselho Nacional da Educação; do Senhor Marcos Holanda, economista e professor universitário; do Senhor Eduardo Rios Neto, professor universitário; do Senhor Armando Amorim Simões, especialista em Políticas Públicas e Gestão Governamental; do Senhor João Marcelo Borges, economista e especialista em Educação; e do Senhor José Carlos Polo, economista e consultor de Finanças Públicas"".",PEC01515,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1564863,2139753
2139753,camara,2017-06-01T09:30:00Z,2,Não Deliberado.,PEC01515,1008,Arquivada,NA,2139753
2139753,camara,2017-06-13T10:30:00Z,3,Não Deliberado,PEC01515,1008,Arquivada,NA,2139753
2139753,camara,2017-06-20T10:30:00Z,4,Não Deliberado.,PEC01515,1008,Arquivada,NA,2139753
2139753,camara,2017-06-29T09:30:00Z,5,Não Deliberado,PEC01515,1008,Arquivada,NA,2139753
2139753,camara,2017-08-08T11:00:00Z,6,Aprovado,PEC01515,241,Arquivada,NA,2139753
2139753,camara,2019-01-31T00:00:00Z,7,Arquivado em decorrência do encerramento da Comissão Especial pelo fim da Legislatura.,PEC01515,502,Arquivada,NA,2139753
