id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,votos_validos,num_seguiu,disciplina,bancada_suficiente
204575,1204575,PDT,PDT,camara,500,190,0.38,TRUE
204576,1204576,REPUBLICANOS,REPUBLICANOS,camara,442,307,0.6945701357466063,TRUE
205476,1205476,PSD,PSD,camara,538,415,0.7713754646840149,TRUE
205535,1205535,PL,PODEMOS,camara,40,40,1,NA
205535,1205535,PODEMOS,PODEMOS,camara,86,57,0.6627906976744186,TRUE
205548,1205548,PSOL,PSOL,camara,438,403,0.9200913242009132,TRUE
205550,1205550,REPUBLICANOS,REPUBLICANOS,camara,534,405,0.7584269662921348,TRUE
205863,1205863,PSL,PSL,camara,494,441,0.8927125506072875,TRUE
205865,1205865,PSD,PSD,camara,397,355,0.8942065491183879,TRUE
206231,1206231,PSB,PSB,camara,562,452,0.8042704626334519,TRUE
207176,1207176,PSDB,PSDB,camara,532,449,0.8439849624060151,TRUE
207309,1207309,PSL,PSL,camara,336,312,0.9285714285714286,TRUE
209189,1209189,PT,PT,camara,503,464,0.9224652087475149,TRUE
211649,1211649,PSL,PSL,camara,70,64,0.9142857142857143,TRUE
211866,1211866,CIDADANIA,CIDADANIA,camara,107,101,0.9439252336448598,TRUE
212504,1212504,AVANTE,AVANTE,camara,52,13,0.25,TRUE
212625,1212625,AVANTE,REPUBLICANOS,camara,14,0,0,NA
212625,1212625,REPUBLICANOS,REPUBLICANOS,camara,72,50,0.6944444444444444,TRUE
212749,1212749,PL,PL,camara,171,163,0.9532163742690059,TRUE
213274,1213274,PSB,PSB,camara,264,156,0.5909090909090909,TRUE
213679,1213679,PROS,PROS,camara,114,93,0.8157894736842105,TRUE
213762,1213762,PROS,PROS,camara,216,168,0.7777777777777778,TRUE
213854,1213854,PROS,PROS,camara,25,18,0.72,TRUE
213856,1213856,REPUBLICANOS,REPUBLICANOS,camara,56,50,0.8928571428571429,TRUE
214445,1214445,PP,PP,camara,91,83,0.9120879120879121,TRUE
214477,1214477,MDB,MDB,camara,90,65,0.7222222222222222,TRUE
214694,1214694,PL,PL,camara,86,83,0.9651162790697675,TRUE
215042,1215042,PSC,PSC,camara,58,57,0.9827586206896551,TRUE
215043,1215043,PODEMOS,PODEMOS,camara,60,52,0.8666666666666667,TRUE
215044,1215044,PSOL,PSOL,camara,51,48,0.9411764705882353,TRUE
215045,1215045,PSD,PSD,camara,61,57,0.9344262295081968,TRUE
