legislatura,id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar
53,154919,1154919,camara,Eleuses Paiva,M,PSD,SP,Suplente,0,1
53,141423,1141423,camara,Eliene Lima,M,PSD,MT,Titular,0,1
53,74198,174198,camara,Eliseu Moura,M,PP*,MA,Suplente,0,1
53,73892,173892,camara,Eliseu Padilha,M,PMDB,RS,Efetivado,0,1
53,141424,1141424,camara,Elismar Prado,M,PT,MG,Titular,0,1
53,152609,1152609,camara,Elizeu Aguiar,M,PTB,PI,Suplente,0,1
53,74119,174119,camara,Emanuel Fernandes,M,PSDB,SP,Titular,0,1
53,153384,1153384,camara,Emilia Fernandes,F,PT,RS,Efetivado,0,1
53,154997,1154997,camara,Emiliano José,M,PT,BA,Efetivado,0,1
53,74269,174269,camara,Enéas,M,PR,SP,Titular,0,1
53,73893,173893,camara,Enio Bacci,M,PDT,RS,Titular,0,1
53,141425,1141425,camara,Ernandes Amorim,M,PTB,RO,Titular,0,1
53,141386,1141386,camara,Eudes Xavier,M,PT,CE,Titular,0,1
53,141426,1141426,camara,Eugênio Rabelo,M,PP**,CE,Titular,0,1
53,74454,174454,camara,Eunício Oliveira,M,PMDB,CE,Titular,0,1
53,74099,174099,camara,Euripedes Miranda,M,PT,RO,Suplente,0,1
53,74345,174345,camara,Evandro Milhomen,M,PCdoB,AP,Titular,0,1
53,141428,1141428,camara,Fábio Faria,M,PSD,RN,Titular,0,1
53,141427,1141427,camara,Fábio Ramalho,M,MDB,MG,Titular,1,1
53,74062,174062,camara,Fábio Souto,M,DEM,BA,Titular,0,1
53,74037,174037,camara,Fátima Bezerra,F,PT,RN,Titular,0,1
53,74065,174065,camara,Fátima Pelaes,F,MDB,AP,Suplente,0,1
53,141430,1141430,camara,Felipe Bornier,M,PROS,RJ,Titular,0,1
53,141429,1141429,camara,Felipe Maia,M,DEM,RN,Titular,0,1
53,74542,174542,camara,Félix Mendonça,M,DEM,BA,Titular,0,1
53,154734,1154734,camara,Fernando Chiarelli,M,PDT,SP,Efetivado,0,1
53,141344,1141344,camara,Fernando Chucre,M,PSDB,SP,Titular,0,1
53,141431,1141431,camara,Fernando Coelho Filho,M,DEM,PE,Titular,1,1
53,73471,173471,camara,Fernando Coruja,M,PPS,SC,Titular,0,1
53,74063,174063,camara,Fernando De Fabinho,M,DEM,BA,Titular,0,1
53,74658,174658,camara,Fernando Diniz,M,PMDB,MG,Titular,0,1
53,74417,174417,camara,Fernando Ferro,M,PT,PE,Titular,0,1
53,74841,174841,camara,Fernando Gabeira,M,PV,RJ,Titular,0,1
53,74842,174842,camara,Fernando Gonçalves,M,PTB,RJ,Suplente,0,1
53,74843,174843,camara,Fernando Lopes,M,PMDB,RJ,Suplente,0,1
53,73481,173481,camara,Fernando Marroni,M,PT,RS,Suplente,0,1
53,141432,1141432,camara,Fernando Melo,M,PT,AC,Titular,0,1
53,152608,1152608,camara,Fernando Nascimento,M,PT,PE,Efetivado,0,1
53,74487,174487,camara,Fernando William,M,PMN,RJ,Suplente,0,1
53,141433,1141433,camara,Filipe Pereira,M,PSC,RJ,Titular,0,1
53,141434,1141434,camara,Flaviano Melo,M,MDB,AC,Titular,1,1
53,159260,1159260,camara,Flavio Antunes,M,PSDB,PR,Suplente,0,1
53,141435,1141435,camara,Flávio Bezerra,M,PRB,CE,Titular,0,1
53,141436,1141436,camara,Flávio Dino,M,PCdoB,MA,Titular,0,1
53,141438,1141438,camara,Francisco Praciano,M,PT,AM,Titular,0,1
53,73981,173981,camara,Francisco Rodrigues,M,DEM,RR,Titular,0,1
53,139212,1139212,camara,Francisco Rossi,M,PMDB,SP,Titular,0,1
