data_tramitacao,local,fase,evento,casa,global
2014-02-11,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-02-11,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-02-11,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-02-11,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-25,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-25,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-26,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-31,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-05-07,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-05-20,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-05-20,CCJ,Recebimento,NA,Comissões, - Origem (Senado)
2014-05-29,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-05-30,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,apresentação,Apresentação, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,NA,Apresentação, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,apresentação,Apresentação, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,NA,Apresentação, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,NA,Apresentação, - Origem (Senado)
2014-06-02,CCJ,Análise do relator,NA,Apresentação, - Origem (Senado)
2014-06-02,CAE,Recebimento,NA,Comissões, - Origem (Senado)
2014-06-02,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-06-02,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-06-02,CI,Recebimento,NA,Comissões, - Origem (Senado)
2014-06-02,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-06-02,CCJ,Recebimento,NA,Comissões, - Origem (Senado)
2014-07-15,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-07-15,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-01,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-01,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-01,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-14,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-18,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2014-09-10,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-10-22,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2014-11-13,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-12-16,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-12-18,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-12-18,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2014-12-18,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-10,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-26,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2015-08-13,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2015-08-28,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2015-08-31,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2015-09-02,CI,Análise do relator,NA,Comissões, - Origem (Senado)
2015-09-25,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2015-10-13,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2015-10-28,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2015-10-28,CI,Recebimento,NA,Comissões, - Origem (Senado)
2015-11-11,CI,Discussão e votação,pedido_vista,Comissões, - Origem (Senado)
2015-11-11,CI,Discussão e votação,pedido_vista,Comissões, - Origem (Senado)
2015-11-26,CI,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-11-27,CI,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-12-01,CI,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-12-02,CI,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-12-02,CI,Encaminhamento,aprovacao_parecer,Comissões, - Origem (Senado)
2015-12-02,CI,Encaminhamento,NA,Comissões, - Origem (Senado)
2016-02-15,CI,Encaminhamento,apresentação,Apresentação, - Origem (Senado)
2016-02-15,CI,Encaminhamento,NA,Apresentação, - Origem (Senado)
2016-02-15,CI,Encaminhamento,NA,Apresentação, - Origem (Senado)
2016-02-15,CAE,Encaminhamento,NA,Comissões, - Origem (Senado)
2016-02-16,CAE,Encaminhamento,NA,Comissões, - Origem (Senado)
2016-02-23,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2016-03-09,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2016-07-13,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2016-07-13,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2016-07-13,CAE,Discussão e votação,pedido_vista,Comissões, - Origem (Senado)
2016-07-13,CAE,Discussão e votação,pedido_vista,Comissões, - Origem (Senado)
2016-08-02,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-04,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-11,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-11,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-15,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-16,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-17,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-17,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-17,CAE,Discussão e votação,aprovacao_audiencia_publica,Comissões, - Origem (Senado)
2016-08-23,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-24,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-24,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-26,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-08-29,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-09-01,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-09-08,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-09-09,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-10-17,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-10-19,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-04,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-09,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-09,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-09,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-11-10,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-12-08,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-12-08,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-12-08,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-12-13,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-12-13,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-12-13,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-12-13,Plenário,Discussão e votação,aprovacao_substitutivo,Plenário, - Origem (Senado)
2016-12-15,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-01,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,aprovacao_substitutivo,Plenário, - Origem (Senado)
2017-02-02,Plenário,Discussão e votação,aprovacao_substitutivo,Plenário, - Origem (Senado)
2017-02-03,Mesa - Câmara,Discussão e votação,NA,Plenário, - Revisão (Câmara)
