codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,evento,local
2389617,1,2017-07-04,1,"O Presidente da Comissão de Constituição, Justiça e Cidadania, Senador Edison Lobão, designa relator da matéria o Senador Armando Monteiro.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",91,RELATOR,matéria_com_a_relatoria,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,analise_relator,NA,CCJ
2399660,1,2017-09-19,1,"Recebido, às 17h35min, o Relatório do Senador Armando Monteiro, com voto favorável ao Projeto, nos termos do Substitutivo que apresenta.
      Matéria pronta para a Pauta na Comissão.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",42,PRONTPAUT,pronta_para_a_pauta_na_comissão,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,CCJ
2400592,1,2017-09-22,1,Matéria incluída na Pauta da Comissão.,S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",138,INPAUTA,incluída_na_pauta_da_reunião,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,CCJ
2401117,1,2017-09-27,1,"Na 40ª Reunião Ordinária, realizada nesta data, a Comissão aprova o Relatório do Senador Armando Monteiro, que passa a constituir o Parecer da CCJ favorável ao Projeto, nos termos da Emenda n° 1-CCJ (Substitutivo).
      
      A Comissão aprova o Requerimento nº 78, de 2017-CCJ, de autoria da Senadora Ana Amélia, de URGÊNCIA para a matéria (fl. nº 19)",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",89,APRVPAR,aprovado_parecer_na_comissão,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,encaminhamento,aprovacao_parecer,CCJ
2401189,1,2017-09-27,2,"À SLSF, para prosseguimento da tramitação.",S,2017-09-27,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,encaminhamento,NA,CCJ
2401284,1,2017-09-27,3,Aguardando leitura do Parecer nº 105/2017-CCJ.,S,2017-09-27,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,543,A,SF,Senado Federal,SEADI,Secretaria de Atas e Diários,14,AGLPAR,aguardando_leitura_parecer_(es),129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,CCJ
2401360,1,2017-09-27,4,"Encaminhado à publicação o Parecer nº 105, de 2017, da CCJ, relator Senador Armando Monteiro, pela aprovação, com a Emenda nº 1-CCJ (Substitutivo).
      A matéria ficará perante a mesa durante cinco dias úteis a fim de receber emendas, nos termos do art. 235, II, ""d"", do Regimento Interno.
      Encaminhado à publicação e aprovado o Requerimento nº 814, de 2017, da CCJ, solicitando urgência para a matéria.
      (Resultado da votação nominal do RQS 814/2017: Sim 55, Não 1, Presidente 1, Total 57)",S,2017-09-28,543,A,SF,Senado Federal,SEADI,Secretaria de Atas e Diários,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,88,AGREMESA,aguardando_recebimento_de_emendas_perante_a_mesa,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2401443,1,2017-09-28,1,"Prazo: Recebimento de emendas perante a Mesa (Art. 235, II, ""d"", do RISF)
      
      De 29/09/2017 a 05/10/2017",S,NA,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,88,AGREMESA,aguardando_recebimento_de_emendas_perante_a_mesa,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402015,1,2017-10-02,1,"Incluído na Ordem do Dia da sessão deliberativa de  03.10.2017.
      Discussão, em turno único.",S,NA,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402270,1,2017-10-03,1,"Matéria não apreciada na sessão de 03/10/2017, transferida para a sessão deliberativa de 04/10/2017.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402531,1,2017-10-04,1,"Matéria não apreciada na sessão de 04/10/2017, transferida para a sessão deliberativa de 05/10/2017.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402747,1,2017-10-05,1,"Matéria não apreciada na sessão de 05/10/2017, transferida para a sessão deliberativa de 10/10/2017.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,78,INCLOD,incluída_em_ordem_do_dia,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402767,1,2017-10-05,2,"Recebida, na Secretaria-Geral da Mesa, a Emenda nº 2-PLEN.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2402803,1,2017-10-06,1,Encaminhado ao Plenário para comunicação do término de prazo para apresentação de emendas.,S,2017-10-09,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,543,A,SF,Senado Federal,SEADI,Secretaria de Atas e Diários,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2403021,1,2017-10-09,1,"Encerrou-se em 5 de outubro o prazo para apresentação de emendas a presente matéria. 
      Encaminhada à publicação a Emenda nº2-PLEN, do Senador Randolfe Rodrigues, apresentada à presente matéria.
      A matéria está incluída na Ordem do Dia de 10 de outubro.",S,2017-10-09,543,A,SF,Senado Federal,SEADI,Secretaria de Atas e Diários,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,8,PRONDEPLEN,pronto_para_deliberação_do_plenário,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2403042,1,2017-10-09,2,"Incluído na Ordem do Dia da sessão deliberativa de 10.10.2017.
      Discussão, em turno único.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 3 a 5-PLEN, da Senadora Lídice da Mata.",S,NA,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2403251,1,2017-10-10,1,"Matéria não apreciada na sessão de 10/10/2017, transferida para a sessão deliberativa de 17/10/2017.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2404051,1,2017-10-17,1,"Matéria não apreciada na sessão de 17/10/2017, transferida para a sessão deliberativa de 18/10/2017.",S,NA,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,discussao_deliberacao,NA,Plenário
2404315,1,2017-10-18,1,"Matéria não apreciada na sessão de 18/10/2017, transferida para a sessão deliberativa de 24/10/2017.
      Recebido na Secretaria Legislativa do Senado Federal, Parecer de Plenário, de autoria do Senador Armando Monteiro.",S,2017-10-24,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,543,A,SF,Senado Federal,SEADI,Secretaria de Atas e Diários,78,INCLOD,incluída_em_ordem_do_dia,129808,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00212,2017,Não,recebimento,NA,Plenário
