codigo,numero,local,autor,partido
4594401,00001,PLEN,José Aníbal,PSDB/SP
4594417,00002,PLEN,José Aníbal,PSDB/SP
4594433,00003,PLEN,Cidinho Santos,PR/MT
4594449,00004,PLEN,Hélio José,MDB/DF
