codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,publicacoes_publicacao_sigla_tipo_publicacao,publicacoes_publicacao_descricao_tipo_publicacao,publicacoes_publicacao_numero_serie_publicacao,publicacoes_publicacao_data_publicacao,publicacoes_publicacao_data_anterior_publicacao,publicacoes_publicacao_sigla_veiculo_publicacao,publicacoes_publicacao_descricao_veiculo_publicacao,publicacoes_publicacao_numero_pag_inicio_publicacao,publicacoes_publicacao_numero_pag_fim_publicacao,publicacoes_publicacao_indicador_suplemento_publicacao,textos_texto_codigo_texto,textos_texto_descricao_tipo_texto,textos_texto_tipo_documento,textos_texto_formato_texto,textos_texto_data_texto,textos_texto_url_texto,textos_texto_identificacao_comissao_codigo_comissao,textos_texto_identificacao_comissao_sigla_comissao,textos_texto_identificacao_comissao_nome_comissao,textos_texto_identificacao_comissao_sigla_casa_comissao,textos_texto_identificacao_comissao_nome_casa_comissao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local
2428436,1,2018-04-19,1,Encerrado o prazo regimental para recebimento de emendas.,S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132865,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00168,2018,Sim,relatoria,Comissões,NA,CCJ
2428969,1,2018-04-24,1,"Devolvido pela Senadora Simone Tebet, para redistribuição.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132865,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00168,2018,Sim,relatoria,Comissões,NA,CCJ
2429231,1,2018-04-24,2,"Juntei, às 19h30min, as Emendas nºs 25 a 66, de autoria do Senador Randolfe Rodrigues.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132865,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00168,2018,Sim,relatoria,Comissões,NA,CCJ
2430537,1,2018-05-02,1,"Redistribuído ao Senador Romero Jucá, para emitir relatório.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132865,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00168,2018,Sim,relatoria,Comissões,NA,CCJ
2440481,1,2018-07-05,1,"Devolvido pelo relator, Senador Romero Jucá, em virtude de não mais pertencer aos quadros desta Comissão. A matéria será redistribuída.",S,NA,34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,C,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132865,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00168,2018,Sim,relatoria,Comissões,NA,CCJ
