data_ordem_do_dia,descricao_tipo_apreciacao,descricao_resultado,sessao_plenaria_codigo_sessao,sessao_plenaria_sigla_casa_sessao,sessao_plenaria_nome_casa_sessao,sessao_plenaria_codigo_sessao_legislativa,sessao_plenaria_sigla_tipo_sessao,sessao_plenaria_numero_sessao,sessao_plenaria_data_sessao,sessao_plenaria_hora_inicio_sessao
2016-12-13,"Discussão, em turno único",Não houve deliberação.,22796,SF,Senado Federal,853,DEX,195 ,2016-12-13,10:00:00
2016-12-13,"Discussão, em turno único","Aprovado, com a emenda 1-PLEN.
      A matéria vai à Câmara.",22797,SF,Senado Federal,853,DOR,196 ,2016-12-13,14:00:00
