data_tramitacao,local,fase,evento,casa,global
2009-05-29,CCJ,Recebimento,NA,Comissões, - Origem (Senado)
2009-07-15,CCJ,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2009-09-11,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2009-09-11,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2009-09-15,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2009-09-22,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2009-09-22,CCJ,Análise do relator,NA,Comissões, - Origem (Senado)
2009-09-23,CCJ,Recebimento,NA,Comissões, - Origem (Senado)
2009-09-24,CCJ,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2009-11-13,CCJ,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2009-11-23,CCJ,Discussão e votação,NA,Comissões, - Origem (Senado)
2009-11-25,CCJ,Encaminhamento,aprovacao_parecer,Comissões, - Origem (Senado)
2009-12-03,CCJ,Encaminhamento,NA,Comissões, - Origem (Senado)
2009-12-03,CAE,Recebimento,NA,Comissões, - Origem (Senado)
2009-12-03,CAE,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2010-03-02,CAE,Análise do relator,aprovacao_audiencia_publica,Comissões, - Origem (Senado)
2010-03-12,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-03-15,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-03-23,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-03-23,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-18,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-18,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-19,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-19,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-19,CAE,Análise do relator,NA,Comissões, - Origem (Senado)
2010-05-20,CCJ,Recebimento,recebimento_comissao,Comissões, - Origem (Senado)
2010-05-24,CCJ,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2010-05-25,CCJ,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2010-06-15,CCJ,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2010-06-21,CCJ,Discussão e votação,NA,Comissões, - Origem (Senado)
2010-06-23,CCJ,Encaminhamento,aprovacao_parecer,Comissões, - Origem (Senado)
2010-06-24,CCJ,Encaminhamento,NA,Comissões, - Origem (Senado)
2010-06-24,CAE,Recebimento,NA,Comissões, - Origem (Senado)
2010-07-08,CAE,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2010-12-21,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2010-12-22,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2011-01-20,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2011-01-20,CAE,Recebimento,recebimento_comissao,Comissões, - Origem (Senado)
2011-03-04,CAE,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2012-06-18,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2012-07-10,CAE,Discussão e votação,aprovacao_audiencia_publica,Comissões, - Origem (Senado)
2013-03-04,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-03-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-03-19,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-04-01,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-04-17,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-05-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-05-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-05-13,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-05-22,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2013-05-27,CDR,Recebimento,recebimento_comissao,Comissões, - Origem (Senado)
2013-06-13,CDR,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2013-06-20,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-06-20,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-06-25,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-06-27,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-07-04,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-08-07,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-08-07,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-10-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-10-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-10-21,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-10-22,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-10-30,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2013-11-06,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-01-09,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-02-17,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-02-17,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-02-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-02-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
