id,casa,apelido,tema
132865,senado,Lei do Licenciamento ambiental,Meio Ambiente
91341,senado,,Agenda Nacional
41703,senado,PL do veneno,Meio Ambiente
127753,senado,Lei do teto remuneratório,Agenda Nacional
129808,senado,Lei do Cadastro Positivo,Agenda Nacional
115926,senado,,Agenda Nacional
