id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,autor_nome,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura,palavras_chave
126364,PLS,272,"Altera a Lei nº 13.260, de 16 de março de 2016, a fim de disciplinar com mais precisão condutas consideradas como atos de terrorismo.",2016-07-05T00:00:00Z,senado,Lasier Martins PODE / RS,Alteração na Lei Antiterrorismo,Agenda Governo,Ordinária,Plenário,Magno Malta,2.06,NA
606722,PL,7180,"Altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996. Inclui entre os princípios do ensino  o respeito às convicções do aluno, de seus pais ou responsáveis, dando  precedência aos valores de ordem familiar   sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa.   Adapta a legislação à Convenção Americana sobre Direitos
Humanos (Pacto de São José da Costa Rica), de 22 de novembro de 1969,  ratificada pelo Governo Brasileiro. 
",2014-02-24T11:32:00Z,camara,Erivelton Santana,Escola Sem Partido,Agenda Governo,Ordinária,Conclusiva,Dep. Flavinho (PSB-SP),29.02,NA
541857,PL,3722,"Disciplina as normas sobre aquisição, posse, porte e circulação de armas de fogo e munições, cominando penalidades e dando providências correlatas. Altera o Decreto-lei nº 2.848, de 1940 e revoga  a Lei nº 10.826, de 2003.",2012-04-19T10:48:00Z,camara,Rogério Peninha Mendonça,Revogação do Estatuto do Desarmamento,Agenda Governo,Ordinária,Plenário,Dep. Laudivio Carvalho (PMDB-MG),7.31,NA
2119881,PEC,287,"Altera os arts. 37, 40, 109, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências ",2016-12-05T13:09:00Z,camara,Poder Executivo,Reforma da Previdência Temer,Agenda Governo,Especial,Plenário,Dep. Arthur Oliveira Maia (PPS-BA),0,NA
1214970,PL,1220,"Regulamenta a desistência do contrato de incorporação imobiliária com a retenção de até 10 % (dez por cento) do valor pago por parte da incorporadora 

NOVA EMENTA: Altera as Leis nºs 4.591, de 16 de dezembro de 1964, e 6.766, de 19 de dezembro de 1979, para disciplinar a resolução do contrato por inadimplemento do adquirente de unidade imobiliária em incorporação imobiliária e em parcelamento de solo urbano.  ",2015-04-22T16:11:00Z,camara,Celso Russomanno,Nova regulação para devolução de imóveis comprados na planta,Agenda Governo,Urgência,Plenário,Dep. Jose Stédile (PSB-RS),13.45,NA
133613,PLC,68,"Altera as Leis nºs 4.591, de 16 de dezembro de 1964, e 6.766, de 19 de dezembro de 1979, para disciplinar a resolução do contrato por inadimplemento do adquirente de unidade imobiliária em incorporação imobiliária e em parcelamento de solo urbano.",2018-06-07T00:00:00Z,senado,Celso Russomanno PRB ,Nova regulação para devolução de imóveis comprados na planta,Agenda Governo,Ordinária,Plenário,Armando Monteiro,1.99,NA
2158425,PL,8939,"Modifica a Lei nº 12.276, de 30 de junho de 2010, que autoriza a União a ceder onerosamente à Petróleo Brasileiro S.A. - PETROBRAS o exercício das atividades de pesquisa e lavra de petróleo, de gás natural e de outros hidrocarbonetos fluidos de que trata o inciso I do art. 177 da Constituição Federal, e dá outras providências, para permitir à PETROBRAS a transferência parcial, a terceiros, de áreas contratadas no regime de cessão onerosa.

NOVA EMENTA: Altera a Lei nº 12.276, de 30 de junho de 2010, para permitir à Petróleo Brasileiro S.A. (Petrobras) a transferência parcial a terceiros de áreas contratadas no regime de cessão onerosa. ",2017-10-25T14:24:00Z,camara,José Carlos Aleluia,Revisão do contrato da cessão onerosa da Petrobras,Agenda Governo,Urgência,Conclusiva,Dep. Fernando Coelho Filho (DEM-PE),0.06,NA
133943,PLC,78,"Altera a Lei nº 12.276, de 30 de junho de 2010, para permitir à Petróleo Brasileiro S.A. (Petrobras) a transferência parcial a terceiros de áreas contratadas no regime de cessão onerosa.",2018-07-05T00:00:00Z,senado,José Carlos Aleluia DEM ,Revisão do contrato da cessão onerosa da Petrobras,Agenda Governo,Urgência,Plenário,Relator não encontrado,12.92,NA
2056568,PL,3751,"Dispõe sobre a desapropriação e indenização de propriedades privadas em unidades de conservação de domínio público. Altera a Lei nº 9.985, de 2000.",2015-11-25T13:36:00Z,camara,Toninho Pinheiro,Indenização Propriedades Privadas em Unidades de Conservação,Meio Ambiente,Ordinária,Conclusiva,Dep. Alessandro Molon (PSB-RJ),0,NA
1738598,PL,3068,"Dispõe sobre a criação da Área de Proteção Ambiental de Canavieiras, localizada nos Municípios de Canavieiras, Belmonte e Una, no Estado da Bahia. ",2015-09-22T18:19:00Z,camara,Sérgio Brito,Criação da Área de Proteção Ambiental de Canavieiras,Meio Ambiente,Ordinária,Conclusiva,Dep. Ricardo Izar (PP-SP),0.16,NA
