id_camara,id_senado,apelido,tema,advocacy_link
2208200,137319,Retira prazo para inscrição de propriedades no CAR,Meio Ambiente,
2218881,NA,Transparência Partidária (Câmara),Integridade e Transparência,
NA,138551,Transparência partidária (Senado),Integridade e Transparência,
2209381,NA,PL das Armas,Direitos Humanos,https://drive.google.com/drive/folders/1T_oUL4xCeFCII9Piy0v6-rYRWliI09dq
