id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura
944279,PL,25,Dispõe sobre a conservação e a utilização sustentável da vegetação nativa do Bioma Cerrado. ,2015-02-02T15:48:00Z,camara,camara,SARNEY FILHO,MA,PV,Lei do Cerrado,Meio Ambiente,Ordinária,Conclusiva,Dep. Augusto Carvalho (SD-DF),0.01
102721,PLS,626,Dispõe sobre o cultivo sustentável da cana-de-açúcar em áreas alteradas e nos biomas Cerrado e Campos Gerais situados na Amazônia Legal e dá outras providências.,2011-10-05T00:00:00Z,senado,senado,Flexa Ribeiro PSDB / PA,NA,NA,Cana na Amazônia,Meio Ambiente,Ordinária,Plenário,Roberto Muniz,0
103831,PLS,750,Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências.,2011-12-20T00:00:00Z,senado,senado,Blairo Maggi PL / MT,NA,NA,Lei do Pantanal - Maggi,Meio Ambiente,Ordinária,Plenário,Pedro Chaves,0.01
2120019,PL,6621,"Dispõe sobre a gestão, a organização, o processo decisório e o controle social das agências reguladoras, altera a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 9.472, de 16 de julho de 1997, a Lei nº 9.478, de 6 de agosto de 1997, a Lei nº 9.782, de 26 de janeiro de 1999, a Lei nº 9.961, de 28 de janeiro de 2000, a Lei nº 9.984, de 17 de julho de 2000, a Lei nº 9.986, de 18 de julho de 2000, a Lei nº 10.233, de 5 de junho de 2001, a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, a Lei nº 11.182, de 27 de setembro de 2005, e a Lei nº 10.180, de 6 de fevereiro de 2001, e dá outras providências. ",2016-12-06T18:27:00Z,camara,senado,Senado Federal - Eunício Oliveira,NA,NA,Lei das Agências Reguladoras,Agenda Nacional,Prioridade,Conclusiva,Dep. Osmar Serraglio (PP-PR),0.03
111048,PLS,52,"Dispõe sobre a gestão, a organização e o controle social das Agências Reguladoras, acresce e altera dispositivos das Leis nº 9.472, de 16 de julho de 1997, nº 9.478, de 6 de agosto de 1997, nº 9.782, de 26 de janeiro de 1999, nº 9.961, de 28 de janeiro de 2000, nº 9.984, de 17 de julho de 2000, nº 9.986, de 18 de julho de 2000, e nº 10.233, de 5 de junho de 2001, nº 9.433 de 8 de janeiro de 1997, da Medida Provisória nº 2.228-1, de 6 de setembro de 2001, e dá outras providências.",2013-02-26T00:00:00Z,senado,senado,Eunício Oliveira MDB / CE,NA,NA,Lei das Agências Reguladoras,Agenda Nacional,Ordinária,Plenário,Simone Tebet,0
51066,PLP,307,"Acrescenta dispositivo à Lei nº 101, de 04 de maio de 2000, de modo a excluir do limite de gasto com pessoal os recursos advindos do FUNDEF, nos termos do art. 60, § 5º do ADCT. Tratando dos gastos com o pagamento dos professores do ensino fundamental.",2002-05-08T17:59:00Z,camara,camara,LUIZ SÉRGIO,RJ,PT,Deixa de incluir FUNDEF no limite de gastos com pessoal,Educação,Prioridade,Plenário,Dep. Enrico Misasi (PV-SP),1.04
518221,PEC,76,"Acrescenta inciso ao art. 60 do Ato das Disposições Constitucionais Transitórias, referente à destinação de recursos da União para implantação do piso salarial profissional nacional do magistério público da educação básica. ",2011-08-31T16:17:00Z,camara,camara,ANDRE MOURA,SE,PSC,Piso salarial do magistério público da educação básica - Moura,Educação,Especial,Plenário,Dep. Rubens Pereira Júnior (PCdoB-MA),0
532814,PL,3020,"Altera o caput do art. 4º da Lei nº 11.738, de 16 de julho de 2008, que Regulamenta a alínea ""e"" do inciso III do caput do art. 60 do Ato das Disposições Constitucionais Transitórias, para instituir o piso salarial profissional nacional para os profissionais do magistério público da educação básica, a fim de viabilizar que Estados e Municípios não beneficiados pela complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB possam receber complementação da União para integralização do piso salarial profissional nacional para os profissionais do magistério público da educação básica. ",2011-12-19T18:31:00Z,camara,camara,NELSON MARCHEZAN JUNIOR,RS,PSDB,Piso salarial do magistério público da educação básica - Marchezan,Educação,Ordinária,Plenário,Dep. Paulo Abi-Ackel (PSDB-MG),0.05
120143,PEC,28,Altera o art. 208 da Constituição Federal para garantir a progressiva universalização da educação básica em tempo integral.,2015-03-18T00:00:00Z,senado,senado,Walter Pinheiro PSDB / SE,NA,NA,Educação básica em tempo integral,Educação,Ordinária,Plenário,Relator não encontrado,0
500183,PEC,18,"Dá nova redação ao inciso XXXIII do art. 7º da Constituição Federal, para autorizar o trabalho sob o regime de tempo parcial a partir dos quatorze anos de idade. ",2011-05-03T15:20:00Z,camara,camara,DILCEU SPERAFICO,PR,PP,Autoriza trabalho a partir dos quatorze anos,Direitos Humanos,Especial,Plenário,Dep. Betinho Gomes (PSDB-PE),0.09
106330,PEC,33,"Altera a redação dos arts. 129 e 228 da Constituição Federal, acrescentando um parágrafo único para prever a possibilidade de desconsideração da inimputabilidade penal de maiores de dezesseis  anos e menores de dezoito anos por lei complementar.",2012-07-03T00:00:00Z,senado,senado,Zeze Perrella PSDB / SP,NA,NA,Redução da maioridade penal,Direitos Humanos,Ordinária,Plenário,Ricardo Ferraço,0
