data,sigla,id_ext,local,casa,semana,ano
2018-10-09,PLP 441/2017,2160860,PLENÁRIO,camara,41,2018
2018-10-10,PLP 441/2017,2160860,PLENÁRIO,camara,41,2018
2018-10-16,PLP 441/2017,2160860,PLENÁRIO,camara,42,2018
2018-10-30,PLP 441/2017,2160860,PLENÁRIO,camara,44,2018
2018-11-06,PL 490/2007,345311,Comissão de Constituição e Justiça e de Cidadania,camara,45,2018
2018-11-06,PLC 00078/2018,133943,Plenário,senado,45,2018
2018-11-07,PLC 00078/2018,133943,Plenário,senado,45,2018
2018-11-08,PLC 00078/2018,133943,Local não informado,senado,45,2018
2018-11-12,PLP 441/2017,2160860,PLENÁRIO,camara,46,2018
2018-11-13,PL 25/2015,944279,Comissão de Meio Ambiente e Desenvolvimento Sustentável,camara,46,2018
2018-11-13,PL 490/2007,345311,Comissão de Constituição e Justiça e de Cidadania,camara,46,2018
2018-11-13,PL 6670/2016,2120775,Comissão Especial,camara,46,2018
2018-11-13,PL 9950/2018,2170839,Comissão de Meio Ambiente e Desenvolvimento Sustentável,camara,46,2018
2018-11-13,PLC 00078/2018,133943,Local não informado,senado,46,2018
2018-11-13,PLP 441/2017,2160860,PLENÁRIO,camara,46,2018
2018-11-20,PL 490/2007,345311,Comissão de Constituição e Justiça e de Cidadania,camara,47,2018
2018-11-20,PLC 00078/2018,133943,Local não informado,senado,47,2018
2018-11-20,PLP 441/2017,2160860,PLENÁRIO,camara,47,2018
2018-11-21,PLC 00078/2018,133943,Local não informado,senado,47,2018
2018-11-22,PLC 00078/2018,133943,Local não informado,senado,47,2018
2018-11-27,PL 490/2007,345311,Comissão de Constituição e Justiça e de Cidadania,camara,48,2018
2018-11-27,PLC 00078/2018,133943,Local não informado,senado,48,2018
2018-11-27,PLP 441/2017,2160860,PLENÁRIO,camara,48,2018
2018-11-28,PLC 00078/2018,133943,Local não informado,senado,48,2018
2018-11-29,PLC 00078/2018,133943,Local não informado,senado,48,2018
2018-12-04,PL 7180/2014,606722,Comissão Especial,camara,49,2018
2018-12-04,PLC 00078/2018,133943,Local não informado,senado,49,2018
2018-12-04,PLP 441/2017,2160860,PLENÁRIO,camara,49,2018
2018-12-10,PLP 441/2017,2160860,PLENÁRIO,camara,50,2018
2018-12-11,PL 7180/2014,606722,Comissão Especial,camara,50,2018
2018-12-11,PLC 00078/2018,133943,Local não informado,senado,50,2018
2018-12-11,PLP 441/2017,2160860,PLENÁRIO,camara,50,2018
2018-12-12,PLC 00078/2018,133943,Plenário,senado,50,2018
2018-12-13,PLC 00078/2018,133943,Local não informado,senado,50,2018
2018-12-18,PLC 00078/2018,133943,Local não informado,senado,51,2018
2018-12-19,PLC 00078/2018,133943,Local não informado,senado,51,2018
