id_leggo,source,target,value
1,141488,189593,66.66666666666666
1,159238,160426,6.666666666666667
1,159238,160518,6.666666666666667
1,159238,160530,6.666666666666667
1,159238,160637,6.666666666666667
1,159238,160646,6.666666666666667
1,159238,160655,6.666666666666667
1,159238,178887,6.666666666666667
1,159238,178926,6.666666666666667
1,159238,178984,6.666666666666667
1,160426,160518,6.666666666666667
1,160426,160530,6.666666666666667
1,160426,160637,6.666666666666667
1,160426,160646,6.666666666666667
1,160426,160655,6.666666666666667
1,160426,178887,6.666666666666667
1,160426,178926,6.666666666666667
1,160426,178984,6.666666666666667
1,160508,167493,33.33333333333333
1,160518,160530,6.666666666666667
1,160518,160637,6.666666666666667
1,160518,160646,6.666666666666667
1,160518,160655,6.666666666666667
1,160518,178887,6.666666666666667
1,160518,178926,6.666666666666667
1,160518,178984,6.666666666666667
1,160527,160637,16.666666666666664
1,160527,178835,16.666666666666664
1,160530,160637,6.666666666666667
1,160530,160646,6.666666666666667
1,160530,160655,6.666666666666667
1,160530,178887,6.666666666666667
1,160530,178926,6.666666666666667
1,160530,178984,6.666666666666667
1,160622,178884,25
1,160637,160646,6.666666666666667
1,160637,160655,6.666666666666667
1,160637,178835,33.33333333333333
1,160637,178887,6.666666666666667
1,160637,178926,6.666666666666667
1,160637,178984,6.666666666666667
1,160646,160655,6.666666666666667
1,160646,178887,6.666666666666667
1,160646,178926,6.666666666666667
1,160646,178984,6.666666666666667
1,160655,178887,6.666666666666667
1,160655,178926,6.666666666666667
1,160655,178984,6.666666666666667
1,167493,178968,25
1,178887,178926,6.666666666666667
1,178887,178984,6.666666666666667
1,178900,178975,50
1,178926,178984,6.666666666666667
1,73424,167493,33.33333333333333
1,73424,73931,33.33333333333333
1,73441,159238,6.666666666666667
1,73441,160426,6.666666666666667
1,73441,160518,6.666666666666667
1,73441,160530,6.666666666666667
1,73441,160637,6.666666666666667
1,73441,160646,6.666666666666667
1,73441,160655,6.666666666666667
1,73441,178887,6.666666666666667
1,73441,178926,6.666666666666667
1,73441,178984,6.666666666666667
1,73441,73466,6.666666666666667
1,73441,74095,6.666666666666667
1,73441,74254,6.666666666666667
1,73441,74385,6.666666666666667
1,73466,159238,6.666666666666667
1,73466,160426,6.666666666666667
1,73466,160518,6.666666666666667
1,73466,160530,6.666666666666667
1,73466,160637,6.666666666666667
1,73466,160646,6.666666666666667
1,73466,160655,6.666666666666667
1,73466,178887,6.666666666666667
1,73466,178894,33.33333333333333
1,73466,178926,6.666666666666667
1,73466,178984,6.666666666666667
1,73466,73666,33.33333333333333
1,73466,74095,6.666666666666667
1,73466,74254,6.666666666666667
1,73466,74385,6.666666666666667
1,73486,73666,33.33333333333333
1,73486,74400,33.33333333333333
1,73531,160527,16.666666666666664
1,73531,160637,83.33333333333333
1,73531,178835,33.33333333333333
1,73531,74010,16.666666666666664
1,73531,74060,33.33333333333333
1,73531,74400,33.33333333333333
1,73553,167493,25
1,73553,178968,25
1,73553,73579,25
1,73579,160622,25
1,73579,167493,25
1,73579,178884,75
1,73579,178968,25
1,73579,73666,25
1,73666,160508,33.33333333333333
1,73666,160622,25
1,73666,167493,33.33333333333333
1,73666,178884,25
1,73666,178894,33.33333333333333
1,73666,74400,33.33333333333333
1,73931,167493,33.33333333333333
1,74010,160637,16.666666666666664
1,74010,178835,16.666666666666664
1,74010,74060,16.666666666666664
1,74010,74400,16.666666666666664
1,74060,160527,16.666666666666664
1,74060,160637,33.33333333333333
1,74060,178835,33.33333333333333
1,74060,74400,33.33333333333333
1,74095,159238,6.666666666666667
1,74095,160426,6.666666666666667
1,74095,160518,6.666666666666667
1,74095,160530,6.666666666666667
1,74095,160637,6.666666666666667
1,74095,160646,6.666666666666667
1,74095,160655,6.666666666666667
1,74095,178887,6.666666666666667
1,74095,178926,6.666666666666667
1,74095,178984,6.666666666666667
1,74095,74254,6.666666666666667
1,74095,74385,6.666666666666667
1,74156,141488,66.66666666666666
1,74156,189593,66.66666666666666
1,74254,159238,6.666666666666667
1,74254,160426,6.666666666666667
1,74254,160518,6.666666666666667
1,74254,160530,6.666666666666667
1,74254,160637,6.666666666666667
1,74254,160646,6.666666666666667
1,74254,160655,6.666666666666667
1,74254,178887,6.666666666666667
1,74254,178926,6.666666666666667
1,74254,178984,6.666666666666667
1,74254,74385,6.666666666666667
1,74385,159238,6.666666666666667
1,74385,160426,6.666666666666667
1,74385,160518,6.666666666666667
1,74385,160530,6.666666666666667
1,74385,160637,6.666666666666667
1,74385,160646,6.666666666666667
1,74385,160655,6.666666666666667
1,74385,178887,6.666666666666667
1,74385,178926,6.666666666666667
1,74385,178984,6.666666666666667
1,74400,160527,16.666666666666664
1,74400,160637,33.33333333333333
1,74400,178835,33.33333333333333
