cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa,foto
TITULAR,136811,Afonso Hamm,PP,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
SUPLENTE,178835,Afonso Motta,PDT,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
SUPLENTE,160527,Aguinaldo Ribeiro,PP,PB,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
SUPLENTE,204495,Airton Faleiro,PT,PA,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
SUPLENTE,204549,Aj Albuquerque,PP,CE,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
SUPLENTE,160559,Alceu Moreira,MDB,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
SUPLENTE,204413,Alcides Rodrigues ,PRP,GO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204413.jpg
SUPLENTE,178833,Alexandre Serfiotis,PSD,RJ,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178833.jpg
TITULAR,204400,Aline Sleutjes,PSL,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204400.jpg
SUPLENTE,178831,André Abdon,PP,AP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178831.jpg
SUPLENTE,141391,Arnaldo Jardim,CIDADANIA,SP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
TITULAR,204414,Aroldo Martins,PRB,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204414.jpg
SUPLENTE,109429,Benes Leocádio,PRB,RN,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
TITULAR,141335,Beto Faro,PT,PA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141335.jpg
SUPLENTE,178948,Beto Rosado,PP,RN,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178948.jpg
SUPLENTE,204561,Bira do Pindaré,PSB,MA,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204561.jpg
