id_leggo,id_autor_parlametria,id_ext,casa,id_autor,nome_autor,partido,uf,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos,is_important,bancada
208,174043,16526,camara,74043,Wellington Roberto,PL,PB,Deputado,camara,Emenda,PLEN,17,17,TRUE,governo
208,1204396,16526,camara,204396,Vermelho,PSD,PR,Deputado,camara,Emenda,PLEN,11,11,TRUE,governo
208,1160508,16526,camara,160508,Afonso Florence,PT,BA,Deputado,camara,Emenda,PLEN,9,9,TRUE,oposição
208,1151208,16526,camara,151208,Laercio Oliveira,PP,SE,Deputado,camara,Emenda,PLEN,6,6,TRUE,governo
208,1160639,16526,camara,160639,Professora Dorinha Seabra Rezende,DEM,TO,Deputado,camara,Emenda,PLEN,6,6,TRUE,governo
208,1204388,16526,camara,204388,Bibo Nunes,PSL,RS,Deputado,camara,Emenda,PLEN,6,6,TRUE,governo
208,1141391,16526,camara,141391,Arnaldo Jardim,CIDADANIA,SP,Deputado,camara,Emenda,PLEN,5,5,TRUE,governo
208,1204477,16526,camara,204477,Felício Laterça,PSL,RJ,Deputado,camara,Emenda,PLEN,5,5,TRUE,governo
208,1160665,16526,camara,160665,Augusto Coutinho,SOLIDARIEDADE,PE,Deputado,camara,Emenda,PLEN,4.2,5,TRUE,governo
208,174060,16526,camara,74060,Daniel Almeida,PCdoB,BA,Deputado,camara,Emenda,PLEN,4,4,TRUE,oposição
208,174158,16526,camara,74158,Mário Heringer,PDT,MG,Deputado,camara,Emenda,PLEN,4,4,TRUE,oposição
208,1133439,16526,camara,133439,André Figueiredo,PDT,CE,Deputado,camara,Emenda,PLEN,4,4,TRUE,oposição
208,181055,16526,camara,81055,Márcio Jerry,PCdoB,MA,Deputado,camara,Emenda,PLEN,3,3,TRUE,oposição
208,1160587,16526,camara,160587,Fábio Trad,PSD,MS,Deputado,camara,Emenda,PLEN,3,3,TRUE,governo
208,1164359,16526,camara,164359,Delegado Waldir,PSL,GO,Deputado,camara,Emenda,PLEN,3,3,TRUE,governo
