id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo
2231327,PEC,133,"Permite que os Estados, o Distrito Federal e os Municípios adotem em seus regimes próprios de previdência social as mesmas regras aplicáveis ao regime próprio da União; modifica renúncias previdenciárias; prevê benefício da Seguridade Social à criança vivendo em situação de pobreza. ",2019-11-28T17:34:00Z,camara,NA,,NA,NA,Especial,Plenário,204398,1204398,1
1198512,PEC,15,"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências ",2015-04-07T16:17:00Z,camara,camara,RAQUEL MUNIZ,MG,PSD,Especial,Plenário,160639,1160639,2
2230007,PEC,200,"Acrescenta o inciso VI e parágrafo único ao art. 203 da Constituição Federal, para assegurar a garantia de transferência de renda a unidades familiares em situação de pobreza e de extrema pobreza. ",2019-11-20T12:57:00Z,camara,camara,Aguinaldo Ribeiro+André de Paula+André Ferreira+André Figueiredo+Arthur Lira+Augusto Coutinho+Baleia Rossi+Beto Pereira+Carlos Sampaio+Daniel Almeida+Daniel Coelho+Eduardo Braide+Eduardo Cury+Elmar Nascimento+Felipe Rigoni+Fred Costa+Jhonatan de Jesus+João H. Campos+Joenia Wapichana+José Nelto+Leandre+Luis Tibé+Luisa Canziani+Marcelo Ramos+Marco Bertaiolli+Mariana Carvalho+Orlando Silva+Paulo Pimenta+Pedro Cunha Lima+Pedro Lucas Fernandes+Pedro Paulo+Rafael Motta+Raul Henry+Samuel Moreira+Tabata Amaral+Tadeu Alencar+Toninho Wandscheer+Wellington Roberto,PB+PE+PE+CE+AL+PE+SP+MS+SP+BA+PE+MA+SP+BA+ES+MG+RR+PE+RR+GO+PR+MG+PR+AM+SP+RO+SP+RS+PB+MA+RJ+RN+PE+SP+SP+PE+PR+PB,PP+PSD+PSC+PDT+PP+SOLIDARIEDADE+MDB+PSDB+PSDB+PCdoB+CIDADANIA+PODE+PSDB+DEM+PSB+PATRIOTA+REPUBLICANOS+PSB+REDE+PODE+PV+AVANTE+PTB+PL+PSD+PSDB+PCdoB+PT+PSDB+PTB+DEM+PSB+MDB+PSDB+PDT+PSB+PROS+PL,Especial,Plenário,204436,1204436,3
2195689,PEC,36,"Dá nova redação ao art. 208, inciso IV, para dispor sobre a  prioridade de acesso das crianças com deficiência à educação infantil. ",2019-03-27T16:42:00Z,camara,camara,Maria Rosas,SP,REPUBLICANOS,Especial,Plenário,204398,1204398,4
501465,PL,1286,"Acrescenta § 2º ao art. 25 da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, dispondo sobre a obrigatoriedade da existência de educadores assistentes na educação infantil e nos dois primeiros anos do ensino fundamental. ",2011-05-10T17:21:00Z,camara,camara,Professora Dorinha Seabra Rezende,TO,DEM,Ordinária,Conclusiva,204536,1204536,6
2193777,PL,1429,Estabelece a obrigatoriedade de apresentação da Caderneta de Saúde da Criança quando da matrícula de aluno nas redes públicas e privadas de educação. ,2019-03-13T16:04:00Z,camara,camara,Luciano Ducci,PR,PSB,Ordinária,Conclusiva,204406,1204406,7
2193966,PL,1490,Dispõe sobre o Cadastro Federal de Informações para a Proteção da Infância e da Juventude - Cadastro de Pedófilos. ,2019-03-14T12:02:00Z,camara,camara,Carlos Henrique Gaguim,TO,DEM,Ordinária,Conclusiva,204377,1204377,8
2193987,PL,1497,Dispõe sobre Fundo para Expansão da Educação Infantil (FEEI) e dá outras providências. ,2019-03-14T13:04:00Z,camara,camara,Idilvan Alencar,CE,PDT,Ordinária,Conclusiva,160635,1160635,9
1278924,PL,1545,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, de forma a dispor sobre a obrigação de que os estabelecimentos de ensino notifiquem pai, mãe ou responsáveis legais acerca das faltas injustificadas dos educandos e sobre a obrigatoriedade de presença de psicólogos nas escolas públicas de educação básica. ",2015-05-14T12:41:00Z,camara,camara,Carlos Henrique Gaguim,TO,DEM,Ordinária,Conclusiva,74398,174398,10
2194882,PL,1648,"Institui o Programa de Voucher-Creche e altera a Lei nº 10.893, de 13 de julho de 2004. ",2019-03-20T19:21:00Z,camara,camara,Domingos Neto,CE,PSD,Ordinária,Conclusiva,178929,1178929,11
2195105,PL,1698,"Dispõe sobre a notificação de maus-tratos sofridas por crianças ou adolescentes, bem como violência autoprovocada. ",2019-03-21T18:20:00Z,camara,camara,José Medeiros,MT,PODE,Ordinária,Plenário,204514,1204514,12
2197797,PL,2249,"Altera a Lei nº 13.257, de 8 de março de 2016, para instituir renda universal para o cuidado de criança na primeira infância e acrescenta artigo à Consolidação das Leis do Trabalho e à Lei nº 8.213, de 24 de julho de 1991, para dispor sobre a licença primeira infância Altera o Decreto-lei nº 5.452, de 1943.",2019-04-11T11:40:00Z,camara,camara,Dr. Luiz Ovando,MS,PSL,Ordinária,Conclusiva,160598,1160598,13
2198845,PL,2426,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para autorizar a instituição de programa de auxílio financeiro para famílias de baixa renda que não conseguirem matricular crianças de 0 (zero) a 5 (cinco) anos em estabelecimentos de educação infantil, bem como para tornar obrigatória a divulgação de lista de espera de interessados em vagas nesses estabelecimentos. ",2019-04-22T18:11:00Z,camara,NA,,NA,NA,Prioridade,Plenário,160639,1160639,14
1672689,PL,2729,"Cria o instituto do apadrinhamento afetivo, voltado à criação de vínculos entre crianças e adolescentes vivendo em abrigos e pessoas da comunidade. ",2015-08-20T15:31:00Z,camara,camara,Diego Garcia,PR,PODE,Ordinária,Conclusiva,146788,1146788,15
