prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2127985,camara,2017-04-03T15:17:00Z,1,"Apresentação do Requerimento n. 25/2017, pelo Deputado Hildo Rocha (PMDB-MA), que: ""Requer a realização de Seminário na cidade de São Luís, Estado do Maranhão, com a finalidade de discutir o Projeto de Lei 7180/2014, que 'altera o artigo 3 da Lei nº 9394, de 20 de dezembro de 1996'"".",PL718014,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1541488,2127985
2127985,camara,2017-04-04T15:00:00Z,2,Aprovado.,PL718014,241,Arquivada,NA,2127985
2127985,camara,2019-01-15T00:00:00Z,3,Arquivada,PL718014,502,Arquivada,NA,2127985
