prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2145981,camara,2017-08-01T15:49:00Z,1,"Apresentação do Requerimento de Prorrogação de prazo de Comissão Temporária n. 6887/2017, pela Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7180, de 2014, do Sr. Erivelton Santana, que ""altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996"" (inclui entre os princípios do ensino o respeito às convicções do aluno, de seus pais ou responsáveis, dando precedência aos valores de ordem familiar sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa), e apensados, que: ""Requer a prorrogação do prazo da Comissão Especial - PL 7180/2014 - Escola sem Partido"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1581715,2145981
2145981,camara,2017-08-01T15:49:00Z,2,Realizar o Encaminhamento para SERCO(SGM),SEPRO,910,NA,NA,2145981
2145981,camara,2017-08-01T18:01:00Z,3,Encaminhado à(ao) SERCO(SGM) através da guia de Remessa (GR/SEPRO) nº 4615/2017.,SEPRO,180,NA,NA,2145981
