prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
526502,camara,2011-11-08T00:00:00Z,4,Publicação inicial no DCD de 09/11/11 PÁG 60462 COL 02,SEPUB(SGM),604,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=994666,526502
526502,camara,2011-11-08T18:26:00Z,1,"Apresentação do Requerimento de Desapensação n. 3702/2011, pelo Deputado Alceu Moreira (PMDB-RS), que: ""Requer a desapensação do Projeto de Lei nº 2479, de 2011"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=936658,526502
526502,camara,2011-11-08T21:44:00Z,2,Recebimento pel a SEPRO.,SEPRO,500,NA,NA,526502
526502,camara,2011-11-08T22:51:00Z,3,Encaminhado à(ao) NAJUR(SGM) através da guia de Remessa (GR/SEPRO) nº 1442/2011.,SEPRO,180,NA,NA,526502
526502,camara,2011-11-30T00:00:00Z,9,"Indefiro o pedido contido no Requerimento n. 3702/2011, eis que a apensação se deu na forma regimental. Publique-se. Oficie-se.",MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=944892,526502
526502,camara,2011-11-30T00:00:00Z,5,Despacho a Confirmar.,MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=944892,526502
526502,camara,2011-11-30T00:00:00Z,11,Publicação inicial no DCD do dia 01/12/11 PÁG 64463 COL 02.,SEPUB(SGM),605,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=998307,526502
526502,camara,2011-11-30T14:09:00Z,8,Notificação à Sinopse de Despacho Chancelado,SGMGAB,1005,NA,NA,526502
526502,camara,2011-11-30T14:09:00Z,6,Despacho Chancelado,SGMGAB,180,NA,NA,526502
526502,camara,2011-11-30T14:09:00Z,7,Encaminhamento de Chancela de Requerimento de Informações à SEPUB(SGM) para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,526502
526502,camara,2011-11-30T14:10:00Z,10,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,526502
