prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2123416,camara,2017-02-13T18:01:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 55/2017, pelo Deputado Arlindo Chinaglia (PT-SP), que: ""Requer a realização de Audiência Pública para debater a PEC 287/2016"".",PEC28716,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1524864,2123416
2123416,camara,2017-02-14T14:00:00Z,2,Aprovado,PEC28716,241,Arquivada,NA,2123416
2123416,camara,2017-05-09T00:00:00Z,3,Arquivada,PEC28716,502,Arquivada,NA,2123416
