prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2123979,camara,2017-02-16T17:56:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 123/2017, pelo Deputado Eduardo Barbosa (PSDB-MG), que: ""Requer a realização de audiência pública para debater a isenção das contribuições previdenciárias para entidades beneficentes de assistência social. (filantrópicas)Convidados:Tomaz de Aquino Rezende - Procurador-Geral do Município de Belo HorizonteRicardo Monello - Contador, Auditor e AdvogadoEduardo Pannuzio - Doutor em Direito do Estado pela USP"".",PEC28716,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1526369,2123979
2123979,camara,2017-02-22T09:30:00Z,2,Aprovado.,PEC28716,241,Arquivada,NA,2123979
2123979,camara,2017-03-16T00:00:00Z,3,Realizada Audiência Pública em 16/03/2017.,PEC28716,1005,Arquivada,NA,2123979
2123979,camara,2017-05-09T00:00:00Z,4,Arquivada,PEC28716,502,Arquivada,NA,2123979
