prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,origem_tramitacao_local_nome_casa_local,destino_tramitacao_local_nome_casa_local,id_principal
115926,senado,2016-12-08T00:00:00Z,2,"Aprovado Substitutivo – Emenda nº 99-PLEN.
      A matéria será submetida a turno suplementar.
      ***DETALHAMENTO DA AÇÃO LEGISLATIVA***
      Encaminhados à publicação os seguintes pareceres:
      - Parecer nº 962, de 2016-CI, relator Senador Fernando Bezerra Coelho,   pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5, 7, 11, 13, 14, 17, 22, 23, 34 a 36, 38, 39, 44, 45, 46 e 53; aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43; declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, nos termos do Substitutivo que apresenta - Emenda nº 66-CI; e
      - Parecer nº 963, de 2016-PLEN, relator Senador Fernando Bezerra Coelho, em substituição à CEDN, pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5, 7, 11, 13, 14, 17, 22, 23, 34 a 36, 38, 39, 44, 45, 46 e 53, da Emenda da CCJ nº 59, da Emenda da CAE nº 63, e da Emendas da CEDN nºs 70 a 77, 79 a 83, 85 a 93 e 97; pela aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32, 43, das Emendas da CCJ nºs 57, 58, 60, das Emendas da CAE nºs 61, 62, 64 e das Emendas da CEDN nºs 68, 69, 78, 84, 94 a 96 e 98; pela declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; pela aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40, 41 e 67, bem como das Emendas da CI nºs 65 e 66 e da Emenda da CEDN nº 69, nos termos do Substitutivo que apresenta - Emenda nº 99-PLEN; e ainda, pela prejudicialidade dos seguintes projetos: PLS 561/2009, PLS 201/2012, PLS 262/2012, PLS 367/2012, PLS 403/2012, PLS 450/2012, PLS 203/2014, PLS 404/2014, PLS 484/2015, PLS 86/2016 E PLS 217/2016. 
      Proferido pelo Senador Eunício Oliveira o Parecer nº 964, de 2016-PLEN, em substituição às CCJ e CAE, concluindo favoravelmente, nos termos da Emenda nº 99-PLEN – Substitutivo.
      Encaminhado à publicação e aprovado o Requerimento nº 933, de 2016, de autoria do Senador Eunício Oliveira, solicitando preferência para votação do Substitutivo – Emenda nº 99-PLEN.
      Aprovado o Substitutivo – Emenda nº 99-PLEN, com voto contrário do Senador Reguffe.
      Prejudicados o projeto e as demais emendas.
      Encaminhado à publicação o Parecer nº 967, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.",PLEN,8,PRONTO PARA DELIBERAÇÃO DO PLENÁRIO,,Senado Federal,Senado Federal,115926
115926,senado,2016-12-08T00:00:00Z,1,"Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 100 a 125-Plen, de autoria do Senador Humberto Costa.
      
      Encaminhado ao plenário.",PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-12-08T00:00:00Z,1,"Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 100 a 125-Plen, de autoria do Senador Humberto Costa.",PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-10T00:00:00Z,1,Encaminhado à SLSF,COCETI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-09T00:00:00Z,3,"Encaminhado à CEDN, a pedido.",SLSF,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-09T00:00:00Z,2,"Na presente data, ocorreu a 8ª reunião da Comissão, oportunidade em que foi aprovado o Relatório do Senador Fernando Bezerra, que passa a constituir parecer da Comissão Especial do Desenvolvimento Nacional pela aprovação do Substitutivo que apresenta.
      Juntados:
      - Cópia da lista de presença 8ª reunião. (fls.720)
      - Relatório Aprovado. (fls.721/759)",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-09T00:00:00Z,1,"Juntada, na presente data, a emenda n° 96, de autoria da Senadora Simone Tebet. (fls. 718/719)",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-07T00:00:00Z,2,"Matéria constante da Pauta da 8ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 09/11/2016.",CEDN,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-07T00:00:00Z,1,"Juntadas as Emendas nºs 92 a 95, de autoria do Sen. Armando Monteiro (fls. 713 a 717)",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-11-04T00:00:00Z,1,"Juntado, na presente data, relatório do Sen. Fernando Bezerra Coelho (fls. 635/712)",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-10-19T00:00:00Z,1,Matéria não apreciada nesta data em virtude do cancelamento da reunião da Comissão Especial do Desenvolvimento Nacional.,CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-10-17T00:00:00Z,1,"Matéria constante da Pauta da 8ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 19/10/2016.",CEDN,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2016-09-09T00:00:00Z,1,"Juntadas as Emendas nºs 85 a 91, de autoria do Sen. Paulo Bauer (fls. 622 a 634).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-09-08T00:00:00Z,1,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 545/621).,CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-09-01T00:00:00Z,1,Juntada sugestão da ABCE - Associação Brasileira de Consultores de Engenharia. (fls. 539/544),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-29T00:00:00Z,1,"Juntadas as Emendas nº 82, 83 e 84, de autoria do Sen. José Aníbal (fls. 533 a 538).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-26T00:00:00Z,1,"Juntada a Emenda nº 81, de autoria do Senador Pedro Chaves (fls. 531-532).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-24T00:00:00Z,2,"Juntado Ofício, conforme cópia anexa. (fls. 528/530)",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-24T00:00:00Z,1,"Na presente data, ocorreu a 4ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi realizada audiência pública para instrução do Projeto, com a participação dos seguintes convidados: José Roberto Bernasconi, Presidente do Sindicato Nacional das Empresas de Arquitetura e Engenharia Consultiva; Caio Loureiro, Representante do Sindicato Nacional da Indústria da Construção Pesada; Marcelo Bruto Correia da Costa, Gestor Público; José Tadeu da Silva, Presidente do Conselho Federal de Engenharia e Agronomia; Fernando Vernalha Guimarães, representante da Câmara Brasileira da Indústria da Construção; Rafael Jardim Cavalcante, Secretário da Secretaria Extraordinária de Operações Especiais em Infraestrutura do Tribunal de Contas da União; João Francisco Borges da Costa, Representante da Federação de Seguros Gerais; e Walter Baere, Representante do Ministério do Planejamento, Desenvolvimento e Gestão.
      Juntados:
      1.	Lista de presença da 4ª reunião da Comissão Especial do Desenvolvimento Nacional (fl. 517);
      2.	Manifestação do Sindicato da Arquitetura e da Engenharia (fls. 518 a 527).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-23T00:00:00Z,1,"Juntado, nesta data, o Ofício CAU/BR nº 286/2016-PR, do Conselho de Arquitetura e Urbanismo do Brasil, contendo manifestação acerca do Projeto (fls. 513 a 516).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-17T00:00:00Z,3,"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi concedida vista coletiva ao Relatório e foi aprovado requerimento de realização de audiência pública, de autoria do Sen. José Aníbal e outros Senadores, para instruir a matéria.
      Juntados:
      1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 437);
      2. Relatório do Sen. Fernando Bezerra Coelho (fls. 438 a 510);
      3. Requerimento de realização de audiência pública, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 511 e 512).",CEDN,90,PEDIDO DE VISTA CONCEDIDO,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-17T00:00:00Z,2,"Recebido, nesta data, relatório do Sen. Fernando Bezerra Coelho.",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-17T00:00:00Z,1,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 364/436).,CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-16T00:00:00Z,1,Juntada uma emenda de autoria do Senador Roberto Muniz. (fls.562/563),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-15T00:00:00Z,1,"Matéria constante da Pauta da 3ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 17/08/2016.",CEDN,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-11T00:00:00Z,2,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 490/561),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-11T00:00:00Z,1,Juntadas 10 emendas do Senador Roberto Muniz. (fls. 470/489),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-04T00:00:00Z,1,Juntado Relatório do Senador Fernando Bezerra Coelho. (fls.434/469),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-08-02T00:00:00Z,1,Juntado o relatório do Sen. Fernando Bezerra Coelho (fls. 362 a 433).,CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-07-13T00:00:00Z,4,Juntadas 03 emendas do Senador Roberto Muniz. (fls. 357/361),CEDN,90,PEDIDO DE VISTA CONCEDIDO,,Senado Federal,Senado Federal,115926
115926,senado,2016-07-13T00:00:00Z,3,"Na presente data, foi realizada a 2ª reunião da Comissão, oportunidade em que foi concedida vista coletiva ao PLS 559/2013.",CEDN,90,PEDIDO DE VISTA CONCEDIDO,,Senado Federal,Senado Federal,115926
115926,senado,2016-07-13T00:00:00Z,2,"Matéria constante da Pauta da 2ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 13/07/2016.",CEDN,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2016-07-13T00:00:00Z,1,Juntado Relatório do Senador Fernando Bezerra. (fls. 284/356),CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-03-09T00:00:00Z,1,"Na presente data, ocorreu a 16ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado requerimento de autoria do Sen. Antônio Anastasia, solicitando a realização de audiência pública para instruir o Projeto.
      Juntado o requerimento aprovado (fl. 283).",CEDN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-23T00:00:00Z,1,"O presidente em exercício da Comissão, senador Raimundo Lira, designa o senador Fernando Bezerra Coelho relator da matéria.",CAE,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-16T00:00:00Z,1,"Encaminhado à publicação o Ofício nº 128/2015, de 9 de dezembro de 2015, do Presidente da Comissão Especial de Desenvolvimento Nacional, que solicita o envio do presente projeto àquela Comissão.
      A matéria vai à Comissão Especial do Desenvolvimento Nacional, em atendimento ao Ofício lido e nos termos do Requerimento nº 935, de 2015.",PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-15T00:00:00Z,2,Matéria aguardando distribuição.,CAE,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-15T00:00:00Z,2,Encaminhado ao Plenário.,SLSF,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-15T00:00:00Z,1,Este processo contém 280 (duzentos e oitenta) folhas numeradas e rubricadas.,SEPRTL,13,AGUARDANDO LEITURA,,Senado Federal,Senado Federal,115926
115926,senado,2016-02-15T00:00:00Z,1,"Devolvido à CAE, para prosseguimento da tramitação.",SLSF,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-12-02T00:00:00Z,3,À SCLSF.,CI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-12-02T00:00:00Z,2,"Em reunião realizada nesta data, é lido e aprovado o relatório do Senador Fernando Bezerra Coelho, que passa a constituir parecer da Comissão, pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43; declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, nos termos da Emenda nº 66-CI (substitutivo).
      Anexadas as fls. 868 a 945.",CI,89,APROVADO PARECER NA COMISSÃO,,Senado Federal,Senado Federal,115926
115926,senado,2015-12-02T00:00:00Z,1,"O relator, Senador Fernando Bezerra Coelho, apresenta nova minuta de parecer, com alterações no texto, pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43; declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, nos termos do Substitutivo que apresenta.",CI,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2015-12-01T00:00:00Z,1,"Ao projeto, foi apresentada a Emenda nº 65-CI, de autoria do Senador Lasier Martins.",CI,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2015-11-27T00:00:00Z,1,"Matéria constante da Pauta da 42ª Reunião da Comissão de Serviços de Infraestrutura, agendada para o dia 02/12/2015.",CI,138,INCLUÍDA NA PAUTA DA REUNIÃO,,Senado Federal,Senado Federal,115926
115926,senado,2015-11-26T00:00:00Z,1,"Devolvido pelo relator, Senador Fernando Bezerra Coelho, com minuta de parecer pela aprovação da matéria, pela rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; pela aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43, pela declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e pela aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, com a apresentação do Substitutivo que apresenta.",CI,42,PRONTA PARA A PAUTA NA COMISSÃO,,Senado Federal,Senado Federal,115926
115926,senado,2015-11-11T00:00:00Z,2,"De ordem da Presidência do Senado Federal, anexado, às folhas 859-864, o Ofício nº 357/2015-DPL, da Câmara Municipal de Medianeira (PR).",CI,90,PEDIDO DE VISTA CONCEDIDO,,Senado Federal,Senado Federal,115926
115926,senado,2015-11-11T00:00:00Z,1,"Em reunião realizada nesta data, o Senador Fernando Bezerra Coelho apresenta seu relatório, pela aprovação do PLS nº 559, de 2013, pela rejeição das Emendas de Plenário nºs 1, 5, 7, 11 a 19, 21 a 23, 26 a 31, 34 a 36, 38, 39, 41 a 44, 46 a 54 e 56; pela aprovação das Emendas de Plenário nºs 2, 8, 10, 24, 25, 32, 45; pela declaração de prejudicialidade das Emendas nº 20 e 55; e pela aprovação parcial das Emendas de Plenário nºs 3, 4, 6, 9, 33,40, nos termos do Substitutivo que apresenta.
      Lido o relatório, é concedida vista coletiva da matéria.",CI,90,PEDIDO DE VISTA CONCEDIDO,,Senado Federal,Senado Federal,115926
115926,senado,2015-10-28T00:00:00Z,2,"Recebido na Comissão nesta data.
      
      Ao Gabinete do Senador Fernando Bezerra Coelho, para relatar a matéria.",CI,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2015-10-28T00:00:00Z,1,"Juntado, à fl. 784, Ofício nº 132/2015, do Presidente da CI, solicitando encaminhamento da presente matéria à  Comissão.
      
      A matéria retorna ao exame da CI.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-10-13T00:00:00Z,1,"Juntei, de ordem da Presidência do Senado Federal, o Ofício nº 112/6/2015-CMS, de 8/6/2015, da Câmara Municipal de Jacareí, do Estado de São Paulo, com manifestação sobre a matéria (fls. 893 a 897).
      
      Matéria com a Relatoria.
      ",CCJ,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2015-09-25T00:00:00Z,1,"Juntei, de ordem da Presidência do Senado Federal, o Memorando nº 46/2015/CMA, de 14/7/2015, da Comissão de Meio Ambiente, Defesa do Consumidor e Fiscalização e Controle, que comunica a aprovação do Parecer oferecido ao Aviso do Senado Federal nº 8, de 2014 (fls. 817 a  892).
      
      Matéria com a Relatoria.
      ",CCJ,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2015-09-02T00:00:00Z,1,"Anexada, às fls. 278-280, cópia do OF. SF/1196/2015, da Presidência do Senado Federal, que solicita o envio da matéria à Secretaria-Geral da Mesa, em atendimento ao Requerimento nº 935 de 2015, aprovado na sessão plenária do dia 19 de agosto de 2015, que criou comissão especial para propor soluções que promovam o desenvolvimento nacional e estabeleceu que ""as proposições legislativas que tratem da promoção do desenvolvimento nacional sejam encaminhadas à Comissão Especial destinada a tratar do tema, sempre que possível apensadas, para sistematização e parecer"".
      			
      À SCLSF.	
      ",CAE,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-08-31T00:00:00Z,1,"Anexados, às fls. 782/783, o Ofício nº 1204/2015, do Presidente do Senado Federal, Senador Renan Calheiros,  que solicita a remessa da matéria à Secretaria Geral da Mesa, em razão da aprovação do Requerimento nº 935, de 2015.
      
      À SCLSF.",CI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-08-28T00:00:00Z,1,"Devolvido pelo Relator, Senador Fernando Bezerra Coelho, por solicitação da Comissão.",CI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2015-08-13T00:00:00Z,1,"Ao Gabinete do Senador Fernando Bezerra Coelho, para relatar a matéria.",CI,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2015-03-26T00:00:00Z,1,"Distribuído ao Senador Eunício Oliveira, para emitir relatório.",CCJ,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2015-03-10T00:00:00Z,1,Matéria aguardando distribuição.,CCJ,87,AGUARDANDO DESIGNAÇÃO DO RELATOR,,Senado Federal,Senado Federal,115926
115926,senado,2014-12-18T00:00:00Z,2,"A presente proposição continua a tramitar, nos termos dos incisos do art. 332 do Regimento Interno e do Ato da Mesa nº 2 de 2014.",CI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2014-12-18T00:00:00Z,1,"Devolvido pelo relator, por solicitação desta secretaria. 
      A presente proposição continua a tramitar, nos termos dos incisos do art. 332 do Regimento Interno e do Ato da Mesa nº 2 de 2014.",CAE,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2014-12-18T00:00:00Z,1,"Devolvido pelo relator com minuta de parecer pela aprovação do PLS nº 559, de 2013, pela rejeição das Emendas de Plenário nº 1 a 5, 7, 8, 39, 45, 46, 47, 49 e 51, pela aprovação das Emendas de Plenário nº 9, 10, 11, 13, 14, 17, 19 a 21, 23, 24, 26 a 31, 33, 34, 38, 40, 42, 43, 48, 52, 54 e 56, pela declaração de prejudicialidade da Emenda nº 55, pela aprovação parcial das Emendas de Plenário nº 6, 12, 15, 16, 18, 22, 25, 32, 35, 36, 37, 41, 44, 50 e 53, com as subemendas que apresenta.",CI,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2014-12-16T00:00:00Z,1,"Devolvido pela Senadora Kátia Abreu, em atendimento ao art. 89, § 2º, do Regimento Interno do Senado Federal.
      
      A presente proposição continua a tramitar, nos termos dos incisos do art. 332 do Regimento Interno e do Ato da Mesa nº 2 de 2014.",CCJ,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2014-11-13T00:00:00Z,1,"Anexado às folhas 749 à 753 documento da Associação Brasileira da Indústria de Máquinas e Equipamentos - ABIMAQ, de autoria do Presidente desta entidade, Senhor Luiz Aubert Neto.",CI,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2014-10-22T00:00:00Z,1,"Juntei, de ordem da Presidência do Senado Federal, o Ofício GP nº 3359/2014, de 21/10/2014, do Tribunal de Contas do Estado de São Paulo, com manifestação sobre a matéria (fl. 793 a 816).",CCJ,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
115926,senado,2014-09-10T00:00:00Z,1,"Juntei, de ordem da Presidência do Senado Federal, o Ofício nº 589, de 21/08/2014, do Conselho de Arquitetura e Urbanismo do Brasil, com manifestação sobre a matéria (fls. 762 a 792).",CCJ,91,MATÉRIA COM A RELATORIA,,Senado Federal,Senado Federal,115926
