prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2172156,camara,2018-04-17T13:07:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 53/2018, pelo Deputado Toninho Pinheiro (PP-MG), que: ""Requer a realização de audiência pública para discutir o seguro-garantia nas contratações públicas, sendo convidados o Juiz Federal Sérgio Moro, a Ministra do Supremo Tribunal Federal Carmen Lucia e a Procuradora Geral da República Raquel Dodge"".",PL129295,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1652486,2172156
2172156,camara,2018-04-18T00:00:00Z,2,"Aprovado, com inclusão da realização de Seminários em Aracaju e Campo Grande.",PL129295,241,Arquivada,NA,2172156
2172156,camara,2018-05-03T00:00:00Z,3,Seminário realizado em 03/05/18 na cidade de Aracaju/SE.,PL129295,1005,Arquivada,NA,2172156
2172156,camara,2018-05-04T00:00:00Z,4,Seminário realizado em 04/05/18 na cidade de Campo Grande/MS.,PL129295,1005,Arquivada,NA,2172156
2172156,camara,2019-01-31T00:00:00Z,5,"Arquivado em decorrência da extinção da Comissão, nos termos do Art. 22, II, RICD.",PL129295,502,Arquivada,NA,2172156
