prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2169081,camara,2018-03-08T17:08:00Z,1,"Apresentação do Requerimento de Audiência Pública n. 4/2018, pelo Deputado Celso Maldaner (PMDB-SC), que: ""Requer seja convidado para Reunião de Audiência Pública, nesta Comissão, Diretor Executivo do DNIT, Halpher Luiggi Mônico Rosa"".",PL129295,100,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1643272,2169081
2169081,camara,2018-03-13T00:00:00Z,2,Aprovado.,PL129295,241,Arquivada,NA,2169081
2169081,camara,2018-03-20T00:00:00Z,3,"Audiência Pública realizada em 20/03/18 com o convidado Halpher Luiggi Mônico Rosa, Diretor-Executivo do Departamento Nacional de Infraestrutura de Transportes - DNIT.",PL129295,1005,Arquivada,NA,2169081
2169081,camara,2018-03-20T00:00:00Z,4,Arquivado.,PL129295,502,Arquivada,NA,2169081
