prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
526989,camara,2011-11-09T00:00:00Z,2,Publicação inicial no DCD de 10/11/12 PÁG 60951 COL 02.,CCP,604,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=994846,526989
526989,camara,2011-11-09T19:36:00Z,1,"Apresentação do Projeto de Lei n. 2682/2011, pelo Deputado Romero Rodrigues (PSDB-PB), que: ""Acrescenta parágrafo ao artigo 71 e revoga inciso do art. 78, ambos da Lei nº 8.666, de 21 de junho de 1993, para impedir que a Administração seja onerada pela opção da contratada por manter vinculo contratual com empregados, ou manter equipamentos ou materiais no local da obra, em período de paralisação previsto em edital"".",PLEN,100,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=937862,526989
526989,camara,2011-11-10T10:10:00Z,3,Recebimento pel a SEPRO.,SEPRO,500,NA,NA,526989
526989,camara,2011-11-10T10:10:00Z,4,"Encaminhado  à SINOPSE (Revisão da Ementa, Explicação da Ementa e Indexação)",SINOPSE,1003,NA,NA,526989
526989,camara,2011-11-10T10:10:00Z,5,Encaminhado  à CEDI (Legislação Citada),CEDI,1004,NA,NA,526989
526989,camara,2011-11-10T11:12:00Z,6,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 1453/2011.,SEPRO,180,NA,NA,526989
526989,camara,2011-11-10T11:29:00Z,7,Recebimento pel a SECAP(SGM).,SECAP(SGM),500,NA,NA,526989
526989,camara,2011-11-22T00:00:00Z,8,Despacho a Confirmar.,MESA,110,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=941461,526989
526989,camara,2011-11-29T00:00:00Z,15,Publicação do despacho no DCD do dia 30/11/11 PÁG 64175 COL 02.,CCP,605,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=998743,526989
526989,camara,2011-11-29T10:11:00Z,9,Despacho Chancelado,SECAP(SGM),180,NA,NA,526989
526989,camara,2011-11-29T10:11:00Z,10,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA,NA,526989
526989,camara,2011-11-29T10:46:00Z,11,Apense-se à(ao) PL-1587/2003.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade,MESA,129,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=941461,526989
526989,camara,2011-11-29T10:46:00Z,13,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 522/2011.,SECAP(SGM),180,NA,NA,526989
526989,camara,2011-11-29T10:47:00Z,12,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,NA,NA,526989
526989,camara,2011-11-29T11:35:00Z,14,Recebimento pel a CCP.,CCP,500,NA,NA,526989
526989,camara,2011-12-02T00:00:00Z,17,Encaminhada à publicação. Avulso Inicial,CCP,604,NA,NA,526989
526989,camara,2011-12-02T10:37:00Z,16,Encaminhado à(ao) CCJC através da guia de Remessa (GR/CCP) nº 3008/2011.,CCP,180,NA,NA,526989
526989,camara,2011-12-02T17:02:00Z,18,Recebimento pel a CCJC.,CCJC,500,NA,NA,526989
526989,camara,2011-12-05T00:00:00Z,20,"Designado Relator, Dep. Fabio Trad (PMDB-MS)",CCJC,320,NA,NA,526989
526989,camara,2011-12-05T11:18:00Z,19,Apensação desta proposição ao PL 1587/2003.,CCJC,106,NA,NA,526989
526989,camara,2018-03-23T10:29:00Z,21,"Recebimento pela CCP, apensado ao PL-1587/2003",CCP,500,NA,NA,526989
526989,camara,2018-03-23T10:43:00Z,22,"Recebimento pela PL129295, apensado ao PL-1587/2003",PL129295,500,NA,NA,526989
526989,camara,2018-12-05T18:01:00Z,23,"Recebimento pela CCP, apensado ao PL-1587/2003",CCP,500,NA,NA,526989
