prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
2217225,camara,2019-08-27T11:33:00Z,1,"Apresentação do Requerimento n. 2254/2019, pelo Deputado Luizão Goulart (REPUBLIC/PR), que ""'Requer a inclusão do PL 1.292/95 na Ordem do Dia'. "".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1796853,2217225
2217225,camara,2019-08-27T11:33:00Z,2,Realizar o Encaminhamento para COAPP(SGM),SEPRO,910,NA,NA,2217225
2217225,camara,2019-08-28T09:16:00Z,3,Encaminhado à(ao) COAPP(SGM) através da guia de Remessa (GR/SEPRO) nº 1248/2019.,SEPRO,180,NA,NA,2217225
