"codigo","termo","significado"
"1211","SegundaLegislaturaDoMandato","Dados da segunda legislatura do mandato (que abrange 2 legislaturas)"
"469","Servico","Webservice"
"746","SessaoPlenaria","Sessão que acontece no plenário"
"223","SexoParlamentar","Sexo do parlamentar (""Feminino""/""Masculino"")"
"1238","SiglaBloco","Sigla do bloco"
"826","SiglaCasaComissao","Sigla da casa à qual pertence a comissão parlamentar"
"278","SiglaCasaDespacho","Sigla da Casa para onde foi feito o despacho"
"586","SiglaCasaIdentificacaoMateria","Sigla da Casa da identificação da matéria"
"61","SiglaCasaIniciadora","Sigla da casa aonde a matéria inicia no Legislativo"
"871","SiglaCasaItemCalendario","Sigla da casa do item de calendário de tramitação da matéria"
"62","SiglaCasaLeitura","Sigla da casa aonde a matéria foi lida"
"1241","SiglaCasaLideranca","Sigla da casa do cargo de liderança"
"148","SiglaCasaLocal","Sigla da casa do local no qual a matéria se encontra"
"1408","SiglaCasaOrigem","Sigla da casa de origem da matéria (SF, CD ou CN)"
"1295","SiglaCasaPronunciamento","Sigla da casa aonde ocorreu o pronunciamento"
"209","SiglaCasaSessao","Sigla da casa aonde ocorre a sessão plenária"
"1287","SiglaCausaAfastamento","Sigla da causa de afastamento do exercício"
"198","SiglaComissao","Sigla da comissão parlamentar"
"626","SiglaLocal","Sigla de um local por onde uma matéria pode estar / passar"
"1058","SiglaPartido","Sigla do partido"
"58","SiglaPartidoParlamentar","Sigla do partido do parlamentar"
"1293","SiglaPartidoParlamentarNaData","Sigla do partido do parlamentar na referida data"
"689","SiglaSituacao","Sigla da situação da matéria"
"67","SiglaSubtipoMateria","Descrição do subtipo de matéria"
"367","SiglaTipoAutor","Sigla do tipo do autor da matéria ou emenda"
"64","SiglaTipoNorma","Sigla do tipo da norma jurídica"
"1290","SiglaTipoPronunciamento","Sigla do tipo de pronunciamento de parlamentar"
"174","SiglaTipoPublicacao","Sigla do tipo da publicação"
"211","SiglaTipoSessao","Sigla do tipo da sessão plenária"
"66","SiglaVeiculoPublicacao","Sigla do veículo de publicação"
"349","SignificadoTermo","Significado do termo do glossário"
"302","Situacao","Situação da matéria"
"141","SituacaoAtual","Situação atual da matéria"
"1208","Suplente","Dados do parlamentar suplente do mandato"
"1207","Suplentes","Parlamentares suplentes do mandato"
"1030","TelefoneParlamentar","Telefone do gabinete do parlamentar"
"347","Termo","Termo (informações sobre uma tag dos webservices) cadastrado no glossário"
"348","TermoGlossario","Nome da tag"
"346","Termos","Conjunto de termos (informações sobre as tags dos webservices) cadastradas no glossário"
"806","Texto","Informações sobre o texto"
"242","TextoEmenda","Texto da emenda da matéria"
"797","TextoMateria","Conjunto de informações sobre os textos da matéria"
"890","TextoObservacao","Texto da observação do item de calendário de tramitação da matéria"
"1298","TextoResumo","Resumo do pronunciamento"
"158","TextoTramitacao","Conteúdo do texto da tramitação"
"796","Textos","Textos da Matéria"
"791","TextosEmenda","Textos da emenda da matéria"
"1015","Tipo","Para identificar a que o tipo se refere, veja a qual tag ele é subordinado"
"1009","TipoAutor","Tipo de autor de matéria ou projeto"
"244","TipoDocumento","Tipo do documento (rtf, pdf...)"
"887","TipoItemCalendario","Tipo do item de calendário de tramitação da matéria"
"1386","TipoLocal","Tipo do local (C = Colegiado, A = Unidade Administrativa)"
"407","TiposAtualizacao","Lista dos tipos de atualizações possíveis de ocorrer"
"1010","TiposAutor","Tipos de autor de matéria ou projeto"
"1206","Titular","Dados do parlamentar titular do mandato"
"220","TotalVotosAbstencao","Total de abstenções"
"219","TotalVotosNao","Total de votos ""não"""
"218","TotalVotosSim","Total de votos ""sim"""
"150","Tramitacao","Tramitação da matéria no Senado"
"149","Tramitacoes","Tramitações da matéria no Senado, em ordem descrescente de data da tramitação/ordem da tramitação"
"1326","Uf","Unidade da Federação"
"121","UfAutor","UF do autor da matéria ou emenda"
"1028","UfNaturalidade","UF da naturalidade"
"73","UfNorma","UF da norma jurídica"
"197","UfParlamentar","UF do parlamentar no respectivo mandato"
"1294","UfParlamentarNaData","UF do parlamentar na referida data"
"1149","UltimoMandato","Último mandato do parlamentar"
"406","UrlDetalheMateria","Endereço web para o serviço de detalhe da matéria"
"36","UrlFotoParlamentar","Endereço web da foto do parlamentar"
"326","UrlGlossario","Endereço web do glossário de termos usados nos webservices"
"1057","UrlPaginaNoMandato","Endereço web da página do parlamentar no respectivo mandato"
"57","UrlPaginaParlamentar","Endereço web da página do parlamentar"
"320","UrlServico","Endereço web do serviço"
"467","UrlServicoAfetado","Url para o serviço cujo resultado é afetado pela alteração"
"40","UrlTexto","Endereço web do texto integral"
"206","Votacao","Votação da matéria"
"802","VotacaoMateria","Conjunto de informações sobre as votações da matéria"
"207","Votacoes","Votações da matéria"
"1166","VotacoesParlamentar","Votações em que o parlamentar participou"
"221","VotoParlamentar","Voto do parlamentar"
"807","Votos","Votos dos parlamentares"
