CdProposition,NumberItemProposition,Distance
604924,3,0.2188539938968955
604924,5,0.23501846188309192
604924,7,0.2543571948589166
604924,15,0.287597612541105
604924,17,0.2433728805062545
604924,19,0.2227107544715448
604924,21,0.20027776665726582
604924,23,0.23019310236860438
604924,27,0.2132395446392567
604924,29,0.23236002305802708
604924,31,0.21038557931888086
604924,33,0.22990735517587596
604924,35,0.223581952046422
604924,37,0.1943193412066856
604924,51,0.23892171094512393
604924,53,0.23422439757601168
604924,55,0.24260601068460427
604924,59,0.30396677973648917
