CdProposition,NumberItemProposition,Distance
7941521,0,0.15165258485622643
7941521,8,0.12269455929522466
7941521,28,0.140789020438396
7941521,37,0.15645763293360473
7941521,38,0.1405195004163834
7941521,39,0.15645763293360473
7941521,40,0.12979817115581374
7941521,46,0.14504149839193003
7941521,52,0.16959609004373866
7941521,54,0.13868871955564757
7941521,56,0.15701636085956722
7941521,64,0.13409693515089036
7941521,73,0.15193948304323665
7941521,76,0.1667973527916195
7941521,77,0.11754218020318077
7941521,78,0.1537754747902373
7941521,105,0.160559250081296
7941521,117,0.14458474699543863
7941521,121,0.15022776356305284
7941521,122,0.1617557394840803
7941521,124,0.13868871955564757
7941521,125,0.13782662365534387
7941521,126,0.14125931476873152
7941521,128,0.15314676465653898
7941521,137,0.12242405245013833
7941521,138,0.14464146191665764
7941521,139,0.14480194282591896
7941521,140,0.14367495756369106
7941521,142,0.15194631043564158
7941521,157,0.12197991742715991
7941521,159,0.12019684636511359
7941521,160,0.12269455929522466
7941521,161,0.1593653464902884
7941521,162,0.15592068972502246
7941521,170,0.13619699736881524
7941521,190,0.17687998719107628
7941521,191,0.13270484670604685
7941521,198,0.13868871955564757
7941521,201,0.14129182517021208
7941521,202,0.1273468671599513
7941521,214,0.1229956350083904
7941521,216,0.13901758407980816
7941521,219,0.16087687569896933
7941521,220,0.1693127135313122
7941521,221,0.13927112832347116
7941521,230,0.17037318620020192
7941521,231,0.1565091461552093
7941558,0,0.14893611838701168
7941558,8,0.12814568664424067
7941558,28,0.14011558689258263
7941558,37,0.1552420452040517
7941558,38,0.1336775409563337
7941558,39,0.1552420452040517
7941558,40,0.12757711385818815
7941558,46,0.14296156850807182
7941558,52,0.16497920720698445
7941558,54,0.1365615903750919
7941558,56,0.16054395564623636
7941558,64,0.13328037552323962
7941558,73,0.1509063111346255
7941558,76,0.16867077331363786
7941558,77,0.12069478231002183
7941558,78,0.15648162333712332
7941558,105,0.15710393724889044
7941558,117,0.1444062804943041
7941558,121,0.14731419621464967
7941558,122,0.16375197743883638
7941558,124,0.1365615903750919
7941558,125,0.13477311091045174
7941558,126,0.14564040045685936
7941558,128,0.15092651990730876
7941558,137,0.133288808865384
7941558,138,0.14148289654119484
7941558,139,0.14517467800638667
7941558,140,0.1427764112262652
7941558,142,0.15113548360053666
7941558,157,0.12514754880343304
7941558,159,0.12660268288809212
7941558,160,0.12814568664424067
7941558,161,0.15151158573046916
7941558,162,0.1586393112539697
7941558,170,0.14251478269387452
7941558,190,0.17586163996419707
7941558,191,0.12993112167969637
7941558,198,0.1365615903750919
