id_emenda,num_linha_proposicao,Distance
2121251,22,21.740559381113105
2121251,28,16.94518547774343
2121251,30,20.70038501841606
2121251,34,18.08180139972975
2121251,40,21.192671733628934
2121251,44,21.45286653751453
2121251,46,18.35264772672155
2121251,48,18.470715772777186
2121251,50,17.378842518674244
2121251,54,22.250040022696005
2121251,56,21.333566761321098
2121251,64,20.685230552630074
2121251,66,17.810777047906928
2121251,70,19.851231333911333
2121251,72,20.140137074684436
2121254,22,21.740559381113105
2121254,28,16.94518547774343
2121254,30,20.70038501841606
2121254,34,18.08180139972975
2121254,40,21.192671733628934
2121254,44,21.45286653751453
2121254,46,18.35264772672155
2121254,48,18.470715772777186
2121254,50,17.378842518674244
2121254,54,22.250040022696005
2121254,56,21.333566761321098
2121254,64,20.685230552630074
2121254,66,17.810777047906928
2121254,70,19.851231333911333
2121254,72,20.140137074684436
